icp.j.	lnc	cor.cor	p
CD38	LINC00324	0.436866540384779	0.000541347521505245
CD38	LINC00482	-0.398125277817798	0.00179124184996902
CD38	C9orf163	-0.467943979700339	0.000186076350701503
CD38	LINC01588	-0.36368792014625	0.00463402768294158
CD38	MIAT	0.446102965009808	0.000398305689776785
CD38	KIAA0125	0.508774561824661	3.87997659149368e-05
CD38	AC009299.3	0.416852988230759	0.00102241227808121
CD38	RP1-28O10.1	0.461255040522928	0.000236199300974617
CD38	MBNL1-AS1	0.403955632840018	0.0015094934628642
CD38	LINC00899	0.554488308048666	5.19585352241571e-06
CD38	RP11-365O16.3	0.329316398803672	0.0108690348708008
CD38	RP11-475O6.1	0.31687134275939	0.014475944247151
CD38	LINC01503	0.550344426689327	6.31193034663463e-06
CD38	TMEM147-AS1	-0.300597964641049	0.0207051767900971
CD38	RP11-443B7.1	0.443291536835788	0.000437701632144777
CD38	WDR86-AS1	0.485523300208879	9.70653838851752e-05
CD38	RP11-277P12.20	-0.318931691847867	0.013815991198021
CD38	RP11-18H21.1	0.45202829840124	0.000325628956777439
CD38	LINC01550	0.342128506289799	0.00799523083482455
CD38	PRR7-AS1	-0.303667745708704	0.0193811518094498
CD38	LINC01511	-0.336063047641992	0.00926057741182083
CD38	RP11-231D20.2	0.449783632766932	0.000351604704296031
CD38	AC156455.1	-0.327937750607294	0.0112259196885958
CD38	OVCH1-AS1	0.389350838691456	0.0023042485551594
CD38	RP11-84C10.4	-0.353069324822844	0.00609001204397957
CD38	RP11-314O13.1	-0.344508412302546	0.00754154970978628
CD38	RP11-341N2.1	-0.302268866463214	0.0199752903749044
CD38	RP11-353N14.2	-0.336210409011734	0.00922788710169928
CD38	PTOV1-AS1	-0.361560305255335	0.00489834400310281
CD38	LINC00528	0.33925502670837	0.00857454740000418
CD38	TNRC6C-AS1	0.613105208210199	2.44264725606615e-07
CD38	RP11-153A23.6	0.613105208210199	2.44264725606615e-07
CD38	RP11-561O23.6	-0.474776138302911	0.000145098855257946
CD38	PGM5-AS1	-0.474776138302911	0.000145098855257946
CD38	AL844908.5	0.355756688501376	0.00568797552325646
CD38	ITGB2-AS1	0.355756688501376	0.00568797552325646
CD38	RP11-248C1.2	0.386018964725597	0.00253101594651076
CD38	LINC00865	0.386018964725597	0.00253101594651076
CD38	AC003029.1	-0.401815855859984	0.00160791374894114
CD38	MAPKAPK5-AS1	-0.401815855859984	0.00160791374894114
CD38	AL356017.3	-0.409289833933389	0.00128723970904797
CD38	DICER1-AS1	-0.409289833933389	0.00128723970904797
CD38	CBR3-AS1	0.358070097006897	0.00536074027626848
CD38	AP000689.8	0.358070097006897	0.00536074027626848
CD38	LINC00880	0.333244565425596	0.00990546958519313
CD38	RP11-6F2.4	0.333244565425596	0.00990546958519313
CD38	RP11-493L12.2	0.517127704114435	2.7451240495837e-05
CD38	PCED1B-AS1	0.517127704114435	2.7451240495837e-05
CD38	RP11-438N16.1	-0.590297070719878	8.62348135903526e-07
CD38	LINC01234	-0.590297070719878	8.62348135903526e-07
CD38	SNAI3-AS1	-0.444683846103129	0.000417769464278057
CD38	RP5-1142A6.3	-0.444683846103129	0.000417769464278057
CD38	RPARP-AS1	-0.308973394829734	0.0172623709153781
CD38	RP11-18I14.10	-0.308973394829734	0.0172623709153781
CD38	LINC01215	0.342184729019525	0.0079842447819254
CD38	RP11-861A13.4	0.342184729019525	0.0079842447819254
BTK	LINC00324	0.442676763411803	0.000446774489728238
BTK	C9orf163	-0.356069437729838	0.00564273589622071
BTK	LINC01588	-0.454918957499738	0.000294754060584201
BTK	CADM3-AS1	0.355508450251987	0.0057241098757094
BTK	MIAT	0.479970749947241	0.000119672539636793
BTK	KIAA0125	0.495318666449303	6.64958561985374e-05
BTK	AC009299.3	0.311809521887441	0.0162132126118615
BTK	MBNL1-AS1	0.371846218734468	0.00373331757580896
BTK	LINC00899	0.308198826300303	0.0175587836235416
BTK	RP11-365O16.3	0.354397056550976	0.00588836963843479
BTK	RP11-475O6.1	0.344261175311524	0.00758761071598199
BTK	LINC01503	0.584511975375882	1.16959205345862e-06
BTK	MIR155HG	0.314756931693026	0.0151811632527438
BTK	LINC00299	-0.304935532806677	0.0188557398666176
BTK	RP11-443B7.1	0.316368913753009	0.0146409208562256
BTK	PRKAG2-AS1	0.680666460177591	3.00745742831831e-09
BTK	TIPARP-AS1	0.409040592981437	0.00129693056432101
BTK	CTC-241N9.1	-0.323990777532412	0.01230420653798
BTK	RP11-18H21.1	0.55834171851078	4.32565745923541e-06
BTK	PRR7-AS1	-0.378494795762396	0.00311765664010681
BTK	RP11-37B2.1	0.357044836571763	0.00550366556989589
BTK	RP11-231D20.2	0.498027538684192	5.97693442641492e-05
BTK	OVCH1-AS1	0.334636452488773	0.00958228560827915
BTK	RP11-488C13.5	-0.323770228689403	0.0123670072569982
BTK	RP11-353N14.2	-0.311971029300057	0.0161551450477573
BTK	LINC00528	0.333010686007979	0.00996069165060654
BTK	TNRC6C-AS1	0.776812055898588	4.77492087368704e-13
BTK	RP11-153A23.6	0.776812055898588	4.77492087368704e-13
BTK	RP11-561O23.6	-0.421140337282645	0.000895123576348348
BTK	PGM5-AS1	-0.421140337282645	0.000895123576348348
BTK	AL844908.5	0.618591536704555	1.77644212238747e-07
BTK	ITGB2-AS1	0.618591536704555	1.77644212238747e-07
BTK	RP11-248C1.2	0.498964658079668	5.75923359888608e-05
BTK	LINC00865	0.498964658079668	5.75923359888608e-05
BTK	CBR3-AS1	0.324189892206612	0.0122477455117457
BTK	AP000689.8	0.324189892206612	0.0122477455117457
BTK	LINC01410	0.413782761756077	0.00112334612574932
BTK	RP11-262H14.1	0.413782761756077	0.00112334612574932
BTK	RP11-493L12.2	0.89589114392978	9.64119464124826e-22
BTK	PCED1B-AS1	0.89589114392978	9.64119464124826e-22
BTK	RP11-438N16.1	-0.335216155551667	0.00945040688307444
