icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.310484527285993	3.40485420427747e-08
CD38	AC073072.5	0.372243381362232	2.1574969092726e-11
CD38	FLJ37453	-0.308411878872256	4.24183580654213e-08
CD38	PIK3CD-AS1	0.438695507275108	1.10409664937855e-15
CD38	TP53TG1	-0.385183275081232	3.73095208240737e-12
CD38	PRR34	0.360405326434306	1.00494358785527e-10
CD38	LINC00943	0.395785493953533	8.35434750042838e-13
CD38	LINC00173	0.369459284925506	3.11573304482469e-11
CD38	PDXDC2P	-0.35433378829265	2.15947295743109e-10
CD38	HCP5	0.474040319435303	2.21651934141529e-18
CD38	AATBC	-0.373417236205451	1.8458443854077e-11
CD38	PP14571	-0.388272041532367	2.42594387855677e-12
CD38	LINC00152	0.400752152905693	4.06795772621045e-13
CD38	OSER1-AS1	-0.32567683708092	6.45182011909151e-09
CD38	RP4-758J18.2	-0.327515774467974	5.24186382636683e-09
CD38	MIAT	0.597759630469179	9.70044815089067e-31
CD38	HAR1A	0.343978477919123	7.67157388821113e-10
CD38	RP11-276H19.1	0.335736017326586	2.0365560268901e-09
CD38	KIAA0125	0.461247146224468	2.28168683825036e-17
CD38	AC011893.3	0.39350353371342	1.15815621071358e-12
CD38	LINC01341	-0.376973648911994	1.14616268491306e-11
CD38	SERPINB9P1	0.314214664582826	2.28268912235909e-08
CD38	AC007246.3	-0.401912590156862	3.43241216187032e-13
CD38	FAM225A	0.363386539105828	6.8617799269164e-11
CD38	LINC-PINT	0.303187341844432	7.32682289479898e-08
CD38	AC011899.9	0.54579929128358	6.38682481259199e-25
CD38	LINC00460	0.344128137382085	7.53477402230126e-10
CD38	MYCNOS	-0.310188438156507	3.51382345291985e-08
CD38	MIR155HG	0.6383786217289	4.3827615548444e-36
CD38	MCF2L-AS1	-0.391705187779479	1.49551920830249e-12
CD38	LINC00427	0.309200039732463	3.90249212331138e-08
CD38	LINC01010	0.446567277817606	2.94479736265964e-16
CD38	LINC00299	0.321332541764745	1.04805210253151e-08
CD38	AP000251.3	-0.35373337348712	2.32711907649951e-10
CD38	PRKCQ-AS1	0.359289707406158	1.15800746252871e-10
CD38	RP11-18H21.1	0.36550561029184	5.21923732156106e-11
CD38	RP11-30K9.6	-0.315151270330799	2.06284536690912e-08
CD38	LINC01550	0.359909229083923	1.0704100915704e-10
CD38	RP11-10L12.4	-0.301095597183797	9.09181869055418e-08
CD38	RP11-431M7.3	0.39743423898155	6.58779871874917e-13
CD38	LINC00992	-0.324238840016677	7.58219829423004e-09
CD38	SNHG18	-0.415304631838266	4.60395246905509e-14
CD38	AC145110.1	0.423815762377684	1.22485349540291e-14
CD38	LINC00944	0.429281728527842	5.13023006917941e-15
CD38	USP30-AS1	0.57006520508642	1.64492461908842e-27
CD38	RP13-977J11.2	0.340393238900289	1.17719269940529e-09
CD38	LINC00930	-0.423330869340093	1.3221580324197e-14
CD38	RP11-1008C21.1	0.397731567916611	6.31064312987161e-13
CD38	LINC00657	-0.377396634674774	1.08259137384282e-11
CD38	LINC01355	-0.329756519340909	4.06224998899325e-09
CD38	TEN1-CDK3	-0.339222616408232	1.3522445961961e-09
CD38	CTD-2576D5.4	0.362820360563741	7.37969943564534e-11
CD38	L3MBTL4-AS1	0.370186442528328	2.83152379686211e-11
CD38	BZRAP1-AS1	0.324085722719149	7.71328109023977e-09
CD38	RP11-214O1.3	0.421125814740949	1.86889997023803e-14
CD38	TBX2-AS1	-0.341971966721297	9.75555518268219e-10
CD38	RP11-559N14.5	0.33454794122675	2.33879319029801e-09
CD38	AC024592.9	-0.31637847081657	1.80555525245449e-08
CD38	CARD8-AS1	0.410501884569213	9.56127167645879e-14
CD38	A1BG-AS1	0.419445073501051	2.42892605134313e-14
CD38	LINC00528	0.410435583721318	9.65743161914518e-14
CD38	CYB561D2	-0.326899297104506	5.62069268058122e-09
CD38	CTA-384D8.35	0.471741605059687	3.39434116594479e-18
CD38	TRG-AS1	0.709853864486238	9.86013345525848e-48
CD38	IGF2AS	-0.327578153295022	5.20493864960586e-09
CD38	IGF2-AS	-0.327578153295022	5.20493864960586e-09
CD38	CELF2-AS1	0.315358816032201	2.01697440309167e-08
CD38	C10orf31	0.315358816032201	2.01697440309167e-08
CD38	XXbac-BPG246D15.8	0.530808334546829	2.00714859737738e-23
CD38	PSMB8-AS1	0.530808334546829	2.00714859737738e-23
CD38	NCRNA00118	0.433440519522697	2.61798290763858e-15
CD38	DBH-AS1	0.433440519522697	2.61798290763858e-15
CD38	SLC16A1-AS1	0.549919394678188	2.4013886768469e-25
