icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.424529277808401	2.97048975230526e-37
CD38	LINC01116	-0.358826800811834	2.36528143033246e-26
CD38	PIK3CD-AS1	0.353185812613891	1.57985424057865e-25
CD38	TP53TG1	-0.320427509120406	4.6569256158668e-21
CD38	TCL6	0.339974500813394	1.16387053038714e-23
CD38	ARHGAP11B	0.405812352047073	6.79471490943339e-34
CD38	LINC00943	0.470323212940816	2.0368245208418e-46
CD38	MDS2	0.368124852241441	9.50283246775548e-28
CD38	HCP5	0.545607483024974	7.26503400007413e-65
CD38	EWSAT1	-0.301902709582542	9.19741073619608e-19
CD38	LINC00092	0.360759976980462	1.22294554469506e-26
CD38	MIAT	0.411935346218759	5.70846313670404e-35
CD38	BAIAP2-AS1	-0.335412686055158	4.89911987202727e-23
CD38	KIAA0125	0.71831101915792	3.49375272763957e-131
CD38	AC109333.10	0.32303948467719	2.14404280850344e-21
CD38	RP3-399L15.3	0.33184682576093	1.48189621385855e-22
CD38	SERPINB9P1	0.319035705143207	7.01863453550142e-21
CD38	AC034220.3	-0.321283230720208	3.61493936980887e-21
CD38	MIR155HG	0.684536749168381	1.48749192855264e-114
CD38	LINC00299	0.388755928811403	5.16162246004698e-31
CD38	PRKCQ-AS1	0.641087418561784	3.17538675386286e-96
CD38	AP001046.5	0.524672313037842	2.90641405434824e-59
CD38	RP11-18H21.1	0.492618289651008	2.07797453304354e-51
CD38	LINC01550	0.402177511363643	2.88543454874073e-33
CD38	RP11-10L12.4	-0.354805164502923	9.19518977826712e-26
CD38	RP11-431M7.3	0.44105334162432	2.1191336390608e-40
CD38	DYNLL1-AS1	-0.42758995228406	7.9992529039578e-38
CD38	AC145110.1	0.454595397238538	4.11922561274296e-43
CD38	CTD-2336O2.1	-0.327339581425334	5.88062074325227e-22
CD38	LINC00824	0.334676784056387	6.16367712171226e-23
CD38	LINC00944	0.535159594556642	5.08370505857025e-62
CD38	USP30-AS1	0.648531143607362	3.75369354039785e-99
CD38	C12orf79	0.405102486522431	9.02475824224283e-34
CD38	CTD-2576D5.4	0.395876284145038	3.39368818162933e-32
CD38	BZRAP1-AS1	0.443369847973129	7.4298079255874e-41
CD38	LINC01539	0.399779427500119	7.4185699788967e-33
CD38	CARD8-AS1	0.52768850965672	4.78915288621766e-60
CD38	RP5-907D15.4	-0.340677259482046	9.30708821801863e-24
CD38	LINC00528	0.536017582247611	2.99430873434908e-62
CD38	AFAP1-AS1	0.304129232058827	4.9695867719726e-19
CD38	CTA-384D8.35	0.500029324542808	3.76037372596417e-53
CD38	RP11-480C22.1	-0.409982273976142	1.26489139512197e-34
CD38	TRG-AS1	0.743175143856652	4.45830355966744e-145
CD38	XXbac-BPG246D15.8	0.583222379122279	5.51538253181063e-76
CD38	PSMB8-AS1	0.583222379122279	5.51538253181063e-76
CD38	TNRC6C-AS1	0.321774380343707	3.12468613659901e-21
CD38	RP11-153A23.6	0.321774380343707	3.12468613659901e-21
CD38	NCRNA00118	0.374950189484864	8.38626509794982e-29
CD38	DBH-AS1	0.374950189484864	8.38626509794982e-29
CD38	SLC16A1-AS1	0.409082125298323	1.82195423811627e-34
CD38	RP11-31F15.1	0.409082125298323	1.82195423811627e-34
CD38	AL844908.5	0.482562565286003	4.11632584632027e-49
CD38	ITGB2-AS1	0.482562565286003	4.11632584632027e-49
CD38	AC013400.2	0.335412213598193	4.89984311682704e-23
CD38	LINC00954	0.335412213598193	4.89984311682704e-23
CD38	EPHA1-AS1	0.3606035233913	1.29022401605244e-26
CD38	AC092214.10	0.3606035233913	1.29022401605244e-26
CD38	LINC00582	0.556037200971271	8.30792435753275e-68
CD38	RP11-17H4.2	0.556037200971271	8.30792435753275e-68
CD38	LINC01281	0.567179909973592	4.56449352443468e-71
CD38	RP11-265P11.2	0.567179909973592	4.56449352443468e-71
