icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.422841035136318	2.39463237384734e-11
CD38	LINC00544	0.326855287347007	4.21937481669535e-07
CD38	RP11-23P13.6	0.31836924995756	8.65190574134862e-07
CD38	PIK3CD-AS1	0.372963851988985	5.7247756187476e-09
CD38	C22orf34	0.42617523862452	1.60608464384927e-11
CD38	MIAT	0.429433800243152	1.08240001962644e-11
CD38	KIAA0125	0.48801860666566	4.1738891979738e-15
CD38	AC011899.9	0.462400925120516	1.56242107080976e-13
CD38	MIR155HG	0.449589077210272	8.56483497132266e-13
CD38	AC145110.1	0.305877205247734	2.39375381850979e-06
CD38	USP30-AS1	0.45026122592603	7.84720996728449e-13
CD38	L3MBTL4-AS1	0.346500010165146	7.34686473268411e-08
CD38	BZRAP1-AS1	0.365370653615704	1.2193969202578e-08
CD38	LINC00528	0.511179353581449	1.20367482755052e-16
CD38	TRG-AS1	0.51537024978708	6.15397743288516e-17
CD38	NCRNA00118	0.423177783771526	2.30040787211152e-11
CD38	DBH-AS1	0.423177783771526	2.30040787211152e-11
CD38	AL844908.5	0.321336533349239	6.7475356997284e-07
CD38	ITGB2-AS1	0.321336533349239	6.7475356997284e-07
CD38	LINC00582	0.451862070439245	6.36599416554881e-13
CD38	RP11-17H4.2	0.451862070439245	6.36599416554881e-13
CD38	LINC01281	0.412888789718201	7.68859710010956e-11
CD38	RP11-265P11.2	0.412888789718201	7.68859710010956e-11
CD38	RP11-364F11.1	0.300033381050746	3.79287020824568e-06
CD38	ZBTB20-AS1	0.300033381050746	3.79287020824568e-06
CD38	RP11-493L12.2	0.546143120142452	3.32603347876314e-19
CD38	PCED1B-AS1	0.546143120142452	3.32603347876314e-19
SPAG9	LINC00476	-0.39207978564418	7.81013657324965e-10
SPAG9	RP11-296O14.3	-0.338988222147154	1.45417466132165e-07
SPAG9	LINC00598	0.3008940120964	3.54651204501606e-06
SPAG9	LINC00152	-0.360972817793582	1.87274246493304e-08
SPAG9	CH17-118O6.2	-0.398289625315495	3.97619616250404e-10
SPAG9	TMEM44-AS1	-0.341294901055365	1.18139307717726e-07
SPAG9	RP11-365O16.6	-0.443687533140002	1.8316437093247e-12
SPAG9	USP30-AS1	-0.399410614107862	3.51472367673417e-10
SPAG9	NAPA-AS1	-0.35814117221068	2.46020615556841e-08
SPAG9	CYB561D2	-0.41693216464252	4.80868549164122e-11
SPAG9	LINC01138	-0.411629871908921	8.88696797359359e-11
SPAG9	LINC00624	0.410802668511255	9.77114764388441e-11
SPAG9	HEIH	-0.364571072507297	1.31896115820751e-08
SPAG9	NPTN-IT1	0.455201753396472	4.10018402089396e-13
SPAG9	CELF2-AS1	0.338869924468791	1.46968374146429e-07
SPAG9	C10orf31	0.338869924468791	1.46968374146429e-07
SPAG9	XXbac-BPG246D15.8	-0.494137471859657	1.67854616452083e-15
SPAG9	PSMB8-AS1	-0.494137471859657	1.67854616452083e-15
SPAG9	AL844908.5	-0.306101573218804	2.35135649763752e-06
SPAG9	ITGB2-AS1	-0.306101573218804	2.35135649763752e-06
SPAG9	RP1-14N1.2	0.300916267315161	3.54034819277348e-06
SPAG9	FLG-AS1	0.300916267315161	3.54034819277348e-06
SPAG9	CTD-2037K23.2	-0.3129478099461	1.35332067927326e-06
