icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.880462608964295	3.013680222703e-09
CD38	LINC00544	0.436610273541283	0.0257434096477016
CD38	LRRC75A-AS1	-0.389937236047949	0.0489234705355356
CD38	LINC00476	0.605101249561237	0.00105662238713766
CD38	RP11-863K10.7	0.427677505847247	0.0293007380909575
CD38	LINC00482	-0.536367678588449	0.00473287326187423
CD38	C22orf34	0.61987643339179	0.00073140407946247
CD38	LINC00943	0.398106238311825	0.0439829950532562
CD38	LINC00173	0.525523179188655	0.00583236757832705
CD38	HCP5	0.397167298803491	0.0445299383960344
CD38	AC106876.2	-0.591465048293835	0.00146091600348839
CD38	ZMIZ1-AS1	-0.439217924801555	0.024773620959374
CD38	MIAT	0.876231317700025	4.47234121105754e-09
CD38	HAR1A	0.468074759995106	0.015886272544004
CD38	KIAA0125	0.692736008313497	8.77666860499773e-05
CD38	AC011893.3	0.530637287976425	0.00528968252671601
CD38	RP1-28O10.1	0.457751263504368	0.0187013143189233
CD38	LINC01013	0.389815194260985	0.0490004485188102
CD38	HOXB-AS1	0.656182113283363	0.000272630275809718
CD38	LINC00689	0.413348277786114	0.0358238012949519
CD38	TRAF3IP2-AS1	0.588998480524344	0.00154674578700392
CD38	RP4-794H19.1	0.49776836867392	0.00966431708288887
CD38	Z83844.1	0.477448380795183	0.0136414645452349
CD38	DLG5-AS1	-0.543589899112743	0.00410246148427958
CD38	MIR155HG	0.79705209359917	1.09653569277327e-06
CD38	LINC01010	0.497769003950818	0.00966420985197158
CD38	DNAJC9-AS1	0.5256677410577	0.00581640704558364
CD38	TCEB3-AS1	0.667726378263823	0.000193779422919172
CD38	RP11-31F15.2	0.431382141652591	0.0277802604525182
CD38	GHRLOS	0.617395495821358	0.000778999185150084
CD38	RP11-572M11.3	0.427013635299074	0.0295801510533108
CD38	RP11-277P12.20	0.505416404580008	0.00844320640111603
CD38	RP11-18H21.1	0.675854950741673	0.000151029174936237
CD38	RP11-431M7.3	0.64767622975108	0.000347478600996381
CD38	RP11-177H13.2	0.399588358875138	0.0431304531345513
CD38	LINC00824	0.565740210020306	0.00259348420062714
CD38	CTC-378H22.1	0.496166183295967	0.00993793050107446
CD38	RP11-234B24.2	0.48205440720629	0.0126384651971436
CD38	LINC00944	0.490589279902566	0.0109411559748856
CD38	USP30-AS1	0.66703930834952	0.00019783739309724
CD38	LINC01579	0.418257914765249	0.0334698766075102
CD38	RP11-314O13.1	0.419086652991569	0.0330850405237356
CD38	CTD-2576D5.4	0.608997967318756	0.000960602480591302
CD38	RP11-529K1.2	0.418428251549022	0.033390487359511
CD38	BZRAP1-AS1	0.707916037418149	5.219814524347e-05
CD38	TBX2-AS1	0.405573178570186	0.0398198979583894
CD38	CARD8-AS1	0.816008652307957	3.7545830812566e-07
CD38	FENDRR	0.699500516058987	6.98953825519653e-05
CD38	RP11-173C1.1	0.469535861802473	0.0155176294042291
CD38	AGAP11	0.542082270864944	0.00422781480193455
CD38	CTA-384D8.35	0.643290801849628	0.000392657855412362
CD38	ADIRF-AS1	0.546601591874254	0.00386147016608186
CD38	DGCR11	-0.503472607753535	0.00874060495911304
CD38	FUT8-AS1	0.4853890898797	0.0119510702241085
CD38	LINC00540	0.464814109369741	0.016734964242946
CD38	LINC00921	0.535259890721884	0.00483646457368405
CD38	TRG-AS1	0.914150201886155	6.78653623734498e-11
CD38	SEPSECS-AS1	0.489691028804208	0.0111103481609328
CD38	LINC00839	0.704758091462263	5.83094110735085e-05
CD38	RP11-178A10.1	0.704758091462263	5.83094110735085e-05
CD38	XXbac-BPG246D15.8	0.615329227123366	0.000820666934749903
CD38	PSMB8-AS1	0.615329227123366	0.000820666934749903
CD38	XXbac-BPG170G13.33	0.587046390432012	0.0016177162000417
CD38	HLA-F-AS1	0.587046390432012	0.0016177162000417
CD38	RP11-137L10.6	0.681669320488919	0.000125771003716418
CD38	PPP3CB-AS1	0.681669320488919	0.000125771003716418
CD38	RP11-561O23.6	0.592302488049824	0.00143272384585076
CD38	PGM5-AS1	0.592302488049824	0.00143272384585076
CD38	NCRNA00118	0.566837933282192	0.00253311477686706
CD38	DBH-AS1	0.566837933282192	0.00253311477686706
CD38	RP3-340N1.5	0.591236840463237	0.00146868088915058
CD38	UBXN10-AS1	0.591236840463237	0.00146868088915058
CD38	SLC16A1-AS1	0.596477147951676	0.0012990680987363
CD38	RP11-31F15.1	0.596477147951676	0.0012990680987363
CD38	AL844908.5	0.674818645646184	0.000155971260525167
CD38	ITGB2-AS1	0.674818645646184	0.000155971260525167
CD38	LINC00582	0.667411206182178	0.000195631729687436
CD38	RP11-17H4.2	0.667411206182178	0.000195631729687436
CD38	AC018809.6	0.394208055285885	0.0462889213982461
CD38	PRRT3-AS1	0.394208055285885	0.0462889213982461
CD38	LINC01281	0.65507565806815	0.000281488685893598
CD38	RP11-265P11.2	0.65507565806815	0.000281488685893598
CD38	LINC00886	0.435097771201909	0.0263198348067354
CD38	RP11-392A22.2	0.435097771201909	0.0263198348067354
CD38	RP11-493L12.2	0.772054477300121	3.84283647666064e-06
CD38	PCED1B-AS1	0.772054477300121	3.84283647666064e-06
CD38	FAM13A-AS1	0.546037001354006	0.00390570886464399
CD38	RP11-496N17.2	0.546037001354006	0.00390570886464399
CD38	RP11-368I7.2	0.456297409498311	0.0191286481862851
CD38	VPS9D1-AS1	0.456297409498311	0.0191286481862851
CD38	RARA-AS1	-0.50218107976447	0.00894300696373161
CD38	CTD-2267D19.2	-0.50218107976447	0.00894300696373161
CD38	AC011526.1	0.518305199432909	0.00667760722963423
CD38	PCAT19	0.518305199432909	0.00667760722963423
CD38	LINC01215	0.592783507427331	0.00141674337644877
CD38	RP11-861A13.4	0.592783507427331	0.00141674337644877
CD44	RRN3P2	0.427417933172341	0.0294097342873628
CD44	LINC00482	-0.541400281646536	0.00428557745901104
CD44	C22orf34	0.419684277401431	0.0328097300025674
CD44	AC106876.2	-0.481667451213675	0.0127203072926925
CD44	AC011893.3	0.417971059729218	0.0336039130576816
CD44	RP3-399L15.3	0.40326562914676	0.0410715754715414
CD44	HOXB-AS1	0.458782447201477	0.0184029767286035
CD44	LINC01010	0.444640096414607	0.0228517731646571
CD44	TCEB3-AS1	0.466442604403264	0.0163065582530829
CD44	RP11-277P12.20	0.529461575426914	0.00541050939195549
CD44	RP11-234B24.2	0.490870162697359	0.0108886911650365
CD44	RP11-529K1.2	0.613242108002542	0.00086470306424026
CD44	ZNF649-AS1	0.388930219559731	0.0495614960001397
CD44	LINC00540	0.505538802224338	0.00842476647818771
CD44	RP11-137L10.6	0.418044790671708	0.0335694204602997
CD44	PPP3CB-AS1	0.418044790671708	0.0335694204602997
CD44	RP11-561O23.6	0.464104005521114	0.016924641451544
CD44	PGM5-AS1	0.464104005521114	0.016924641451544
CD44	AL844908.5	0.518268908758125	0.00668210381054693
CD44	ITGB2-AS1	0.518268908758125	0.00668210381054693
CD44	AC016722.2	0.435862484786021	0.0260271072819572
CD44	LINC01119	0.435862484786021	0.0260271072819572
CD44	RP11-493L12.2	0.441780278124901	0.0238497186444405
CD44	PCED1B-AS1	0.441780278124901	0.0238497186444405
SLAMF7	RRN3P2	0.766092660458869	5.06543595652093e-06
SLAMF7	LINC00544	0.408645414117447	0.0382006319728022
SLAMF7	LRRC75A-AS1	-0.457347479369977	0.0188192081538404
SLAMF7	LINC00476	0.454638559023855	0.0196259534066099
SLAMF7	RP11-863K10.7	0.441144324467223	0.0240763723928349
SLAMF7	C22orf34	0.486681860797808	0.0116930613106531
SLAMF7	LINC00943	0.42621048795321	0.0299210442150026
SLAMF7	LINC00173	0.476393437757517	0.0138802047113901
SLAMF7	HCP5	0.497816211609971	0.00965624425768646
SLAMF7	AC106876.2	-0.462415363005511	0.017382792968951
SLAMF7	ZMIZ1-AS1	-0.523411344200311	0.00606976880931243
SLAMF7	MIAT	0.861832950668203	1.55029006084014e-08
SLAMF7	HAR1A	0.492497972963623	0.0105887399286477
SLAMF7	KIAA0125	0.655161914643562	0.00028078916427407
SLAMF7	AC011893.3	0.403770579688434	0.0407950466376354
SLAMF7	LINC01013	0.433891449909338	0.0267870113747858
SLAMF7	LINC01165	0.399147665796947	0.0433825712038409
SLAMF7	HOXB-AS1	0.491786320574863	0.0107190171553008
SLAMF7	TRAF3IP2-AS1	0.566875844160622	0.002531051511367
SLAMF7	RP4-794H19.1	0.485988965918493	0.0118307672584844
SLAMF7	Z83844.1	0.449627117771316	0.0211928326553405
SLAMF7	DLG5-AS1	-0.486197210168612	0.0117892401752333
SLAMF7	MIR155HG	0.755734583244863	8.03509929241279e-06
SLAMF7	LINC01010	0.482988059417865	0.0124427887589412
SLAMF7	DNAJC9-AS1	0.438415670465863	0.0250687745992878
SLAMF7	TCEB3-AS1	0.570723710213774	0.00232896882205299
SLAMF7	GHRLOS	0.517283737313603	0.0068051470014079
SLAMF7	RP11-18H21.1	0.620948299258886	0.000711635032223257
SLAMF7	RP11-431M7.3	0.614080993380547	0.000846763375289832
SLAMF7	LINC00824	0.504069107845693	0.00864842469835171
SLAMF7	CTC-378H22.1	0.451169481312349	0.0207001088519235
