icp.j.	lnc	cor.cor	p
CD38	PIK3CD-AS1	0.405374084907694	5.34897334093342e-15
CD38	MIAT	0.446059209647822	3.57372915577241e-18
CD38	KIAA0125	0.56198350572811	6.00866000892054e-30
CD38	AC011899.9	0.301876656109177	1.16998830971192e-08
CD38	MIR155HG	0.467091258099882	5.45340906507863e-20
CD38	LINC00528	0.301681579589212	1.19684608208815e-08
CD38	TRG-AS1	0.530506436292337	2.72036814198637e-26
CD38	XXbac-BPG246D15.8	0.308940173378147	5.08561078333356e-09
CD38	PSMB8-AS1	0.308940173378147	5.08561078333356e-09
CD38	AL844908.5	0.326407120113981	5.88327389329807e-10
CD38	ITGB2-AS1	0.326407120113981	5.88327389329807e-10
CD38	RP1-66N13.3	0.332412274518073	2.71311474931492e-10
CD38	LINC00494	0.332412274518073	2.71311474931492e-10
CD38	RP11-493L12.2	0.643834234344654	1.531750558403e-41
CD38	PCED1B-AS1	0.643834234344654	1.531750558403e-41
BTK	PIK3CD-AS1	0.347941847850646	3.38638287824548e-11
BTK	AC016747.3	0.613036642531234	8.84564866507211e-37
BTK	PAXIP1-AS2	0.304720270321463	8.38823922968778e-09
BTK	MIAT	0.397535143493331	1.95916159112011e-14
BTK	RP11-276H19.1	0.40451885581673	6.17313229354278e-15
BTK	KIAA0125	0.377280669320093	4.80210202460062e-13
BTK	DIRC3	0.422207302734338	2.92667486627589e-16
BTK	AC011899.9	0.421369063448116	3.3954880042719e-16
BTK	MIR155HG	0.480192682884543	3.46809435913761e-21
BTK	LINC01010	0.379560001055283	3.38708179657415e-13
BTK	FOXD2-AS1	-0.350259318272714	2.45774643503398e-11
BTK	AP001046.5	0.326294082656865	5.96865535691789e-10
BTK	OIP5-AS1	0.311031338445054	3.95699846857003e-09
BTK	AC145110.1	0.360451644196209	5.81671069093611e-12
BTK	L3MBTL4-AS1	0.406419701115786	4.48681067305321e-15
BTK	CEBPA-AS1	-0.357916635984319	8.36440536959065e-12
BTK	LINC00528	0.346753168560765	3.98742458806596e-11
BTK	TRG-AS1	0.452876163105719	9.50747859853384e-19
BTK	SH3BP5-AS1	0.333404538140573	2.38351015543467e-10
BTK	AC087590.3	0.333404538140573	2.38351015543467e-10
BTK	AL844908.5	0.375876779351381	5.94594143581013e-13
BTK	ITGB2-AS1	0.375876779351381	5.94594143581013e-13
BTK	LINC01281	0.318466735265939	1.59566861252392e-09
BTK	RP11-265P11.2	0.318466735265939	1.59566861252392e-09
BTK	RP1-66N13.3	0.35619668718435	1.06825889432746e-11
BTK	LINC00494	0.35619668718435	1.06825889432746e-11
BTK	AP000279.69	0.34189476846493	7.71993972971712e-11
BTK	PAXBP1-AS1	0.34189476846493	7.71993972971712e-11
BTK	RP11-398A8.3	0.376187779508263	5.67157663562406e-13
BTK	LINC00877	0.376187779508263	5.67157663562406e-13
BTK	RP11-493L12.2	0.660516458332597	2.3431241711261e-44
BTK	PCED1B-AS1	0.660516458332597	2.3431241711261e-44
SLAMF7	MIAT	0.391636294691145	5.08878313777345e-14
SLAMF7	KIAA0125	0.515539039181774	1.10375028775367e-24
SLAMF7	MIR155HG	0.485701004319823	1.05062023604579e-21
SLAMF7	USP30-AS1	0.349712657221663	2.65139919465659e-11
SLAMF7	LINC00528	0.354435394948451	1.37028187096118e-11
SLAMF7	TRG-AS1	0.560075842987466	1.02690564256324e-29
SLAMF7	XXbac-BPG246D15.8	0.333485474764768	2.35841288345938e-10
SLAMF7	PSMB8-AS1	0.333485474764768	2.35841288345938e-10
SLAMF7	AL844908.5	0.421359165847876	3.40144180411651e-16
SLAMF7	ITGB2-AS1	0.421359165847876	3.40144180411651e-16
SLAMF7	RP1-66N13.3	0.300861773561527	1.31638107438368e-08
SLAMF7	LINC00494	0.300861773561527	1.31638107438368e-08
SLAMF7	RP11-493L12.2	0.626779259243197	7.72483417513365e-39
SLAMF7	PCED1B-AS1	0.626779259243197	7.72483417513365e-39
BTN3A1	SNHG11	-0.349135909580291	2.87181919396342e-11
BTN3A1	LINC00943	0.334544188973201	2.05287058106516e-10
BTN3A1	RP11-351J23.1	-0.313376386939284	2.97949180512761e-09
BTN3A1	PAXIP1-AS2	0.359006124287226	7.15823020990407e-12
BTN3A1	RP11-503C24.6	-0.355027339914566	1.26049863727846e-11
BTN3A1	MIAT	0.401938248764498	9.4889227451853e-15
BTN3A1	TFAP2A-AS1	0.372016678967894	1.06427883459514e-12
BTN3A1	FOXP4-AS1	-0.310645544052358	4.14509958418818e-09
BTN3A1	MIR155HG	0.456870567586387	4.3158962223243e-19
BTN3A1	TUSC8	-0.329220955873348	4.10223531040457e-10
BTN3A1	FOXD2-AS1	-0.323885793065403	8.10179471957863e-10
BTN3A1	MNX1-AS1	-0.313323621004008	2.99865634930639e-09
BTN3A1	USP30-AS1	0.53052486174088	2.7076857827944e-26
BTN3A1	JHDM1D-AS1	-0.333264360573033	2.42759291565807e-10
BTN3A1	LINC00526	-0.369284001613044	1.59963942460554e-12
BTN3A1	CTA-384D8.35	0.353678313690903	1.52435215162979e-11
BTN3A1	TRG-AS1	0.424078451466253	2.09740974152302e-16
BTN3A1	LINC01006	-0.383142627645219	1.94594644932529e-13
