icp.j.	lnc	cor.cor	p
CD38	FLJ37453	-0.388593878437897	0.0191720875480028
CD38	FLVCR1-AS1	-0.42109201122785	0.0105413170716273
CD38	RP11-296O14.3	-0.358572338064531	0.0317541402255325
CD38	LINC01588	-0.373720508378499	0.0247527427328471
CD38	CTD-2006C1.2	-0.431252719368267	0.00863989139835344
CD38	RP11-152N13.5	-0.368990165539879	0.0267865982215645
CD38	ITPKB-IT1	-0.432013362619316	0.00851016192707012
CD38	LINC01004	-0.576864535387474	0.00023065923429465
CD38	HMGA1P4	-0.370161690970651	0.0262704858895746
CD38	GAS5	-0.45455987985109	0.00535057876504674
CD38	WDR86-AS1	0.387971811494022	0.0193823601931541
CD38	RP11-1149O23.3	-0.58677370968583	0.000168986613687952
CD38	SNHG18	-0.391033038215782	0.0183658725710038
CD38	HOXA-AS2	-0.344780228659991	0.039465966027762
CD38	WAC-AS1	-0.388825817403323	0.019094175764354
CD38	CTC-378H22.1	-0.416294916683615	0.0115558173557663
CD38	RP11-315O6.1	-0.366041518165555	0.0281227113070913
CD38	RP11-17G12.3	0.540876544928716	0.000659479579862469
CD38	PKI55	-0.40022487114459	0.0155776238786627
CD38	MZF1-AS1	-0.345697294026669	0.0389100541319572
CD38	JMJD1C-AS1	-0.420023835651754	0.0107604144898476
CD38	CTC-543D15.8	-0.431893581695976	0.00853047985510791
CD38	ASAP1-IT2	-0.348780148936604	0.0370876602019065
CD38	LINC01144	-0.332597270108678	0.047480678905889
CD38	CELF2-AS1	0.341517028729721	0.0414964999943984
CD38	C10orf31	0.341517028729721	0.0414964999943984
CD38	RP11-134P9.1	-0.329667222846681	0.0495910543228053
CD38	LINC01136	-0.329667222846681	0.0495910543228053
CD38	AP000279.69	0.594466841694101	0.000131793031549004
CD38	PAXBP1-AS1	0.594466841694101	0.000131793031549004
CD38	LINC00880	0.560116247227279	0.000381738138686404
CD38	RP11-6F2.4	0.560116247227279	0.000381738138686404
CD38	RP11-493L12.2	-0.428673230615846	0.00909246938978268
CD38	PCED1B-AS1	-0.428673230615846	0.00909246938978268
SPAG9	LINC00467	-0.48581621251989	0.00266667228618015
SPAG9	TMEM99	-0.516583992288778	0.00125732828747267
SPAG9	SNHG11	-0.646926964994208	2.01306458795607e-05
SPAG9	LRRC75A-AS1	-0.522966527151171	0.00106617192281177
SPAG9	LINC00476	-0.465524633984419	0.00422153387718674
SPAG9	LINC00982	-0.644920003306304	2.17720514642289e-05
SPAG9	ADORA2A-AS1	0.644162783045518	2.24222738274409e-05
SPAG9	FLJ37453	-0.542489526853037	0.000630724340551232
SPAG9	CSNK1G2-AS1	0.438450668351822	0.0074772968123624
SPAG9	TP53TG1	-0.645187346007741	2.15466065059554e-05
SPAG9	MIR22HG	0.493708101513235	0.00221345879575982
SPAG9	ARHGAP11B	0.551586305564252	0.000488430432864733
SPAG9	C1orf204	0.508663622942748	0.00153609016813913
SPAG9	LINC00265	0.563515281070778	0.000345384120519948
SPAG9	FLVCR1-AS1	-0.495391468811334	0.00212601987251787
SPAG9	RP11-296O14.3	-0.434580294307523	0.00808456610781381
SPAG9	ADD3-AS1	-0.371524074524008	0.025680638757106
SPAG9	ARRDC1-AS1	-0.612026842426733	7.2927028637614e-05
SPAG9	STARD7-AS1	-0.491804653014124	0.00231610435051255
SPAG9	LINC00654	0.343383411016572	0.0403250512257432
SPAG9	H1FX-AS1	-0.35231489967972	0.0350841672604831
SPAG9	LINC01588	-0.523609949369466	0.00104840577001666
SPAG9	BCRP3	-0.40439815239288	0.0144343975683958
SPAG9	LINC00339	-0.432802220444934	0.00837738042180038
SPAG9	CTD-2006C1.2	-0.546032939517977	0.000571429576478366
SPAG9	RP11-545E17.3	-0.595561441073446	0.000127147571102352
SPAG9	ENTPD3-AS1	-0.652717683179319	1.60046179687664e-05
SPAG9	OSER1-AS1	-0.452125982278848	0.00563381398776579
SPAG9	EPB41L4A-AS1	-0.663493034319455	1.03084426161993e-05
SPAG9	AC096559.1	-0.542417970589355	0.000631976007463021
SPAG9	RP4-758J18.2	-0.34361313334852	0.0401827339147266
SPAG9	INE1	0.672057905238396	7.17452251634395e-06
SPAG9	TAF1A-AS1	-0.436132793881313	0.00783609610078108
SPAG9	MIAT	0.343253547649664	0.0404056844227958
SPAG9	CH17-118O6.2	-0.582013764428954	0.000196471998210367
SPAG9	LINC00685	-0.388926011147935	0.0190606010111833
SPAG9	SLC2A1-AS1	-0.440843726376719	0.00712170864872694
SPAG9	RP11-152N13.5	-0.474649897912004	0.00344536495589788
SPAG9	ITPKB-IT1	-0.509313036014921	0.00151134707883175
SPAG9	AL022476.2	-0.539631531349892	0.000682464320246696
SPAG9	FTX	0.71864300923449	7.96813507439452e-07
SPAG9	AC016700.5	-0.337842459520316	0.0438832590925139
SPAG9	SNHG7	-0.430434545037163	0.00878131296850808
SPAG9	AC012146.7	-0.547282106719447	0.000551739312318309
SPAG9	MED14OS	-0.391620944309534	0.0181758488973874
SPAG9	HMGA1P4	-0.546670645862266	0.000561300931613102
SPAG9	GAS5	-0.452643980056785	0.00557247601121713
SPAG9	RP3-400B16.1	0.367017458108899	0.0276745455861212
SPAG9	TTC28-AS1	-0.556299201555907	0.000426598594064302
SPAG9	NIFK-AS1	-0.52416228783898	0.00103336368086024
SPAG9	GS1-124K5.4	-0.462801327037468	0.00448069928742459
SPAG9	AP000251.3	-0.433840872365381	0.0082052544108448
SPAG9	KMT2E-AS1	-0.565494085629049	0.000325673576605686
SPAG9	GK-AS1	0.338530761983472	0.043427953984284
SPAG9	MIATNB	-0.709623210620631	1.26017242608698e-06
SPAG9	SNHG6	-0.646311351702236	2.06217584124279e-05
SPAG9	RAB30-AS1	-0.602589038952245	0.000100668295751298
SPAG9	MGC16275	0.517896935977367	0.0012157074560477
SPAG9	SNHG10	-0.37465274516698	0.0243673850117023
SPAG9	RP11-637A17.2	-0.477833009470425	0.00320547393882339
SPAG9	TMEM161B-AS1	-0.342242207181033	0.0410381102281966
SPAG9	RP11-455F5.3	-0.439675239866086	0.00729348217901048
SPAG9	SNHG18	-0.442080725506497	0.00694365290880434
SPAG9	LINC01181	0.496898246039586	0.00205033301717874
SPAG9	HOXA-AS2	-0.466979252207022	0.00408849895336588
SPAG9	RP13-582O9.5	-0.334410152544987	0.0462114685595614
