icp.j.	lnc	cor.cor	p
CD38	WT1-AS	0.305589017390743	0.000587882173375703
CD38	LINC00943	0.315970385682201	0.000370631068866159
CD38	AC016747.3	0.313951295492153	0.00040595637609251
CD38	LINC00092	0.309700392511996	0.000490698970347632
CD38	MIAT	0.341214924733742	0.000112375426635717
CD38	KIAA0125	0.544340148505552	7.62911924833721e-11
CD38	MIR155HG	0.382515344773145	1.26414592286624e-05
CD38	PRKCQ-AS1	0.404415387332972	3.49848844530558e-06
CD38	AP001046.5	0.33593673330898	0.000145465637790978
CD38	MIATNB	0.308622617662876	0.000514631875244558
CD38	LINC00461	0.359551690169186	4.41988336665875e-05
CD38	RP11-18H21.1	0.501008616285968	3.59455733718692e-09
CD38	LINC01550	0.540062747005713	1.14380043342453e-10
CD38	MGC16275	0.304022046762248	0.000629364212024335
CD38	AC145110.1	0.353548346626904	6.03727199699259e-05
CD38	AC106801.1	0.30566248763781	0.000586000346202422
CD38	LINC00944	0.337947081016453	0.000131918147156953
CD38	RP13-977J11.2	0.300259195186155	0.000740192026236697
CD38	RP11-214O1.3	0.329824846686939	0.000195013639552272
CD38	LINC01539	0.351655796862483	6.65235084612751e-05
CD38	CARD8-AS1	0.345227124256288	9.20699896026662e-05
CD38	TRG-AS1	0.406463388625414	3.08781670328613e-06
CD38	CELF2-AS1	0.376500135806739	1.77088634714492e-05
CD38	C10orf31	0.376500135806739	1.77088634714492e-05
CD38	AL844908.5	0.360627293130933	4.17694576285061e-05
CD38	ITGB2-AS1	0.360627293130933	4.17694576285061e-05
CD38	LINC01281	0.366183949541666	3.10896388421742e-05
CD38	RP11-265P11.2	0.366183949541666	3.10896388421742e-05
CD38	RP11-398A8.3	0.476609365270957	2.51037302390563e-08
CD38	LINC00877	0.476609365270957	2.51037302390563e-08
CD38	RP11-493L12.2	0.457690258744856	1.02411807721012e-07
CD38	PCED1B-AS1	0.457690258744856	1.02411807721012e-07
CD38	CTC-454M9.1	0.451289170225791	1.61706783516342e-07
CD38	MEF2C-AS1	0.451289170225791	1.61706783516342e-07
