icp.j.	lnc	cor.cor	p
SLAMF7	RP11-218M22.1	0.377488125217013	1.03370651451657e-05
SLAMF7	SPATA41	0.355204254705001	3.61812591741383e-05
SLAMF7	HCP5	0.33798024309328	8.95568546152028e-05
SLAMF7	SERPINB9P1	0.300136810700079	0.000548772442830768
SLAMF7	LINC00540	0.407701893930894	1.62205985113442e-06
SLAMF7	TRG-AS1	0.676570659577767	1.37009048602513e-18
SLAMF7	RP11-248C1.2	0.34035484625007	7.92841090433037e-05
SLAMF7	LINC00865	0.34035484625007	7.92841090433037e-05
TNFRSF9	RP11-218M22.1	0.33304386214204	0.000115009595403754
TNFRSF9	LINC00460	0.30572747097115	0.000426129491786195
TNFRSF9	TTC28-AS1	-0.415123429295262	1.00027671607527e-06
TNFRSF9	ZEB1-AS1	-0.365707091574062	2.02793868483593e-05
TNFRSF9	RP11-373N22.3	-0.398510936842958	2.90518041860238e-06
TNFRSF9	RP11-49I11.1	0.441696860288192	1.60645056807056e-07
TNFRSF9	PKI55	-0.354281651247811	3.80321996407653e-05
TNFRSF9	DKFZP434I0714	-0.304189023769407	0.000457075709778005
TNFRSF9	RP5-907D15.4	0.331865789253138	0.000122008527275958
TNFRSF9	CAHM	-0.383940535902595	7.06688933646281e-06
TNFRSF9	LINC00540	0.325546224523248	0.000166824646100751
TNFRSF9	TRG-AS1	0.355902756569621	3.48364940371101e-05
TNFRSF9	ABC12-49244600F4.3	0.346182699348855	5.85469290542922e-05
TNFRSF9	C1RL-AS1	0.346182699348855	5.85469290542922e-05
TNFRSF9	RP11-105N13.2	-0.321042535903749	0.000207633561896814
TNFRSF9	MAPT-AS1	-0.321042535903749	0.000207633561896814
LAG3	SPATA41	0.350711178255501	4.60655745054633e-05
LAG3	LINC00671	0.325705013907051	0.000165532143726748
LAG3	LINC00899	0.32377346376432	0.00018190558621162
LAG3	TRG-AS1	0.421477490705295	6.55136280047693e-07
LAG3	XXbac-BPG170G13.33	0.340669252830134	7.80096330350435e-05
LAG3	HLA-F-AS1	0.340669252830134	7.80096330350435e-05
IL2RB	RP11-23P13.6	0.35368674656029	3.92724109065468e-05
IL2RB	RP11-218M22.1	0.390565451921719	4.74208976396899e-06
IL2RB	LINC00511	-0.479074345952104	9.28429267924176e-09
IL2RB	FAM225A	0.30834745381339	0.000377840317261945
IL2RB	TTC28-AS1	-0.302612405708938	0.000490928600032814
IL2RB	ZEB1-AS1	-0.351595044258371	4.39407121063088e-05
IL2RB	RP11-179A16.1	-0.304849673284678	0.000443541144658076
IL2RB	TRG-AS1	0.428765520215338	3.98883917312325e-07
IL2RB	ABC12-49244600F4.3	0.393317026909618	4.00773997071028e-06
IL2RB	C1RL-AS1	0.393317026909618	4.00773997071028e-06
IL2RB	KIAA0114	-0.322657284833827	0.000192040656428014
IL2RB	DANCR	-0.322657284833827	0.000192040656428014
TLR8	RP11-218M22.1	0.561480991611513	4.45309323992543e-12
