icp.j.	lnc	cor.cor	p
CD38	AC013460.1	0.309720856055505	6.48298332739605e-10
CD38	MIR155HG	0.337594468046861	1.30906589290049e-11
CD38	BZRAP1-AS1	0.402389446097223	2.91635732906201e-16
CD38	LINC00528	0.311603124647872	5.04361642836477e-10
CD38	TRG-AS1	0.407449472374992	1.1381243605938e-16
CD38	RP11-493L12.2	0.368597550209056	1.04979191080244e-13
CD38	PCED1B-AS1	0.368597550209056	1.04979191080244e-13
SPAG9	SNHG16	0.34554499381446	3.99234229269555e-12
SPAG9	LINC00476	-0.51358042305504	4.99155108345563e-27
SPAG9	DLGAP1-AS1	-0.328399567162931	4.95775746124027e-11
SPAG9	LINC00324	-0.333747066240331	2.29770115016268e-11
SPAG9	FLJ37453	-0.399825542489927	4.66938914096723e-16
SPAG9	SNHG12	-0.446938107333787	4.15453971209229e-20
SPAG9	ARRDC1-AS1	-0.558975914005191	1.07434171037973e-32
SPAG9	ENTPD3-AS1	-0.545433259837075	6.49710654642632e-31
SPAG9	EPB41L4A-AS1	-0.592699444921324	1.6621595177246e-37
SPAG9	CH17-118O6.2	-0.336243130775919	1.59648886795001e-11
SPAG9	HYI-AS1	-0.319979599501176	1.6148429219173e-10
SPAG9	APCDD1L-AS1	0.324997848518191	8.02392313044385e-11
SPAG9	TMEM44-AS1	-0.346327563945989	3.54541875567912e-12
SPAG9	LINC00342	-0.332501942833054	2.75195294570502e-11
SPAG9	SNHG15	-0.313085359527116	4.1337018093781e-10
SPAG9	HOTAIRM1	-0.336097574672917	1.63089563961235e-11
SPAG9	RP11-30P6.6	0.327717788466942	5.46263658674577e-11
SPAG9	ASMTL-AS1	-0.423621426714896	5.04295559317657e-18
SPAG9	GS1-124K5.4	-0.377451761421199	2.39676144422833e-14
SPAG9	PRKAG2-AS1	-0.433202775159341	7.33990781171133e-19
SPAG9	CTC-241N9.1	-0.300680734521655	2.11244429342814e-09
SPAG9	SNHG6	-0.557092168242659	1.92244987962861e-32
SPAG9	RAB30-AS1	-0.304552168311073	1.28007804419946e-09
SPAG9	TMEM161B-AS1	-0.553870918347173	5.15571173768551e-32
SPAG9	LINC01181	0.312858352101196	4.2618974957283e-10
SPAG9	RP11-37B2.1	-0.309596869473517	6.59067646983242e-10
SPAG9	CTD-2336O2.1	-0.413143383265296	3.87227180823447e-17
SPAG9	CTD-3074O7.5	-0.338531932851345	1.14001862346383e-11
SPAG9	SNHG1	-0.384306929645118	7.40244923636313e-15
SPAG9	USP30-AS1	-0.374430281186693	3.98781725021783e-14
SPAG9	RP13-977J11.2	-0.352878994173919	1.29525604811206e-12
SPAG9	PSMA3-AS1	-0.330244059030873	3.80903874076731e-11
SPAG9	RP11-49I11.1	-0.430188622786072	1.35479189614646e-18
SPAG9	RP11-333E1.1	-0.411167494539626	5.6423667157809e-17
SPAG9	MAFG-AS1	-0.310216688977055	6.06914865584263e-10
SPAG9	PTOV1-AS1	-0.380599735751367	1.40217041911721e-14
SPAG9	NAPA-AS1	-0.422079704872375	6.83742673497279e-18
SPAG9	CTD-2371O3.3	-0.491886978120773	1.31645683560216e-24
SPAG9	STAG3L5P-PVRIG2P-PILRB	-0.333275593935249	2.46037768156279e-11
SPAG9	LINC01138	-0.487282228312911	4.08756616584513e-24
SPAG9	HEIH	-0.546001498282164	5.4901852030645e-31
SPAG9	AC136007.2	-0.36480414184381	1.94970855272662e-13
SPAG9	PCBP1-AS1	-0.36480414184381	1.94970855272662e-13
SPAG9	Z83851.3	0.349031438673383	2.34645558201821e-12
SPAG9	OGFRP1	0.349031438673383	2.34645558201821e-12
SPAG9	XXbac-BPG246D15.8	-0.457018146957089	4.64100538401211e-21
SPAG9	PSMB8-AS1	-0.457018146957089	4.64100538401211e-21
SPAG9	TNRC6C-AS1	-0.439935771410485	1.82561347274686e-19
SPAG9	RP11-153A23.6	-0.439935771410485	1.82561347274686e-19
SPAG9	RP4-751H13.6	-0.395910548603526	9.50619320810939e-16
