icp.j.	lnc	cor.cor	p
BTK	LINC00943	0.362594609251054	0.0104543560504587
BTK	LINC01588	0.336677603366619	0.01800973692411
BTK	KIF9-AS1	-0.342257278704623	0.0160777080032426
BTK	AC011899.9	0.511321302071479	0.000173602537658989
BTK	MIR155HG	0.481081552892554	0.000466740905211706
BTK	SAPCD1-AS1	-0.331787815113624	0.0198612704847566
BTK	DLEU7-AS1	0.364467518949393	0.0100344377746486
BTK	BZRAP1-AS1	0.396731498094144	0.00476857372646256
BTK	LINC00528	0.303460961193453	0.0340350876806731
BTK	TRG-AS1	0.362062525139529	0.0105763769996991
BTK	RP11-426L16.8	0.386714540622684	0.00605471764787558
BTK	LINC01356	0.386714540622684	0.00605471764787558
BTK	TEX26-AS1	0.325862350310417	0.0223180494680707
BTK	RP11-252M21.4	0.325862350310417	0.0223180494680707
BTK	AL844908.5	0.509769573483894	0.000183055573945778
BTK	ITGB2-AS1	0.509769573483894	0.000183055573945778
BTK	RP11-493L12.2	0.61870512386812	2.15706365505371e-06
BTK	PCED1B-AS1	0.61870512386812	2.15706365505371e-06
BTK	RP11-70F11.6	-0.343299254611433	0.0157371771662474
BTK	BCDIN3D-AS1	-0.343299254611433	0.0157371771662474
CD44	LINC01588	0.403321079453819	0.00405919389688788
CD44	LINC00152	0.362448041984903	0.0104878462699759
CD44	KIAA0125	0.401728028826422	0.00422160426325576
CD44	LIMD1-AS1	-0.33212095362639	0.0197302158331031
CD44	AC011899.9	0.403548704165783	0.00403644153258045
CD44	MIR155HG	0.529703583949406	9.08135672337897e-05
CD44	ZNF503-AS2	-0.406767325170675	0.00372650227088962
CD44	RP11-417F21.1	0.374041183997937	0.00810748475334616
CD44	CTD-2047H16.4	-0.413985634713919	0.00310637693098723
CD44	LINC00528	0.572263109377745	1.73908958051388e-05
CD44	TRG-AS1	0.325371042953744	0.0225327537425819
CD44	AL844908.5	0.302246660530524	0.0347935770665051
CD44	ITGB2-AS1	0.302246660530524	0.0347935770665051
CD44	RP11-357C3.3	-0.361334045190861	0.0107454229221269
CD44	LINC01278	-0.361334045190861	0.0107454229221269
CD44	RP11-124N2.3	-0.369467651000984	0.0089838359032758
CD44	ALDH1L1-AS2	-0.369467651000984	0.0089838359032758
CD44	RP11-493L12.2	0.42458782481649	0.00236044526423451
CD44	PCED1B-AS1	0.42458782481649	0.00236044526423451
CD44	LINC00909	-0.407997200161811	0.0036137169964839
CD44	RP11-231E4.4	-0.407997200161811	0.0036137169964839
SLAMF7	LINC00943	0.425735312172278	0.00229011199350772
SLAMF7	LINC01588	0.330308557161022	0.0204521179766788
SLAMF7	C5orf66	0.336378424461401	0.0181186613285167
SLAMF7	CADM3-AS1	0.454473531779469	0.00103656441443995
SLAMF7	KIAA0125	0.419747325863852	0.00267864353170732
SLAMF7	LINC00511	0.377021708589793	0.00757709209380477
SLAMF7	KIF9-AS1	-0.369321638044298	0.00901311191381372
SLAMF7	AC011899.9	0.673057930760202	1.16940835127524e-07
SLAMF7	MYCNOS	0.34463343389023	0.0153101282053562
SLAMF7	MIR155HG	0.584838325079731	1.02003135604041e-05
SLAMF7	ZNF503-AS2	-0.517690797175458	0.000139272981318867
SLAMF7	DLEU7-AS1	0.492195665633856	0.000327962377976176
SLAMF7	HOXD-AS2	-0.406135087309733	0.00378567712399031
SLAMF7	RP11-637A17.2	-0.324326332294779	0.0229950768191928
SLAMF7	RP11-417F21.1	0.411605980349052	0.00329992050984968
