icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.367702973425317	6.44260951643087e-16
CD38	LINC00544	0.327489258159684	9.25845937914593e-13
CD38	PIK3CD-AS1	0.313718229916444	8.83509186545171e-12
CD38	ARHGAP11B	0.479670268360924	2.19179222049055e-27
CD38	LINC00943	0.356579303707438	5.34713186414706e-15
CD38	SNHG5	-0.304590254557785	3.70077618512054e-11
CD38	HCP5	0.480013336145636	1.98929712960725e-27
CD38	OSER1-AS1	-0.355823575523971	6.15553928509544e-15
CD38	EPB41L4A-AS1	-0.347453739551317	2.85509855990795e-14
CD38	MIAT	0.520104548810968	1.08634767865255e-32
CD38	KIAA0125	0.46854376002165	4.79436984253083e-26
CD38	AC011893.3	0.387039090274752	1.33161316760147e-17
CD38	AC009299.3	0.306118605431932	2.92164729799255e-11
CD38	RP3-399L15.3	0.331866491720796	4.41135412885933e-13
CD38	TFAP2A-AS1	0.335363309459469	2.41903956667542e-13
CD38	AC011899.9	0.531079883775326	2.94632716329794e-34
CD38	MIR155HG	0.552240292356413	1.91290378963018e-37
CD38	DLEU7-AS1	0.416280382196595	2.26872213390063e-20
CD38	WDR86-AS1	0.306948554754528	2.56818572522593e-11
CD38	RP11-18H21.1	0.433284673459387	4.13213995406937e-22
CD38	RP11-431M7.3	0.462591334939638	2.38593236718654e-25
CD38	AC145110.1	0.468474898525128	4.88508822344955e-26
CD38	CTC-378H22.1	0.336316420104617	2.0509069257637e-13
CD38	USP30-AS1	0.618521834353152	4.61908745677871e-49
CD38	C12orf79	0.429144398521728	1.11909487044046e-21
CD38	ARHGAP5-AS1	-0.424275453625784	3.54926162922981e-21
CD38	L3MBTL4-AS1	0.406754732223389	1.94039974376442e-19
CD38	BZRAP1-AS1	0.538948336038583	2.04313354170895e-35
CD38	LINC00528	0.330330321784318	5.72996983042824e-13
CD38	CTA-384D8.35	0.443045141079392	3.73487425140525e-23
CD38	TRG-AS1	0.700337090408829	6.94380448817728e-68
CD38	CELF2-AS1	0.377504703806615	9.31388396342203e-17
CD38	C10orf31	0.377504703806615	9.31388396342203e-17
CD38	XXbac-BPG246D15.8	0.420287281621458	9.00965387427532e-21
CD38	PSMB8-AS1	0.420287281621458	9.00965387427532e-21
CD38	TNRC6C-AS1	0.365852030428289	9.21477814077888e-16
CD38	RP11-153A23.6	0.365852030428289	9.21477814077888e-16
CD38	RP11-426L16.8	0.415217837626615	2.89226194906436e-20
CD38	LINC01356	0.415217837626615	2.89226194906436e-20
CD38	TRAM2-AS1	-0.301337831579791	6.09238280224273e-11
CD38	RP1-180E22.3	-0.301337831579791	6.09238280224273e-11
CD38	RP11-90D4.2	0.320557169746553	2.92378552240906e-12
CD38	LINC00937	0.320557169746553	2.92378552240906e-12
CD38	AL844908.5	0.392169557224429	4.55264653522549e-18
CD38	ITGB2-AS1	0.392169557224429	4.55264653522549e-18
CD38	AC013400.2	0.423102913370515	4.67350954099636e-21
CD38	LINC00954	0.423102913370515	4.67350954099636e-21
CD38	EPHA1-AS1	0.316571536716612	5.58890417656965e-12
CD38	AC092214.10	0.316571536716612	5.58890417656965e-12
CD38	LINC00582	0.389440003700644	8.07730087960543e-18
CD38	RP11-17H4.2	0.389440003700644	8.07730087960543e-18
CD38	LINC01281	0.528696756795811	6.52142172131425e-34
CD38	RP11-265P11.2	0.528696756795811	6.52142172131425e-34
CD38	RP11-364F11.1	0.315629618011463	6.50453622370303e-12
