icp.j.	lnc	cor.cor	p
CD38	LINC00544	0.329909376850865	2.55283246098711e-07
CD38	PIK3CD-AS1	0.310353038678901	1.35376631655778e-06
CD38	C22orf34	0.431727326800992	5.36832189054027e-12
CD38	COLCA1	-0.302687949947058	2.52188346134672e-06
CD38	APTR	-0.316384714997086	8.19462379392263e-07
CD38	MIAT	0.476112357623509	1.38391946217294e-14
CD38	KIAA0125	0.597237700266597	6.49439028461965e-24
CD38	AC011899.9	0.52712577819537	4.60993003388795e-18
CD38	MIR155HG	0.466987376554292	5.06221067988195e-14
CD38	AP001046.5	0.358330943079635	1.82015935600352e-08
CD38	RP11-18H21.1	0.464463822061564	7.19733149498961e-14
CD38	NNT-AS1	-0.370584514211814	5.36608813119394e-09
CD38	USP30-AS1	0.348113737990964	4.84839212210352e-08
CD38	CTD-2576D5.4	0.361002229005033	1.40076191896775e-08
CD38	LINC01569	-0.303530670634861	2.35718414830807e-06
CD38	BZRAP1-AS1	0.338149797217699	1.21952746744436e-07
CD38	CARD8-AS1	0.543654309845265	2.54676181624939e-19
CD38	A1BG-AS1	0.445765495432944	8.9381471492679e-13
CD38	LINC00528	0.483155994522606	4.95171383017826e-15
CD38	CTA-384D8.35	0.305808662843337	1.9617635449738e-06
CD38	TRG-AS1	0.70380854139115	3.68179274724071e-36
CD38	XXbac-BPG246D15.8	0.310620230298803	1.32430334162621e-06
CD38	PSMB8-AS1	0.310620230298803	1.32430334162621e-06
CD38	TNRC6C-AS1	0.365200387683991	9.23591379933822e-09
CD38	RP11-153A23.6	0.365200387683991	9.23591379933822e-09
CD38	RP3-404F18.2	-0.307679293173625	1.68522133784001e-06
CD38	SLC25A5-AS1	-0.307679293173625	1.68522133784001e-06
CD38	AL844908.5	0.311258787419788	1.25635176138284e-06
CD38	ITGB2-AS1	0.311258787419788	1.25635176138284e-06
CD38	AC122136.1	0.319250840375461	6.43048372831004e-07
CD38	LINC00607	0.319250840375461	6.43048372831004e-07
CD38	RP11-493L12.2	0.577641588539134	3.89489543313331e-22
CD38	PCED1B-AS1	0.577641588539134	3.89489543313331e-22
CD38	CTC-454M9.1	0.312645926734089	1.12003749232442e-06
CD38	MEF2C-AS1	0.312645926734089	1.12003749232442e-06
CD38	RP11-744N12.2	0.313909274523453	1.00828809693721e-06
CD38	SENCR	0.313909274523453	1.00828809693721e-06
CD38	RP11-70F11.6	-0.322493737016303	4.87297112690493e-07
CD38	BCDIN3D-AS1	-0.322493737016303	4.87297112690493e-07
CD38	IQCH-AS1	-0.328808315265977	2.81308855765536e-07
CD38	RP11-502I4.1	-0.328808315265977	2.81308855765536e-07
CD38	LINC01215	0.412749734970392	5.33266982867822e-11
CD38	RP11-861A13.4	0.412749734970392	5.33266982867822e-11
TNFRSF12A	LINC00467	0.401585474867902	1.92746005153608e-10
TNFRSF12A	TPT1-AS1	0.319151680655938	6.4849182757326e-07
TNFRSF12A	RP11-23P13.6	0.308400103503291	1.58893998331574e-06
TNFRSF12A	SNHG11	0.327419315240189	3.17785494405806e-07
TNFRSF12A	TP53TG1	0.355543521349947	2.38609452064945e-08
TNFRSF12A	ARRDC1-AS1	0.372204182611907	4.54847033515601e-09
TNFRSF12A	ENTPD3-AS1	0.355398997637027	2.41965291490055e-08
TNFRSF12A	LHFPL3-AS2	0.363236006496608	1.12316328524065e-08
TNFRSF12A	KCNIP2-AS1	0.351782672861205	3.42405038804005e-08
TNFRSF12A	BAIAP2-AS1	0.449748094363958	5.29392491062363e-13
TNFRSF12A	RP11-152N13.5	0.301330059384234	2.81057224416863e-06
TNFRSF12A	AC016700.5	0.353007495786414	3.04565865746572e-08
TNFRSF12A	DLEU2	-0.331712941403027	2.17571954028244e-07
TNFRSF12A	TMEM44-AS1	0.373078032368438	4.15878962832046e-09
TNFRSF12A	RP11-14N7.2	0.383448920537895	1.40737226859592e-09
TNFRSF12A	LINC00884	0.333948915990131	1.78204805271077e-07
TNFRSF12A	HOTAIRM1	0.383297122628976	1.43026380332804e-09
TNFRSF12A	AC005083.1	0.446132254967406	8.5196773542044e-13
TNFRSF12A	DNAJC9-AS1	0.315490507737966	8.83392292413899e-07
TNFRSF12A	NIFK-AS1	0.401601132387874	1.92405351866972e-10
TNFRSF12A	GS1-124K5.4	0.349895525555375	4.09712067874054e-08
TNFRSF12A	KMT2E-AS1	0.313015356108167	1.08619031852513e-06
TNFRSF12A	ADAMTS9-AS1	0.423905207602888	1.40727899470146e-11
TNFRSF12A	TIPARP-AS1	0.341890769927146	8.65820699938928e-08
TNFRSF12A	RP11-455F5.3	0.325434845079209	3.77858936496852e-07
TNFRSF12A	HOXA-AS2	0.458605704953164	1.6111776487651e-13
TNFRSF12A	CTD-2336O2.1	0.360176970237773	1.51920413046124e-08
TNFRSF12A	FLJ20021	0.389362006688598	7.45847006673701e-10
TNFRSF12A	SNHG9	0.338130390562039	1.22168210133534e-07
TNFRSF12A	BRWD1-AS2	0.347045958672762	5.36042098721711e-08
TNFRSF12A	URB1-AS1	0.371730830505786	4.77405971868129e-09
TNFRSF12A	AC156455.1	0.398558030286925	2.7088012249424e-10
TNFRSF12A	LBX2-AS1	0.472985804027826	2.16761434321845e-14
TNFRSF12A	RP11-529K1.2	0.384448276971361	1.26528397540468e-09
TNFRSF12A	LINC01569	0.455134159379412	2.57873680648743e-13
TNFRSF12A	RP11-6N17.4	0.378845916505926	2.28718231712174e-09
TNFRSF12A	ZNF561-AS1	0.426313106878389	1.04877785291506e-11
TNFRSF12A	ZNF790-AS1	0.335557541845347	1.5421620558301e-07
TNFRSF12A	MAN1B1-AS1	0.460890032796896	1.17887731426259e-13
TNFRSF12A	RP4-769N13.6	-0.337408055532675	1.30453407031627e-07
TNFRSF12A	RASSF1-AS1	0.395943398299426	3.6242778494128e-10
TNFRSF12A	KANSL1-AS1	0.348360003255157	4.73716811782391e-08
TNFRSF12A	RP11-197O15.1	0.348360003255157	4.73716811782391e-08
TNFRSF12A	DLG3-AS1	0.383664843737303	1.37542070482984e-09
TNFRSF12A	RP11-528B10.4	0.383664843737303	1.37542070482984e-09
TNFRSF12A	AC108488.3	0.353987140644183	2.77234420496009e-08
TNFRSF12A	RNASEH1-AS1	0.353987140644183	2.77234420496009e-08
TNFRSF12A	RP11-202D20.1	0.391702528498379	5.78065019367795e-10
TNFRSF12A	MYLK-AS1	0.391702528498379	5.78065019367795e-10
TNFRSF12A	CTD-2003C8.1	0.40445405618671	1.39177272812259e-10
TNFRSF12A	ZBED5-AS1	0.40445405618671	1.39177272812259e-10
TNFRSF12A	NR2F2-AS1	0.305900401454029	1.94724693791009e-06
TNFRSF12A	RP11-327J17.3	0.305900401454029	1.94724693791009e-06
TNFRSF12A	RP11-520M5.5	0.380314483188585	1.96052595972095e-09
TNFRSF12A	NOP14-AS1	0.380314483188585	1.96052595972095e-09
TNFRSF12A	RBPMS-AS1	0.445627105349952	9.10120114554778e-13
TNFRSF12A	CTD-3107M8.4	0.445627105349952	9.10120114554778e-13
TNFRSF12A	RARA-AS1	0.404780288666358	1.34091101699132e-10
TNFRSF12A	CTD-2267D19.2	0.404780288666358	1.34091101699132e-10
TNFRSF12A	ZSCAN16-AS1	0.304218786265713	2.23036073501804e-06
TNFRSF12A	RP1-265C24.9	0.304218786265713	2.23036073501804e-06
TNFRSF12A	YTHDF3-AS1	0.314124234867112	9.90368033488604e-07
TNFRSF12A	RP11-16E18.4	0.314124234867112	9.90368033488604e-07
BTK	RP11-218M22.1	0.331013240944486	2.31519412748509e-07
BTK	PIK3CD-AS1	0.491701446741351	1.37813160689101e-15
BTK	PRR34	0.378639402129978	2.3371457695591e-09
BTK	C22orf34	0.345556100125734	6.16260027306007e-08
BTK	RP4-794H19.1	0.342416202433781	8.24852691809778e-08
BTK	AC011899.9	0.839753998582371	3.36829172626538e-63
BTK	MIR155HG	0.38004793364917	2.01625275196149e-09
BTK	LINC01010	0.35991947918448	1.55809760196686e-08
BTK	CTC-378H22.1	0.317929191152922	7.19332347141575e-07
BTK	CTD-2576D5.4	0.307832106065503	1.6643554616689e-06
BTK	BZRAP1-AS1	0.354053655701698	2.7546701590334e-08
BTK	CARD8-AS1	0.594740329405929	1.1114586880946e-23
BTK	A1BG-AS1	0.405595590719421	1.22156395131196e-10
BTK	LINC00528	0.424484062565394	1.3115183762566e-11
BTK	RP11-442O1.4	0.402646975138065	1.70927546675733e-10
BTK	TRG-AS1	0.61057844483138	3.3943518088972e-25
BTK	XXbac-BPG246D15.8	0.308553757221354	1.56910642379201e-06
BTK	PSMB8-AS1	0.308553757221354	1.56910642379201e-06
BTK	TNRC6C-AS1	0.309883088245271	1.40711305786012e-06
BTK	RP11-153A23.6	0.309883088245271	1.40711305786012e-06
BTK	RP11-426L16.8	0.333794471085525	1.80687883596032e-07
BTK	LINC01356	0.333794471085525	1.80687883596032e-07
BTK	AL844908.5	0.348924349949866	4.49147544133651e-08
BTK	ITGB2-AS1	0.348924349949866	4.49147544133651e-08
BTK	RP11-493L12.2	0.733544575143297	1.28612536547572e-40
BTK	PCED1B-AS1	0.733544575143297	1.28612536547572e-40
BTK	RP11-744N12.2	0.406861343148667	1.05644742948703e-10
BTK	SENCR	0.406861343148667	1.05644742948703e-10
BTK	RP11-566K8.2	0.351118936519963	3.64762819281149e-08
BTK	LINC00639	0.351118936519963	3.64762819281149e-08
CD44	TPT1-AS1	-0.31960842474694	6.23779535277563e-07
CD44	SNHG11	-0.331126821472671	2.29198440141183e-07
CD44	AC073072.5	0.37840455771946	2.39524699356307e-09
CD44	COLCA1	-0.443250299251285	1.2399045793396e-12
CD44	LINC00173	-0.338778483857897	1.15166998554665e-07
CD44	NBR2	-0.319448144478333	6.32347044208238e-07
CD44	LINC00671	-0.475699706019474	1.46873790628365e-14
CD44	APTR	-0.38139160298045	1.75013899336994e-09
CD44	ALOX12-AS1	-0.468057866665924	4.35641079374075e-14
CD44	BCRP3	-0.350045557500942	4.03925415879134e-08
CD44	KIAA0125	0.407266518047005	1.00833146405571e-10
CD44	LINC01004	-0.310739442929456	1.31135646246989e-06
CD44	TMEM44-AS1	-0.31062769977748	1.32348855825558e-06
CD44	AC034220.3	-0.379548486579418	2.12482638212377e-09
CD44	INTS6-AS1	-0.322365766147075	4.92690028595139e-07
CD44	GS1-124K5.4	-0.36604276750373	8.48926052828039e-09
CD44	AP001046.5	0.316820600325336	7.89928056093913e-07
CD44	ADAMTS9-AS1	-0.40678234033888	1.06608565269023e-10
CD44	RAB30-AS1	-0.319197824039824	6.45953282799173e-07
CD44	LINC01550	-0.407200354427488	1.01604055872027e-10
CD44	TMEM161B-AS1	-0.419012444457524	2.53956397407969e-11
CD44	NNT-AS1	-0.418297360925263	2.7662048345639e-11
CD44	RP11-455F5.3	-0.33325269240936	1.89663696368681e-07
CD44	SNHG18	-0.396312640318513	3.47881777942292e-10
CD44	AGAP2-AS1	0.319642519739722	6.21971437011183e-07
CD44	LBX2-AS1	-0.450914571315187	4.53514882678543e-13
CD44	RP11-795F19.1	-0.30579944243195	1.96322827034346e-06
CD44	LINC01003	-0.336073453961746	1.4720296790472e-07
CD44	RP11-333E1.1	-0.400095586116563	2.2798382210924e-10
CD44	LINC01569	-0.385131294685419	1.17627346770491e-09
CD44	LINC00526	-0.405333708175122	1.25872805654171e-10
CD44	ZNF790-AS1	-0.327075682274739	3.27486434643678e-07
CD44	A1BG-AS1	0.408449894080398	8.79670315857416e-11
CD44	NFYC-AS1	-0.305447348998088	2.01994818048734e-06
CD44	ADIRF-AS1	-0.389750107470221	7.15085845335524e-10
CD44	RP3-404F18.2	-0.354551145858096	2.62588095406464e-08
CD44	SLC25A5-AS1	-0.354551145858096	2.62588095406464e-08
CD44	KB-1572G7.1	-0.448721855579385	6.06283151550589e-13
CD44	GUSBP11	-0.448721855579385	6.06283151550589e-13
CD44	AC013400.2	-0.345743542598886	6.05566021426715e-08
CD44	LINC00954	-0.345743542598886	6.05566021426715e-08
CD44	AL356017.3	-0.308000704669191	1.64162040578366e-06
CD44	DICER1-AS1	-0.308000704669191	1.64162040578366e-06
CD44	LINC00886	-0.318962220100788	6.59015338199721e-07
CD44	RP11-392A22.2	-0.318962220100788	6.59015338199721e-07
CD44	RP11-124N2.3	-0.348246952702202	4.78791807774021e-08
CD44	ALDH1L1-AS2	-0.348246952702202	4.78791807774021e-08
CD44	RP5-916L7.1	-0.362303486408771	1.23190181317485e-08
CD44	LINC00939	-0.362303486408771	1.23190181317485e-08
CD44	RP11-335L23.3	-0.352664698701023	3.14729280972203e-08
CD44	WWC2-AS2	-0.352664698701023	3.14729280972203e-08
CD44	OVOL1-AS1	-0.397315034185752	3.11190525371878e-10
CD44	RP11-770G2.4	-0.397315034185752	3.11190525371878e-10
CD44	RP11-566K8.2	0.341380972289092	9.07436024539619e-08
CD44	LINC00639	0.341380972289092	9.07436024539619e-08
CD44	ZSCAN16-AS1	-0.341624010655622	8.8736209672182e-08
CD44	RP1-265C24.9	-0.341624010655622	8.8736209672182e-08
CD44	LINC01215	0.392257387297317	5.44016786211936e-10
