icp.j.	lnc	cor.cor	p
IDO1	AC096559.1	0.31819594944996	0.000593470604883599
IDO1	CTD-2576D5.4	0.325955254259277	0.000426438633327661
IDO1	MAFG-AS1	-0.315236207526879	0.000671664739524177
IDO1	CTD-3252C9.4	-0.324163559022781	0.000460618388456621
IDO1	ADIRF-AS1	-0.307472886032152	0.000923758199351271
IDO1	RP11-442O1.4	0.308261883083122	0.000894667612526586
IL10	AC122136.1	0.428932174726694	2.13585189612619e-06
IL10	LINC00607	0.428932174726694	2.13585189612619e-06
AXL	GAS6-AS1	-0.303567867944213	0.00108087802985037
PDCD1	GAS6-AS1	0.394288460745607	1.5522480157542e-05
PDCD1	CTD-2576D5.4	0.30579407048254	0.000988553845598612
PDCD1	NAPA-AS1	0.447480499684339	6.72389624154936e-07
