icp.j.	lnc	cor.cor	p
CD38	FAM182A	0.416275678835913	4.99461190971758e-18
CD38	H19	-0.371131663136645	2.23169530240871e-14
CD38	COLCA1	0.603124447482847	1.36478414792292e-40
CD38	ADD3-AS1	0.401327219423863	9.32197606503364e-17
CD38	DKFZp779M0652	0.510404858892918	1.18098754805339e-27
CD38	LINC01310	0.365216491609769	6.11590666803679e-14
CD38	ALOX12-AS1	0.382705331674369	2.92176536564647e-15
CD38	LINC00152	-0.480164828436994	3.13011683956046e-24
CD38	RP11-54O7.3	0.3259369719258	2.97170981704988e-11
CD38	FLJ37035	0.363483249774198	8.18564839298395e-14
CD38	AC096559.1	-0.300407193416136	1.05667405659798e-09
CD38	BAIAP2-AS1	0.326000241383351	2.94426704521464e-11
CD38	RP3-399L15.3	0.320847864655356	6.22369660320116e-11
CD38	EMX2OS	0.411316019551738	1.34057172988109e-17
CD38	TMEM254-AS1	0.52171865704831	5.02461567007294e-29
CD38	AL022476.2	0.309360403765086	3.1393901979197e-10
CD38	RP11-38L15.3	0.429015660677932	3.66406535633699e-19
CD38	LINC00689	0.312196844001044	2.11887658751039e-10
CD38	RP11-374M1.2	0.33196529502647	1.21587540213055e-11
CD38	RP11-365O16.3	0.362941491993759	8.96324118173006e-14
CD38	LINC00463	0.418382490168679	3.26733166325015e-18
CD38	RP11-61I13.3	0.662187771344909	2.5384321157548e-51
CD38	INTS6-AS1	0.450127214915854	3.75861268965245e-21
CD38	FOXD2-AS1	-0.327745127021413	2.27765882283204e-11
CD38	RP11-31F15.2	0.505136240247347	4.93709363071295e-27
CD38	RP11-379K17.4	0.421718869522514	1.65826655756371e-18
CD38	GLYCTK-AS1	0.323615488189826	4.17062318868187e-11
CD38	RP1-63G5.5	0.312884252043273	1.9250986494869e-10
CD38	LINC00461	0.385115097925053	1.89382497251387e-15
CD38	RP11-2O17.2	0.332209745743189	1.17211505521375e-11
CD38	RP11-9G1.3	0.511614773629958	8.47327473733605e-28
CD38	CTD-2292P10.4	0.38629252820975	1.53026441974515e-15
CD38	RP11-410L14.2	0.315153861142511	1.40012301410758e-10
CD38	RP11-231N3.1	0.444662717243114	1.26833235382615e-20
CD38	NAV2-AS4	0.356948820504253	2.4180898452277e-13
CD38	RP11-315O6.1	0.351048679932143	6.29566763041257e-13
CD38	RP11-890B15.3	0.417774422344007	3.69421007160041e-18
CD38	LBX2-AS1	-0.311622867047853	2.29510761520543e-10
CD38	DIO3OS	0.332816499181757	1.07003222913638e-11
CD38	LINC00928	0.32273608543479	4.73841032881609e-11
CD38	RP11-57H14.4	0.371612179895224	2.05433869209287e-14
CD38	LINC00621	0.326355861677071	2.7945557286188e-11
CD38	BZRAP1-AS1	0.40906005509924	2.08922052772787e-17
CD38	LINC01532	0.550174654370547	1.03648264718483e-32
CD38	DKFZp434J0226	0.301872426708937	8.68763966592512e-10
CD38	CTB-113D17.1	0.35157406988726	5.78611278082859e-13
CD38	RP11-67L2.2	0.339333300854926	3.9704358191845e-12
CD38	RP11-480C22.1	0.359190716945598	1.6722034852246e-13
CD38	AC090937.2	0.397011980052183	2.11189648353794e-16
CD38	FGD5-AS1	0.397011980052183	2.11189648353794e-16
CD38	TRAM2-AS1	0.40013550909117	1.16979464442724e-16
CD38	RP1-180E22.3	0.40013550909117	1.16979464442724e-16
CD38	RP11-323P17.1	0.612872631272978	3.30498517006617e-42
CD38	WDR11-AS1	0.612872631272978	3.30498517006617e-42
CD38	RP1-66N13.3	0.451347187823408	2.85625847355577e-21
CD38	LINC00494	0.451347187823408	2.85625847355577e-21
CD38	C21orf91-OT1	0.50354002991709	7.57809443050785e-27
CD38	AL109761.3	0.50354002991709	7.57809443050785e-27
CD38	RP11-433A10.1	0.317328706039272	1.02932180754638e-10
CD38	LINC00870	0.317328706039272	1.02932180754638e-10
CD38	RRS1-AS1	0.338517260163964	4.5010022864459e-12
CD38	RP11-346I3.4	0.338517260163964	4.5010022864459e-12
CD38	CTD-2003C8.1	0.335332250833993	7.31785664380488e-12
CD38	ZBED5-AS1	0.335332250833993	7.31785664380488e-12
CD38	LINC00967	0.311971043458023	2.18657511340763e-10
CD38	RP11-366K18.3	0.311971043458023	2.18657511340763e-10
CD38	OTUD6B-AS1	0.35192009837069	5.47278330950465e-13
CD38	GS1-251I9.4	0.35192009837069	5.47278330950465e-13
CD38	RP11-879D6.1	0.416092917909609	5.18118375326639e-18
CD38	CASC17	0.416092917909609	5.18118375326639e-18
CD38	SSTR5-AS1	0.350260366876152	7.14351968029359e-13
CD38	RP11-161M6.4	0.350260366876152	7.14351968029359e-13
CD38	RP11-105N13.2	0.372153407864357	1.87108596500214e-14
CD38	MAPT-AS1	0.372153407864357	1.87108596500214e-14
CD38	CTD-2081K17.1	0.355262118633441	3.1853521530943e-13
CD38	LINC00906	0.355262118633441	3.1853521530943e-13
CD38	RP11-691H4.1	0.333942968441408	9.03016027200145e-12
CD38	LDLRAD4-AS1	0.333942968441408	9.03016027200145e-12
TNFRSF12A	LINC01587	0.320465229564293	6.57573290283827e-11
TNFRSF12A	PINK1-AS	0.409434339835339	1.94140182782932e-17
TNFRSF12A	H19	0.323984983654877	3.95236326974478e-11
TNFRSF12A	TPT1-AS1	-0.355272764872128	3.17983249865536e-13
TNFRSF12A	LRRC75A-AS1	-0.380740651168911	4.14977611664453e-15
TNFRSF12A	C8orf31	-0.352135079115882	5.2865411682191e-13
TNFRSF12A	DLGAP1-AS1	0.395364110390868	2.87698618884077e-16
TNFRSF12A	ZFAS1	-0.31073362375475	2.59663739872484e-10
TNFRSF12A	FAM87B	0.386045889646136	1.60025370398003e-15
TNFRSF12A	C11orf72	-0.344963918716961	1.65429838863858e-12
TNFRSF12A	MIR22HG	0.589841564349751	1.77554469692236e-38
TNFRSF12A	ARHGAP11B	0.354195780857375	3.78840612946887e-13
TNFRSF12A	SPATA41	-0.390354625980789	7.28653842523298e-16
TNFRSF12A	ADD3-AS1	-0.385118142947839	1.89278336114761e-15
TNFRSF12A	DKFZp779M0652	-0.402020641814283	8.16491532224204e-17
TNFRSF12A	LINC01310	-0.497360192319803	3.89810238458394e-26
TNFRSF12A	HCP5	0.452921409504616	2.00094784948384e-21
TNFRSF12A	LINC00671	-0.421154672762996	1.86077028404829e-18
TNFRSF12A	LINC01588	0.336254069156381	6.36125886466146e-12
TNFRSF12A	ALOX12-AS1	-0.434255871822106	1.2110752750305e-19
TNFRSF12A	MCM3AP-AS1	-0.328909695685449	1.91726629300947e-11
TNFRSF12A	BCRP3	-0.356511034905196	2.5977966118009e-13
TNFRSF12A	LINC00339	0.410854723860478	1.46828559798916e-17
TNFRSF12A	LINC00152	0.706683861467036	3.57223262903334e-61
TNFRSF12A	RP11-545E17.3	0.359423600186508	1.60907851888129e-13
TNFRSF12A	RP11-54O7.3	-0.453769470766056	1.65058404769231e-21
TNFRSF12A	OSER1-AS1	-0.488193630428149	4.1650218132423e-25
TNFRSF12A	FLJ37035	-0.618544218696645	3.57142205429883e-43
TNFRSF12A	EPB41L4A-AS1	-0.556795932264633	1.27759031596285e-33
TNFRSF12A	AC096559.1	0.300640098131285	1.02436682108977e-09
TNFRSF12A	CATIP-AS1	0.30584456682356	5.08119831497551e-10
TNFRSF12A	LINC00092	0.303346646552752	7.12623557493985e-10
TNFRSF12A	LINC01504	0.305782022416951	5.12461417069645e-10
TNFRSF12A	NUTM2B-AS1	-0.342369972483423	2.48159378690698e-12
TNFRSF12A	HAR1A	-0.460622759456342	3.41533795536357e-22
TNFRSF12A	KCNIP2-AS1	-0.396552320454672	2.30250287918083e-16
TNFRSF12A	CH17-118O6.2	0.302071471542671	8.45888082372502e-10
TNFRSF12A	BAIAP2-AS1	-0.33695162953422	5.71963953496129e-12
TNFRSF12A	SMCR5	-0.519810105327412	8.6301821027732e-29
TNFRSF12A	BSN-AS2	-0.322533054118078	4.87983270229616e-11
TNFRSF12A	LINC00511	-0.328475664902029	2.04455906085228e-11
TNFRSF12A	RP11-152N13.5	-0.358845345291763	1.77030519607147e-13
TNFRSF12A	FAM212B-AS1	-0.319896566022821	7.13501855849046e-11
TNFRSF12A	FLJ31104	-0.388110951951929	1.09916515622577e-15
TNFRSF12A	RP3-399L15.3	-0.480744212117101	2.71094540362793e-24
TNFRSF12A	TMEM254-AS1	-0.640625253311498	3.93975743049457e-47
TNFRSF12A	HOXB-AS1	0.319840379719991	7.19273004923172e-11
TNFRSF12A	AL022476.2	-0.524535816269466	2.2470863051451e-29
TNFRSF12A	LINC00856	0.325819831353224	3.0231786968367e-11
TNFRSF12A	RP4-738P15.1	-0.33206824394589	1.19725505235649e-11
TNFRSF12A	MORF4L2-AS1	-0.380123152297552	4.63133029488833e-15
TNFRSF12A	RP11-38L15.3	-0.480891280440624	2.61367984174705e-24
TNFRSF12A	APCDD1L-AS1	0.39263943483303	4.77859000335101e-16
TNFRSF12A	LINC00689	-0.483134632256871	1.49363940948676e-24
TNFRSF12A	RP11-374M1.2	-0.410880629524837	1.46080668846546e-17
TNFRSF12A	TRAF3IP2-AS1	-0.452504432754041	2.19914513459144e-21
TNFRSF12A	RP11-365O16.3	-0.30364573932951	6.8445498908605e-10
TNFRSF12A	AC034220.3	-0.315132422754967	1.40435827603427e-10
TNFRSF12A	AC011899.9	0.509854160343519	1.3730467695861e-27
TNFRSF12A	HOTAIRM1	0.501254301853636	1.39422966198062e-26
TNFRSF12A	GAS6-AS1	0.358049508854831	2.01830114942804e-13
TNFRSF12A	MYCNOS	-0.417122007106048	4.21326671452707e-18
TNFRSF12A	AC005083.1	0.314908418408158	1.44936417435556e-10
TNFRSF12A	LINC01503	0.500799199266509	1.57331193628456e-26
TNFRSF12A	LINC00463	-0.498644291223957	2.78127671484228e-26
TNFRSF12A	MIR155HG	0.644283870833424	8.09351322090527e-48
TNFRSF12A	RP11-61I13.3	-0.477723547276789	5.71944071287162e-24
TNFRSF12A	TTC28-AS1	-0.362550256074778	9.56930756360651e-14
TNFRSF12A	INTS6-AS1	-0.421638614401862	1.68569067696461e-18
TNFRSF12A	NIFK-AS1	-0.324914201956413	3.45151793338079e-11
TNFRSF12A	MIR600HG	-0.324809531976557	3.50468386317928e-11
TNFRSF12A	ZNF503-AS2	0.392195735733927	5.18790429112224e-16
TNFRSF12A	FOXD2-AS1	0.388872274118394	9.56385976033322e-16
TNFRSF12A	RP1-63G5.7	-0.424042309182397	1.02942551490858e-18
TNFRSF12A	AP001046.5	0.334509480436922	8.28927386717189e-12
TNFRSF12A	RP11-31F15.2	-0.459955161241679	3.98808718471132e-22
TNFRSF12A	RP11-379K17.4	-0.379828788065688	4.87977692513027e-15
TNFRSF12A	GLYCTK-AS1	-0.410583556803559	1.54886531882045e-17
TNFRSF12A	RP11-572M11.3	-0.394566885707632	3.33906917414906e-16
TNFRSF12A	WDR86-AS1	-0.368447323959876	3.53539647949971e-14
TNFRSF12A	RP1-63G5.5	-0.530675263319085	3.78935785577672e-30
TNFRSF12A	GABPB1-AS1	-0.323273552363489	4.3830420485364e-11
TNFRSF12A	CTC-241N9.1	-0.305185030081972	5.55759053247551e-10
TNFRSF12A	RP11-540A21.2	0.324738751362071	3.54108766240993e-11
