icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.318180156977236	9.11750980670122e-08
CD38	PIK3CD-AS1	0.416075725663148	9.96062037395057e-13
CD38	LINC00173	0.321955157369496	6.28628539453874e-08
CD38	LINC00092	0.323968700269772	5.14459285579303e-08
CD38	MIAT	0.598494330854731	1.25760477185245e-27
CD38	KIAA0125	0.495451829161692	3.9455984667474e-18
CD38	FAM225A	0.341933413515546	8.05806875147173e-09
CD38	AC011899.9	0.433934549819467	7.98777231395876e-14
CD38	MIR155HG	0.554293584203863	3.78575955647554e-23
CD38	PRKCQ-AS1	0.380883561156386	9.46674153584701e-11
CD38	RP11-277P12.20	0.307219258534188	2.60785509013247e-07
CD38	RP11-18H21.1	0.349167263537765	3.69186279186485e-09
CD38	AC145110.1	0.327220443833554	3.71052977886007e-08
CD38	CTD-2576D5.4	0.363260174996715	7.61561008383045e-10
CD38	TRG-AS1	0.631465900601373	1.8975182311801e-31
CD38	XXbac-BPG246D15.8	0.362612162819603	8.20289973277732e-10
CD38	PSMB8-AS1	0.362612162819603	8.20289973277732e-10
CD38	TNRC6C-AS1	0.319677570437945	7.87204080876185e-08
CD38	RP11-153A23.6	0.319677570437945	7.87204080876185e-08
CD38	AL844908.5	0.522335152541245	2.65600036101295e-20
CD38	ITGB2-AS1	0.522335152541245	2.65600036101295e-20
CD38	LINC01281	0.429298721997984	1.56000200045841e-13
CD38	RP11-265P11.2	0.429298721997984	1.56000200045841e-13
CD38	LINC01410	0.343534825619357	6.79093979906627e-09
CD38	RP11-262H14.1	0.343534825619357	6.79093979906627e-09
CD38	RP11-398A8.3	0.383142703313398	7.18023654972201e-11
CD38	LINC00877	0.383142703313398	7.18023654972201e-11
CD38	RP11-493L12.2	0.586996491330917	2.14192791126293e-26
CD38	PCED1B-AS1	0.586996491330917	2.14192791126293e-26
CD38	RP11-358M11.2	0.353221494515969	2.362999376257e-09
CD38	LINC00926	0.353221494515969	2.362999376257e-09
CD38	AC002303.5	0.355777772797879	1.77771789379036e-09
CD38	IL21R-AS1	0.355777772797879	1.77771789379036e-09
CD38	LINC01215	0.316149736290648	1.11125966507513e-07
CD38	RP11-861A13.4	0.316149736290648	1.11125966507513e-07
TNFRSF12A	LINC01137	0.359180131992961	1.2123800342957e-09
TNFRSF12A	RP11-422J8.1	0.359180131992961	1.2123800342957e-09
BTK	RRN3P2	0.399923784493988	8.61118839501912e-12
BTK	PIK3CD-AS1	0.474252810310254	1.50950909261235e-16
BTK	LINC00482	-0.31097153571393	1.82856833834061e-07
BTK	PDCD4-AS1	0.34479409584262	5.93208844340039e-09
BTK	LINC01504	0.34759725079115	4.38078957376447e-09
BTK	CADM3-AS1	0.329490980498906	2.94681037390707e-08
BTK	MIAT	0.575154979005527	3.53752390530684e-25
BTK	KIAA0125	0.475929914806707	1.14176922973804e-16
BTK	RP11-395B7.4	0.301373993516639	4.48959215082519e-07
BTK	FAM225A	0.415121486820657	1.1351143565592e-12
BTK	AC011899.9	0.631974122824487	1.64308331139696e-31
BTK	HOTAIRM1	0.33443248586871	1.77294258537197e-08
BTK	MIR155HG	0.559766701263609	1.14684124968138e-23
BTK	PRKCQ-AS1	0.358992858775151	1.23833811120625e-09
BTK	AP001046.5	0.358726799385161	1.27614518647326e-09
BTK	RP11-18H21.1	0.377000081071959	1.51511855889155e-10
BTK	LINC01550	0.385516578016764	5.35778541883016e-11
BTK	LINC00920	0.313922028121424	1.37839212393471e-07
BTK	RP11-834C11.4	0.306113916262472	2.89262251671163e-07
BTK	AC145110.1	0.34724030433666	4.55395986684375e-09
BTK	RP13-977J11.2	0.354834105175352	1.97523650897078e-09
BTK	RP11-1008C21.1	0.373087462905676	2.41830349453226e-10
