icp.j.	lnc	cor.cor	p
CD38	MIAT	0.376818102014207	3.1175162939612e-14
CD38	KIAA0125	0.495318679219332	7.43364574942796e-25
CD38	MIR155HG	0.360430416897107	4.5408335198507e-13
CD38	PRKCQ-AS1	0.393765199237446	1.6586462657094e-15
CD38	AP001046.5	0.502422047899996	1.23790558805973e-25
CD38	USP30-AS1	0.348499583051204	2.90502713299429e-12
CD38	CTD-2576D5.4	0.361268914882149	3.97381773697841e-13
CD38	LINC00528	0.439054006434284	2.72546171717915e-19
CD38	RP11-480C22.1	-0.310870782414007	6.17293750244489e-10
CD38	TRG-AS1	0.491694787343673	1.82565182782343e-24
CD38	AC013400.2	0.302894526857569	1.75252234794608e-09
CD38	LINC00954	0.302894526857569	1.75252234794608e-09
CD38	LINC00582	0.375714146681649	3.75202205664414e-14
CD38	RP11-17H4.2	0.375714146681649	3.75202205664414e-14
CD38	RP1-66N13.3	0.351598621949254	1.80732969955222e-12
CD38	LINC00494	0.351598621949254	1.80732969955222e-12
CD38	RP11-398A8.3	0.330195248842263	4.31612155780699e-11
CD38	LINC00877	0.330195248842263	4.31612155780699e-11
CD38	RP11-493L12.2	0.345060629672338	4.88913761590025e-12
CD38	PCED1B-AS1	0.345060629672338	4.88913761590025e-12
CD38	LINC01215	0.300052540485324	2.52261619184089e-09
CD38	RP11-861A13.4	0.300052540485324	2.52261619184089e-09
SPAG9	ZFAS1	-0.301837756774905	2.00763338918316e-09
SPAG9	ARRDC1-AS1	-0.338678702955774	1.26330556828874e-11
SPAG9	LINC00152	-0.360019951843019	4.84652733349853e-13
SPAG9	RP11-545E17.3	-0.373140496324301	5.76301460956113e-14
SPAG9	CH17-118O6.2	-0.33314341200566	2.82823810899289e-11
SPAG9	MBNL1-AS1	0.347604541414313	3.32857178794925e-12
SPAG9	FTX	0.468084657801873	4.93243158539299e-22
SPAG9	RP11-61I13.3	0.30116038970975	2.1897315129271e-09
SPAG9	ZNF503-AS2	-0.326380064802468	7.40892519606625e-11
SPAG9	KMT2E-AS1	-0.374515532151735	4.58432217294312e-14
SPAG9	RP11-890B15.3	0.3184735396293	2.21688421342073e-10
SPAG9	LINC00657	0.351469767812195	1.84353939440315e-12
SPAG9	CTD-2270P14.1	0.387106325210677	5.35997699204152e-15
SPAG9	RP11-67L2.2	0.313358896980759	4.42920965763494e-10
SPAG9	RP5-842K24.2	0.312341068699266	5.07531653392715e-10
SPAG9	RAP2C-AS1	0.312341068699266	5.07531653392715e-10
SPAG9	RP11-304L19.5	-0.366289905729932	1.77322159257948e-13
SPAG9	SNHG19	-0.366289905729932	1.77322159257948e-13
SPAG9	RAB11B-AS1	-0.353464073659076	1.35479978826865e-12
SPAG9	RP11-886P16.3	-0.353464073659076	1.35479978826865e-12
BTK	RRN3P2	0.395038159724572	1.32145695160804e-15
BTK	PIK3CD-AS1	0.32917656450558	4.98964747428223e-11
BTK	C22orf34	0.378602698568302	2.3072721452291e-14
BTK	KIAA0125	0.324975253837297	9.02278950994223e-11
BTK	RP11-67C2.2	0.381378583422587	1.43941150235966e-14
BTK	RP11-365O16.3	0.412903037863465	4.90014312390259e-17
BTK	MED14OS	0.343135519265681	6.52511585096096e-12
BTK	MIR155HG	0.513079035936188	7.76217458887112e-27
BTK	RP11-18H21.1	0.386522619837483	5.93292618977976e-15
BTK	LINC00920	0.328644451285413	5.38112314036943e-11
BTK	CTC-378H22.1	0.311074897085881	6.00780185711395e-10
BTK	USP30-AS1	0.417217453368234	2.14586522417445e-17
BTK	L3MBTL4-AS1	0.45357831468041	1.24787515154539e-20
BTK	BZRAP1-AS1	0.503768906743989	8.7702043121515e-26
