icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.390234247328416	1.18698255952408e-14
CD38	LINC00324	0.336548830483182	4.61006135787513e-11
CD38	HCG27	0.315958366539951	7.39043448045083e-10
CD38	MIAT	0.329031499935836	1.30061138778365e-10
CD38	KIAA0125	0.493435574642282	1.1304117713969e-23
CD38	AC011899.9	0.472019316949222	1.53387941597271e-21
CD38	MIR155HG	0.497946266092088	3.84263011835561e-24
CD38	LINC00299	0.307630493967614	2.14103853405456e-09
CD38	USP30-AS1	0.515326247094038	5.15880821951627e-26
CD38	CTD-2576D5.4	0.449050335599009	2.05231774924589e-19
CD38	BZRAP1-AS1	0.465168515536367	6.86934230799387e-21
CD38	MIR497HG	0.315919096069468	7.42817560884344e-10
CD38	CARD8-AS1	0.312328714096839	1.17971633099054e-09
CD38	LINC00528	0.468887314046197	3.05693212679564e-21
CD38	TRG-AS1	0.580084267121542	5.00747674575901e-34
CD38	XXbac-BPG246D15.8	0.464711174454767	7.58338357244343e-21
CD38	PSMB8-AS1	0.464711174454767	7.58338357244343e-21
CD38	NCRNA00118	0.387663712490134	1.82771265787072e-14
CD38	DBH-AS1	0.387663712490134	1.82771265787072e-14
CD38	RP11-90D4.2	0.373013328256242	1.99281431439787e-13
CD38	LINC00937	0.373013328256242	1.99281431439787e-13
CD38	AL844908.5	0.396733158357744	3.91863563903584e-15
CD38	ITGB2-AS1	0.396733158357744	3.91863563903584e-15
CD38	LINC00582	0.447296843304411	2.93816619587169e-19
CD38	RP11-17H4.2	0.447296843304411	2.93816619587169e-19
CD38	LINC01281	0.427791743865567	1.38673444142462e-17
CD38	RP11-265P11.2	0.427791743865567	1.38673444142462e-17
CD38	RP11-398A8.3	0.435690554810282	2.99985932169776e-18
CD38	LINC00877	0.435690554810282	2.99985932169776e-18
CD38	RP11-493L12.2	0.624639127770647	1.13520057389644e-40
CD38	PCED1B-AS1	0.624639127770647	1.13520057389644e-40
CD38	RP11-358M11.2	0.320691329678154	3.97816849706641e-10
CD38	LINC00926	0.320691329678154	3.97816849706641e-10
CD38	CTC-454M9.1	0.393163449861457	7.22468796826186e-15
CD38	MEF2C-AS1	0.393163449861457	7.22468796826186e-15
CD38	LINC01215	0.364519821322644	7.54142925082783e-13
CD38	RP11-861A13.4	0.364519821322644	7.54142925082783e-13
TNFRSF12A	LINC00173	-0.366430050164069	5.60971931865629e-13
TNFRSF12A	LINC00887	0.359678011918644	1.58265612294104e-12
TNFRSF12A	LINC00152	0.404205174124238	1.0630058259323e-15
TNFRSF12A	SPAG5-AS1	-0.383034689452052	3.93895669968785e-14
TNFRSF12A	RP3-399L15.3	-0.418255044496236	8.35353301292558e-17
TNFRSF12A	DSCR9	-0.380224806680538	6.24090380293292e-14
TNFRSF12A	MCF2L-AS1	-0.384518762144491	3.08348672287227e-14
TNFRSF12A	OIP5-AS1	-0.301457866972709	4.61123769186909e-09
TNFRSF12A	SNHG18	0.321905713448884	3.38770750029592e-10
TNFRSF12A	SNHG1	-0.319272585778167	4.79521859209171e-10
TNFRSF12A	C12orf79	-0.385752201915731	2.51333792421745e-14
TNFRSF12A	BZRAP1-AS1	-0.348347531796549	8.54537895639411e-12
TNFRSF12A	CTD-2371O3.3	-0.331665208801248	9.07252011003159e-11
TNFRSF12A	AC136007.2	-0.396449694072208	4.11481086993707e-15
TNFRSF12A	PCBP1-AS1	-0.396449694072208	4.11481086993707e-15
TNFRSF12A	AC084018.1	-0.366632711426859	5.43571631883986e-13
TNFRSF12A	LINC01089	-0.366632711426859	5.43571631883986e-13
TNFRSF12A	AP000279.69	-0.332569417859539	8.01088042617992e-11
TNFRSF12A	PAXBP1-AS1	-0.332569417859539	8.01088042617992e-11
TNFRSF12A	AC016722.2	0.342769914782113	1.91251016372174e-11
TNFRSF12A	LINC01119	0.342769914782113	1.91251016372174e-11
TNFRSF12A	RP11-520M5.5	0.315894767725393	7.4516503621526e-10
TNFRSF12A	NOP14-AS1	0.315894767725393	7.4516503621526e-10
TNFRSF12A	CTB-175E5.4	-0.457114773453867	3.83588068458455e-20
TNFRSF12A	ASB16-AS1	-0.457114773453867	3.83588068458455e-20
TNFRSF12A	RPARP-AS1	-0.332335351370436	8.27347940186245e-11
TNFRSF12A	RP11-18I14.10	-0.332335351370436	8.27347940186245e-11
SPAG9	LINC00476	-0.308146359563842	2.00643668231133e-09
SPAG9	LINC00339	-0.300112515812632	5.43762342705933e-09
SPAG9	AC012146.7	-0.309581004714232	1.67384326917245e-09
SPAG9	XXbac-BPG246D15.8	-0.30862160515914	1.88972423639078e-09
SPAG9	PSMB8-AS1	-0.30862160515914	1.88972423639078e-09
SPAG9	RP11-202D20.1	-0.302423740724048	4.09442634159282e-09
SPAG9	MYLK-AS1	-0.302423740724048	4.09442634159282e-09
BTK	RRN3P2	0.535568292100256	2.46672279227442e-28
BTK	LINC00544	0.380826888753155	5.65696107680364e-14
BTK	RP11-23P13.6	0.342832351194739	1.89550781803145e-11
BTK	LINC00324	0.421092191435446	4.92536683373575e-17
BTK	PIK3CD-AS1	0.406509880771785	7.06115267492045e-16
BTK	PP7080	-0.31903921065684	4.94438659483758e-10
BTK	C22orf34	0.344585719131747	1.47388485008696e-11
BTK	MDS2	0.308957360172577	1.81126770130518e-09
BTK	LINC00654	0.35697674911928	2.38034910536829e-12
BTK	HCG27	0.35363457448226	3.92317658426363e-12
BTK	PAXIP1-AS2	0.320056766191727	4.32534374558867e-10
BTK	CADM3-AS1	0.39537789400552	4.94745492954468e-15
BTK	MIAT	0.303964537733377	3.38413121627422e-09
BTK	KIAA0125	0.564785242494985	5.66979574787946e-32
BTK	LINC01013	0.427756822095355	1.39602888412302e-17
BTK	SERPINB9P1	0.32076866631482	3.93775581406978e-10
BTK	LINC-PINT	0.36494909161496	7.05745921453147e-13
BTK	RP11-67C2.2	0.367818625996562	4.51842147093818e-13
BTK	AC011899.9	0.725193238112919	1.79896095117393e-60
BTK	MIR155HG	0.622594163622361	2.41909930146829e-40
BTK	RP11-18H21.1	0.481419723002696	1.85425948059275e-22
BTK	LINC00920	0.325303053243822	2.15296559498886e-10
BTK	AC145110.1	0.348081939085552	8.88278412445751e-12
BTK	CTC-378H22.1	0.381803776842034	4.82139015864007e-14
BTK	RP11-142C4.6	0.368014275712546	4.38240181962251e-13
BTK	USP30-AS1	0.569000333859531	1.57889608248369e-32
BTK	RP13-977J11.2	0.383935482053407	3.3954746141879e-14
BTK	CTD-2576D5.4	0.452247137506349	1.06125649528901e-19
BTK	RP11-162A12.2	0.412964006164296	2.20792214925832e-16
BTK	L3MBTL4-AS1	0.477601114745145	4.40902442912352e-22
BTK	BZRAP1-AS1	0.504300463608496	8.17694485320388e-25
BTK	MIR497HG	0.467272117642038	4.35048505994879e-21
BTK	CARD8-AS1	0.606717877018164	7.14628474112678e-38
BTK	LINC00528	0.538103813720153	1.23112313740981e-28
BTK	CYB561D2	0.30391684264557	3.40420597329859e-09
BTK	RP11-442O1.4	0.34576692809939	1.24299744173892e-11
BTK	HEIH	0.340846162860626	2.51577971895746e-11
BTK	TRG-AS1	0.726924382370651	6.87444408085098e-61
BTK	XXbac-BPG246D15.8	0.563426144040447	8.52899163996232e-32
BTK	PSMB8-AS1	0.563426144040447	8.52899163996232e-32
BTK	SH3BP5-AS1	0.345980821846352	1.20514198475674e-11
BTK	AC087590.3	0.345980821846352	1.20514198475674e-11
BTK	NCRNA00118	0.373403231474767	1.8729404269195e-13
BTK	DBH-AS1	0.373403231474767	1.8729404269195e-13
BTK	RP11-90D4.2	0.386816348459246	2.10545472256345e-14
BTK	LINC00937	0.386816348459246	2.10545472256345e-14
BTK	CFLAR-AS1	0.358458689201279	1.90372831474396e-12
BTK	ALS2CR10	0.358458689201279	1.90372831474396e-12
BTK	AL844908.5	0.537995335232439	1.26843064072026e-28
BTK	ITGB2-AS1	0.537995335232439	1.26843064072026e-28
BTK	LINC00582	0.416017768450067	1.26260645465406e-16
BTK	RP11-17H4.2	0.416017768450067	1.26260645465406e-16
BTK	PSMG3-AS1	0.362165792688872	1.08306050004341e-12
BTK	AC093734.11	0.362165792688872	1.08306050004341e-12
BTK	LINC01281	0.450223490947344	1.61243907255578e-19
BTK	RP11-265P11.2	0.450223490947344	1.61243907255578e-19
BTK	RP1-66N13.3	0.369250266180202	3.61113501328537e-13
BTK	LINC00494	0.369250266180202	3.61113501328537e-13
BTK	AC122136.1	0.481484233058495	1.82715340633395e-22
BTK	LINC00607	0.481484233058495	1.82715340633395e-22
BTK	RP11-398A8.3	0.618524283778266	1.07253891371458e-39
BTK	LINC00877	0.618524283778266	1.07253891371458e-39
BTK	LINC00847	0.318595261283351	5.24069641341659e-10
BTK	CTC-205M6.2	0.318595261283351	5.24069641341659e-10
BTK	RP11-493L12.2	0.835614774612969	5.97262081216089e-96
BTK	PCED1B-AS1	0.835614774612969	5.97262081216089e-96
BTK	RP11-358M11.2	0.476542751357061	5.59461487044709e-22
BTK	LINC00926	0.476542751357061	5.59461487044709e-22
BTK	CTC-454M9.1	0.602904239948593	2.67286659302893e-37
BTK	MEF2C-AS1	0.602904239948593	2.67286659302893e-37
BTK	RP11-744N12.2	0.468808520108657	3.11014573568587e-21
BTK	SENCR	0.468808520108657	3.11014573568587e-21
BTK	AC002303.5	0.321431217548754	3.6075061495313e-10
BTK	IL21R-AS1	0.321431217548754	3.6075061495313e-10
BTK	AC011526.1	0.386315714789649	2.28855325803036e-14
BTK	PCAT19	0.386315714789649	2.28855325803036e-14
BTK	AC006116.25	0.357386266794668	2.2380836354384e-12
BTK	ZNF582-AS1	0.357386266794668	2.2380836354384e-12
BTK	LINC01215	0.529025217310568	1.44312464683613e-27
BTK	RP11-861A13.4	0.529025217310568	1.44312464683613e-27
CD44	DSCR9	-0.305507392924837	2.79322396676436e-09
CD44	TRAF3IP2-AS1	-0.338215505126242	3.64899378260208e-11
CD44	DLGAP4-AS1	-0.336457398581813	4.66937907471626e-11
CD44	LINC00884	-0.311378442216497	1.33198855815707e-09
CD44	RP11-637A17.2	-0.327247973583078	1.65663251480727e-10
CD44	RP11-834C11.6	-0.304814729202981	3.04496266240839e-09
CD44	RP11-37B2.1	-0.320816152389644	3.91313976128917e-10
CD44	LINC00520	0.343934523909411	1.61853786999988e-11
CD44	CTB-113P19.4	0.368831492110836	3.85627366172558e-13
CD44	RP11-333E1.1	-0.330135261412218	1.11885979702951e-10
CD44	RPARP-AS1	-0.342297670751737	2.04601451152864e-11
CD44	RP11-18I14.10	-0.342297670751737	2.04601451152864e-11
SLAMF7	RRN3P2	0.374456275519636	1.58334616231647e-13
SLAMF7	LINC00544	0.354184877873753	3.61479360784218e-12
SLAMF7	LINC00324	0.415394954466796	1.41569923122602e-16
SLAMF7	PIK3CD-AS1	0.318929534759181	5.01603725326342e-10
