icp.j.	lnc	cor.cor	p
CD38	ZNF667-AS1	-0.302183014980187	0.0152306486876571
CD38	LRRC75A-AS1	-0.407750150322738	0.000824820973552806
CD38	HCP5	0.519534802103275	1.08681022050716e-05
CD38	RP11-54O7.3	-0.340431446434742	0.00591400981213269
CD38	ZMIZ1-AS1	-0.371581410324276	0.00250195643874128
CD38	BAIAP2-AS1	-0.378364850327869	0.00205102027740985
CD38	HOXB-AS1	-0.424997883469942	0.000464374377450392
CD38	MIR155HG	0.485534474738774	4.76858018161623e-05
CD38	PRKCQ-AS1	0.380328064650185	0.00193485579908264
CD38	RP11-142C4.6	-0.302678655271728	0.0150561423695442
CD38	USP30-AS1	0.61163384490867	7.91643153948965e-08
CD38	ARHGAP5-AS1	-0.376328765213579	0.00217805188333891
CD38	PKI55	-0.358370700734456	0.00364087367007382
CD38	CTD-2576D5.4	0.376969886644354	0.00213731363490023
CD38	BZRAP1-AS1	0.307916213774188	0.0133146233093557
CD38	RP11-214O1.3	0.329923977475672	0.00775935571026234
CD38	ZNF561-AS1	-0.391264519725256	0.00138908614784208
CD38	LINC00528	0.340898295286924	0.0058418398931858
CD38	RP4-769N13.6	-0.315109768956498	0.0112074304896248
CD38	CASC15	-0.392653912679667	0.00133074027901419
CD38	CTA-384D8.35	0.511842063119499	1.53997762193515e-05
CD38	TRG-AS1	0.508423528551228	1.79311870237416e-05
CD38	TRAM2-AS1	-0.332018211744464	0.00735585153542238
CD38	RP1-180E22.3	-0.332018211744464	0.00735585153542238
CD38	LINC01281	0.354290773881546	0.00407542622670388
CD38	RP11-265P11.2	0.354290773881546	0.00407542622670388
CD38	LINC00545	-0.331999098753288	0.00735944944232117
CD38	RP11-252M21.1	-0.331999098753288	0.00735944944232117
CD38	HHIP-AS1	-0.321062939982236	0.00968839772272687
CD38	RP11-291L15.2	-0.321062939982236	0.00968839772272687
CD38	AC006116.25	-0.301801465752448	0.0153661662585714
CD38	ZNF582-AS1	-0.301801465752448	0.0153661662585714
TNFRSF12A	WT1-AS	-0.491922222399155	3.65493166433356e-05
TNFRSF12A	SPATA41	-0.493177250206725	3.46667659919453e-05
TNFRSF12A	NBR2	-0.308185340874297	0.0132300355466407
TNFRSF12A	SSBP3-AS1	-0.370989560673541	0.00254521188669078
TNFRSF12A	LINC00152	0.583176039280798	4.26396331077893e-07
TNFRSF12A	RP11-54O7.3	-0.533382404221661	5.67841828279246e-06
TNFRSF12A	OSER1-AS1	-0.322556947582431	0.0093365408931384
TNFRSF12A	FLJ37035	-0.496552759633783	3.00397734099637e-05
TNFRSF12A	ZMIZ1-AS1	-0.30796585922435	0.0132989845542175
TNFRSF12A	BAIAP2-AS1	-0.425531232895074	0.000455973879536187
TNFRSF12A	RP11-276H19.1	-0.517415038089862	1.19737172967039e-05
TNFRSF12A	LINC01004	-0.401399915483383	0.00101140558879961
TNFRSF12A	RP11-462L8.1	0.306836001647752	0.0136588474211017
TNFRSF12A	HOXB-AS1	-0.368409245145079	0.00274169067398259
TNFRSF12A	MORF4L2-AS1	-0.313466144209018	0.0116615540828163
TNFRSF12A	LINC00689	-0.412718067347986	0.000701217431393802
TNFRSF12A	RP11-14N7.2	0.305712358528614	0.0140250208327708
TNFRSF12A	AC034220.3	-0.475090951385344	7.2840408861008e-05
TNFRSF12A	MIR155HG	0.376047163064972	0.00219616389836248
TNFRSF12A	LINC00894	-0.4126801981279	0.000702092376481961
TNFRSF12A	INTS6-AS1	-0.445072166144129	0.000228718958410075
TNFRSF12A	ZNF503-AS2	-0.326642250808571	0.00843058890938496
TNFRSF12A	RAD51-AS1	-0.547215887434562	2.88316638458734e-06
TNFRSF12A	RP11-736K20.6	-0.459409740281185	0.000134182430079408
TNFRSF12A	DNM1P35	-0.456995017678828	0.000147035723190838
TNFRSF12A	OIP5-AS1	-0.377612294608215	0.00209717849839496
TNFRSF12A	NNT-AS1	-0.498194617142536	2.8002482671436e-05
TNFRSF12A	FLJ12825	-0.387626225329444	0.00155292672162056
TNFRSF12A	RP11-826N14.2	-0.37361794315399	0.00235808360948099
TNFRSF12A	RP11-9G1.3	0.447655866755969	0.000208121858345477
TNFRSF12A	RP11-890B15.3	-0.434315652309075	0.000336099993073174
TNFRSF12A	RP11-983P16.4	-0.396478885685797	0.00118133462019504
TNFRSF12A	ARHGAP5-AS1	-0.423328801753104	0.000491581272143469
TNFRSF12A	LINC00520	0.405951481563911	0.000874222427067148
TNFRSF12A	RP11-1008C21.1	0.330871779069707	0.00757440335878884
TNFRSF12A	CTD-2270P14.1	-0.440637499978573	0.000268467857424796
TNFRSF12A	PKI55	-0.410521805687706	0.000753626824814016
TNFRSF12A	LINC01355	-0.504425964495166	2.1379829360285e-05
TNFRSF12A	PAN3-AS1	-0.404544772822155	0.000914706174777676
TNFRSF12A	ZNF790-AS1	-0.346376642563788	0.0050510503684891
TNFRSF12A	CTD-2371O3.3	-0.364876705541957	0.00303256615633843
TNFRSF12A	RP4-769N13.6	-0.558983903512699	1.5809411675623e-06
TNFRSF12A	RP11-67L2.2	-0.364049790885435	0.0031044990626111
TNFRSF12A	RP11-248G5.9	-0.32045794097229	0.00983412897114149
TNFRSF12A	EIF1B-AS1	-0.341198179145437	0.00579589054767834
TNFRSF12A	LINC00921	-0.440972629057522	0.000265256766907719
TNFRSF12A	GS1-124K5.14	-0.539497758712172	4.22386555144196e-06
TNFRSF12A	LINC00174	-0.539497758712172	4.22386555144196e-06
TNFRSF12A	AC136007.2	-0.42919298120172	0.000401934089506158
TNFRSF12A	PCBP1-AS1	-0.42919298120172	0.000401934089506158
TNFRSF12A	AC084018.1	-0.406574705523263	0.000856810254774733
TNFRSF12A	LINC01089	-0.406574705523263	0.000856810254774733
