icp.j.	lnc	cor.cor	p
CD38	HCP5	0.536742666002413	1.36354864127881e-22
CD38	KIAA0125	0.393697234452286	5.7579986439549e-12
CD38	AP001046.5	0.339748193220364	4.20313311045291e-09
CD38	USP30-AS1	0.578473672486996	9.18133929384622e-27
CD38	LINC00528	0.300870879997101	2.36297835011576e-07
CD38	CTA-384D8.35	0.467494414133895	7.94941871650043e-17
CD38	TRG-AS1	0.576943481285743	1.33823215150486e-26
CD38	XXbac-BPG246D15.8	0.466235015858762	9.85258498070662e-17
CD38	PSMB8-AS1	0.466235015858762	9.85258498070662e-17
CD38	LINC00582	0.35406731154355	8.22126844966517e-10
CD38	RP11-17H4.2	0.35406731154355	8.22126844966517e-10
CD38	RP11-398A8.3	0.303562963496867	1.82049832642994e-07
CD38	LINC00877	0.303562963496867	1.82049832642994e-07
CD38	RP11-493L12.2	0.358013278740082	5.16802055938325e-10
CD38	PCED1B-AS1	0.358013278740082	5.16802055938325e-10
BTK	PIK3CD-AS1	0.489829630660504	1.51976925489566e-18
BTK	MIAT	0.336184406068571	6.22921762505095e-09
BTK	KIAA0125	0.301907095543467	2.13794465092455e-07
BTK	AP001046.5	0.36530813101223	2.15401737048094e-10
BTK	L3MBTL4-AS1	0.376809755645571	5.17900931011745e-11
BTK	CARD8-AS1	0.428637162637905	4.03995600714452e-14
BTK	LINC00528	0.489589055341592	1.58842016358939e-18
BTK	TRG-AS1	0.623359108649378	5.66957114239304e-32
BTK	RP11-493L12.2	0.653263245212628	6.10264767528855e-36
BTK	PCED1B-AS1	0.653263245212628	6.10264767528855e-36
BTK	RP11-744N12.2	0.323964936221304	2.31200433516786e-08
BTK	SENCR	0.323964936221304	2.31200433516786e-08
CD44	LINC00657	-0.367915516836104	1.56696213816228e-10
CD44	TRG-AS1	0.312798893235114	7.29159187563322e-08
CD44	RBM26-AS1	-0.346191477947742	2.03761472196693e-09
CD44	RP11-30E17.3	-0.346191477947742	2.03761472196693e-09
CD44	RP11-493L12.2	0.340936386712611	3.68234129021878e-09
CD44	PCED1B-AS1	0.340936386712611	3.68234129021878e-09
SLAMF7	PIK3CD-AS1	0.365942441314442	1.99409183048979e-10
SLAMF7	HCP5	0.426605121508491	5.47774674038721e-14
SLAMF7	MIAT	0.44007436792505	7.00497990491133e-15
SLAMF7	KIAA0125	0.589945703688531	5.10899308795976e-28
SLAMF7	AP001046.5	0.454428807802983	7.06258299337581e-16
SLAMF7	RP11-18H21.1	0.448619993403096	1.81073167100821e-15
SLAMF7	AC145110.1	0.382938651437082	2.36767638816184e-11
SLAMF7	USP30-AS1	0.367985373277288	1.55359936598621e-10
SLAMF7	C12orf79	0.32161778173326	2.95489153500044e-08
SLAMF7	CARD8-AS1	0.414932968700999	3.02786152963312e-13
SLAMF7	LINC00528	0.376496824363293	5.38781839342463e-11
SLAMF7	CTA-384D8.35	0.310785828842195	8.92478382663244e-08
SLAMF7	TRG-AS1	0.680651151891815	5.43882700105939e-40
SLAMF7	XXbac-BPG246D15.8	0.320706836525553	3.24826055596796e-08
SLAMF7	PSMB8-AS1	0.320706836525553	3.24826055596796e-08
SLAMF7	LINC00582	0.483294053344739	4.98549579964406e-18
SLAMF7	RP11-17H4.2	0.483294053344739	4.98549579964406e-18
SLAMF7	LINC01281	0.449725831428133	1.51569353255817e-15
SLAMF7	RP11-265P11.2	0.449725831428133	1.51569353255817e-15
SLAMF7	RP11-493L12.2	0.564230256952388	2.84054941967071e-25
SLAMF7	PCED1B-AS1	0.564230256952388	2.84054941967071e-25
BTN3A1	HCP5	0.580966357263366	4.94894034342836e-27
BTN3A1	HCG27	0.346632180166113	1.93799154405689e-09
BTN3A1	USP30-AS1	0.397361448835825	3.5155817842612e-12
BTN3A1	TRG-AS1	0.37204642723665	9.40954075491789e-11
BTN3A1	XXbac-BPG246D15.8	0.551431437801616	5.40339583587878e-24
BTN3A1	PSMB8-AS1	0.551431437801616	5.40339583587878e-24
TNFRSF9	PIK3CD-AS1	0.318451890679617	4.10040422325643e-08
TNFRSF9	MIAT	0.53385951440696	2.52282686202011e-22
TNFRSF9	KIAA0125	0.338433136672781	4.86266115620522e-09
TNFRSF9	AC011893.3	0.399101015319091	2.77552217390273e-12
TNFRSF9	MIR155HG	0.321588786635064	2.96382217892623e-08
TNFRSF9	AP001046.5	0.450466578056659	1.34497265979052e-15
TNFRSF9	RP11-18H21.1	0.375502824616545	6.10686913491928e-11
TNFRSF9	AC145110.1	0.40800469230378	8.09974039129049e-13
TNFRSF9	CARD8-AS1	0.328455794673935	1.43738939679489e-08
TNFRSF9	LINC00528	0.311343060231476	8.44046124883471e-08
TNFRSF9	TRG-AS1	0.484737998281794	3.84298128621606e-18
TNFRSF9	LINC01281	0.424717865180877	7.25460554771307e-14
TNFRSF9	RP11-265P11.2	0.424717865180877	7.25460554771307e-14
TNFRSF9	RP11-493L12.2	0.413222504166557	3.86860684915109e-13
TNFRSF9	PCED1B-AS1	0.413222504166557	3.86860684915109e-13
CD84	PIK3CD-AS1	0.43766412222631	1.01897312273384e-14
CD84	LINC00654	0.302852277299543	1.95075933377975e-07
CD84	MIAT	0.455449369201989	5.97472105952189e-16
CD84	AP001046.5	0.371343525726373	1.02678263803539e-10
CD84	KMT2E-AS1	-0.365739426847352	2.04397831285324e-10
CD84	RP11-18H21.1	0.32608364513843	1.84936994219389e-08
CD84	AC145110.1	0.323578659917139	2.40761378288598e-08
CD84	ATP2A1-AS1	-0.331156796295291	1.0759868934118e-08
CD84	L3MBTL4-AS1	0.40307253201159	1.6096399819444e-12
CD84	FAM215A	0.307860771749654	1.19392692968844e-07
CD84	CARD8-AS1	0.352389299997762	9.99625470622516e-10
CD84	LINC00528	0.427123319306568	5.06952113574371e-14
CD84	TRG-AS1	0.631885505962342	4.63828935738901e-33
CD84	RP11-493L12.2	0.51780559484307	6.98211969656388e-21
CD84	PCED1B-AS1	0.51780559484307	6.98211969656388e-21
CD84	YTHDF3-AS1	-0.307262203778492	1.26669087409932e-07
CD84	RP11-16E18.4	-0.307262203778492	1.26669087409932e-07
CD84	LINC01023	-0.361341179638862	3.47636427630115e-10
CD84	CTC-329H14.4	-0.361341179638862	3.47636427630115e-10
BIRC5	SSBP3-AS1	-0.338624346346061	4.7608930001922e-09
BIRC5	ERVH48-1	-0.366448472064845	1.8748399081298e-10
BIRC5	MIR600HG	-0.322178754969498	2.78713427629742e-08
BIRC5	KMT2E-AS1	0.310620488471456	9.07356628438659e-08
BIRC5	LINC00657	-0.308175088418511	1.1573457246477e-07
BIRC5	ATP2A1-AS1	0.490657856644841	1.30498211845885e-18
BIRC5	TSC22D1-AS1	-0.31039293662737	9.28224069766707e-08
BIRC5	AC007787.3	-0.354177441840226	8.11613749559499e-10
BIRC5	KLF3-AS1	-0.327783449241299	1.54415632003833e-08
BIRC5	RP11-617D20.1	-0.327783449241299	1.54415632003833e-08
BIRC5	DLG3-AS1	0.369356611353694	1.31264407462697e-10
BIRC5	RP11-528B10.4	0.369356611353694	1.31264407462697e-10
BIRC5	YTHDF3-AS1	0.315709848992235	5.42922788537006e-08
BIRC5	RP11-16E18.4	0.315709848992235	5.42922788537006e-08
LAG3	HCP5	0.470426254019298	4.8066349798371e-17
LAG3	AP001046.5	0.376710021599817	5.24468880799065e-11
LAG3	USP30-AS1	0.539482805379687	7.556516593365e-23
LAG3	LINC00528	0.302947103513499	1.93287448455619e-07
LAG3	CTA-384D8.35	0.450556549615314	1.32556586483663e-15
LAG3	TRG-AS1	0.520034181169039	4.44982321376732e-21
LAG3	XXbac-BPG246D15.8	0.495534565850848	5.27603370102051e-19
LAG3	PSMB8-AS1	0.495534565850848	5.27603370102051e-19
LAG3	RP11-493L12.2	0.41055989160536	5.64953277781974e-13
LAG3	PCED1B-AS1	0.41055989160536	5.64953277781974e-13
CD200	FOXD2-AS1	-0.396420454720845	3.992788689943e-12
HMOX1	AP001046.5	0.309928972726712	9.72212425835455e-08
HMOX1	CARD8-AS1	0.375388364205923	6.19543275156742e-11
HMOX1	TRG-AS1	0.390960671200951	8.2905692497816e-12
HMOX1	RP11-493L12.2	0.424361837813671	7.64796537813539e-14
HMOX1	PCED1B-AS1	0.424361837813671	7.64796537813539e-14
HMOX1	RP11-744N12.2	0.310202706968996	9.46022838765857e-08
HMOX1	SENCR	0.310202706968996	9.46022838765857e-08
IL2RB	PIK3CD-AS1	0.360629038047594	3.78566103570199e-10
IL2RB	HCP5	0.401169786278762	2.09162438268311e-12
IL2RB	MIAT	0.43702278866736	1.12526025531186e-14
IL2RB	KIAA0125	0.395672454955545	4.41665438861441e-12
IL2RB	AP001046.5	0.382597834036623	2.47406764444187e-11
IL2RB	RP11-18H21.1	0.465445094286441	1.12673263819809e-16
IL2RB	AC145110.1	0.365550802840201	2.09141403100592e-10
IL2RB	USP30-AS1	0.451900737965432	1.06628908020234e-15
IL2RB	CTD-2576D5.4	0.338961654917521	4.58637012452018e-09
IL2RB	LINC00528	0.395872259622125	4.2993206303998e-12
IL2RB	TRG-AS1	0.753361179660143	2.91606726804448e-53
IL2RB	XXbac-BPG246D15.8	0.343607001865401	2.72969047641873e-09
IL2RB	PSMB8-AS1	0.343607001865401	2.72969047641873e-09
IL2RB	LINC01281	0.36874042056199	1.41605415977423e-10
IL2RB	RP11-265P11.2	0.36874042056199	1.41605415977423e-10
IL2RB	RP11-493L12.2	0.484136319326161	4.28386686725759e-18
IL2RB	PCED1B-AS1	0.484136319326161	4.28386686725759e-18
CD40	USP30-AS1	0.315162671574146	5.74009581190238e-08
CD40	CTA-384D8.35	0.304322480510412	1.69054299642873e-07
TLR8	PIK3CD-AS1	0.353700265910763	8.58127761574759e-10
TLR8	MIAT	0.39007423992966	9.3229391386595e-12
TLR8	KIAA0125	0.310814804142783	8.89895333593681e-08
TLR8	AP001046.5	0.434196363553454	1.73810698291975e-14
TLR8	KMT2E-AS1	-0.315106396831605	5.7730231480512e-08
TLR8	RP11-18H21.1	0.303997485016577	1.7450197256524e-07
TLR8	CARD8-AS1	0.419550835864475	1.55164988521131e-13
TLR8	LINC00528	0.344600214515602	2.44032529946122e-09
TLR8	TRG-AS1	0.574101601623879	2.68009937671555e-26
TLR8	RP11-493L12.2	0.461562166312868	2.1680854657167e-16
TLR8	PCED1B-AS1	0.461562166312868	2.1680854657167e-16
TLR8	RP11-744N12.2	0.307097444028006	1.28745701207031e-07
TLR8	SENCR	0.307097444028006	1.28745701207031e-07
CD40LG	PIK3CD-AS1	0.474259505762296	2.47167457792008e-17
CD40LG	MIAT	0.37641192354285	5.44586828702697e-11
CD40LG	KIAA0125	0.361241626241986	3.51807799874748e-10
CD40LG	RP11-18H21.1	0.442724003802429	4.6237230568835e-15
CD40LG	TRG-AS1	0.605661747642205	8.06005506622211e-30
CD40LG	LINC01281	0.321388397750203	3.02625894399421e-08
CD40LG	RP11-265P11.2	0.321388397750203	3.02625894399421e-08
CD40LG	RP11-493L12.2	0.389432695345733	1.01471883623927e-11
CD40LG	PCED1B-AS1	0.389432695345733	1.01471883623927e-11
CCL22	MIAT	0.370708826164506	1.1107895538158e-10
