icp.j.	lnc	cor.cor	p
CD38	LINC00544	0.363115458632893	1.87571758777516e-05
CD38	LINC00324	0.511189235995067	3.77199425953203e-10
CD38	PIK3CD-AS1	0.432895102992929	2.17041414269711e-07
CD38	PRR34	0.456908217772059	3.65144445663795e-08
CD38	RP11-863K10.7	0.453042905794701	4.91048253193864e-08
CD38	LINC00482	-0.433032723246095	2.14918651891798e-07
CD38	C22orf34	0.4332197730153	2.12065219105772e-07
CD38	LINC00943	0.410879836980634	9.89908260782547e-07
CD38	LINC00173	0.391860115058763	3.37577406855181e-06
CD38	MIRLET7BHG	-0.325855700086764	0.000137404408368103
CD38	MDS2	0.40426032389267	1.53026323955449e-06
CD38	PDCD4-AS1	0.52506029484035	1.02523624525149e-10
CD38	HCP5	0.425958960218331	3.54200834253617e-07
CD38	SLX1A-SULT1A3	-0.306622398460273	0.000349093865016288
CD38	LINC00887	-0.441016166690346	1.20614176691924e-07
CD38	APTR	-0.384264355027866	5.39615994835166e-06
CD38	RP11-54O7.3	0.363888035704734	1.79498778670955e-05
CD38	C5orf66	-0.357114779434478	2.62966236684894e-05
CD38	LINC01133	-0.424729106161506	3.85897438228875e-07
CD38	LINC00092	0.326456293503493	0.000133325677777068
CD38	LINC00705	-0.351371285333768	3.61084325312261e-05
CD38	CADM3-AS1	0.447426978910666	7.5030420173048e-08
CD38	MIAT	0.372800490590973	1.07169621192394e-05
CD38	RP11-276H19.1	0.301626217275185	0.00044027620906637
CD38	KIAA0125	0.6743780383233	7.73104716880667e-19
CD38	LINC00511	-0.3469259743877	4.59599144359621e-05
CD38	RP11-395B7.4	-0.406334869080185	1.33633783465078e-06
CD38	RP1-28O10.1	0.343046935537426	5.65621760016024e-05
CD38	ITPKB-IT1	0.354605564185939	3.02265682496015e-05
CD38	LIMD1-AS1	0.314685985308394	0.000237947550336672
CD38	TRAF3IP2-AS1	0.427746497996583	3.12525314768084e-07
CD38	LINC00342	-0.35797252013104	2.50671983576153e-05
CD38	AC011899.9	0.478864861078509	6.31839739351039e-09
CD38	AC012146.7	0.400427881994659	1.96085938884678e-06
CD38	MED14OS	0.339032416711137	6.99166025825273e-05
CD38	GAS5	-0.402956568829049	1.66551422522132e-06
CD38	MIR155HG	0.549709776254487	8.70947171125581e-12
CD38	MCF2L-AS1	-0.307075513328482	0.000341753782288422
CD38	RP11-470L19.2	-0.363462184863045	1.83907287057178e-05
CD38	LINC00896	-0.312312538734545	0.000266666867512574
CD38	LINC01010	0.342153241810627	5.93099582245598e-05
CD38	MIR600HG	0.430219045634902	2.62524858883082e-07
CD38	PRKCQ-AS1	0.502251042440301	8.47001154921785e-10
CD38	AP001046.5	0.585593093133954	1.64308842226405e-13
CD38	RP11-31F15.2	0.318543929315469	0.000197314062882611
CD38	ADAMTS9-AS1	0.424986092699503	3.79058475208294e-07
CD38	RP11-572M11.3	0.336846281176758	7.83758776994811e-05
CD38	LINC00461	0.308616660300239	0.000317843157689992
CD38	RP11-18H21.1	0.562072698361362	2.33988983761297e-12
CD38	LINC01550	0.485530192464324	3.61841373252892e-09
CD38	RP11-1094H24.4	-0.382511104048232	6.00329144197424e-06
CD38	MGC16275	0.536230251149526	3.43789842936149e-11
CD38	RP11-431M7.3	0.412465310074426	8.90595453889174e-07
CD38	RP11-637A17.2	0.441947797024846	1.12642239505716e-07
CD38	AC005355.2	-0.304030429579346	0.000393958674325258
CD38	AC145110.1	0.372716257216248	1.07701013724957e-05
CD38	LINC00824	0.373883163101459	1.00556086278808e-05
CD38	CTC-378H22.1	0.312199229156511	0.000268115139018635
CD38	RP11-142C4.6	0.360245632469604	2.20652738409438e-05
CD38	AGAP2-AS1	-0.507080179578016	5.4870250261594e-10
CD38	LINC00944	0.331438542674965	0.000103585677509983
CD38	RP13-977J11.2	0.315033702676039	0.000233989552542199
CD38	C12orf79	0.507077083646218	5.48856436999518e-10
CD38	LBX2-AS1	-0.514053548721743	2.89616982074608e-10
CD38	ARHGAP5-AS1	-0.37661655432367	8.55314399444299e-06
CD38	LINC00520	-0.39150261656625	3.45203429330488e-06
CD38	RP11-314O13.1	0.379608116787247	7.15278722903615e-06
CD38	CTD-2576D5.4	0.369949228776557	1.26605289673833e-05
CD38	RP11-353N14.2	-0.459922725841181	2.89076791993574e-08
CD38	BZRAP1-AS1	0.63847583763289	1.78591133434973e-16
CD38	MAFG-AS1	-0.323079601663894	0.000157811805563134
CD38	MIR497HG	0.348136606803663	4.30528218012785e-05
CD38	AC024592.9	-0.328329080622134	0.000121319690932594
CD38	LINC01539	0.48369878972185	4.22233505782338e-09
CD38	CARD8-AS1	0.652967080418367	2.16864382724373e-17
CD38	A1BG-AS1	0.390691068126094	3.63125492882026e-06
CD38	LINC00528	0.588412390099083	1.17788998249698e-13
CD38	AFAP1-AS1	-0.428831921153846	2.895485051013e-07
CD38	JMJD1C-AS1	-0.357431931902995	2.58355806100501e-05
CD38	PLAC4	-0.360529505106243	2.17150907641825e-05
CD38	TRG-AS1	0.663736194739436	4.19519566642747e-18
CD38	CELF2-AS1	0.390513079238904	3.67172345539768e-06
CD38	C10orf31	0.390513079238904	3.67172345539768e-06
CD38	XXbac-BPG246D15.8	0.521452837439644	1.44683941967345e-10
CD38	PSMB8-AS1	0.521452837439644	1.44683941967345e-10
CD38	AC013268.5	-0.465619877152231	1.84749399486577e-08
CD38	LINC01123	-0.465619877152231	1.84749399486577e-08
CD38	RP4-751H13.6	0.320664245853361	0.000177825753101433
CD38	ATP6V0E2-AS1	0.320664245853361	0.000177825753101433
CD38	RP3-404F18.2	0.320868638080286	0.000176044881345491
CD38	SLC25A5-AS1	0.320868638080286	0.000176044881345491
CD38	RP11-561O23.6	0.366219539856394	1.57073983511951e-05
CD38	PGM5-AS1	0.366219539856394	1.57073983511951e-05
CD38	NCRNA00118	0.354849889546591	2.98209389296841e-05
CD38	DBH-AS1	0.354849889546591	2.98209389296841e-05
CD38	SLC16A1-AS1	0.302804437639978	0.000416983769320695
