icp.j.	lnc	cor.cor	p
CD38	RP11-177H13.2	-0.397043426457037	1.70335197757707e-06
CD38	USP30-AS1	0.332785515376816	7.54138518733022e-05
CD38	RP11-480C22.1	-0.407124308592123	8.70702754371879e-07
CD38	TRG-AS1	0.328567931125778	9.40870870995389e-05
CD38	IGF2AS	-0.325949207871875	0.000107767036713489
CD38	IGF2-AS	-0.325949207871875	0.000107767036713489
CD38	RP11-493L12.2	0.407830500462029	8.30030388065813e-07
CD38	PCED1B-AS1	0.407830500462029	8.30030388065813e-07
BTK	TPT1-AS1	-0.323848753664366	0.000120057417935549
BTK	RP11-3P17.4	-0.340226176556909	5.06429319882675e-05
BTK	USP30-AS1	0.338607911404505	5.52720121616994e-05
BTK	LINC00520	0.395415405072296	1.89443101616686e-06
BTK	TRG-AS1	0.374605066272196	7.02276982940219e-06
BTK	RP11-493L12.2	0.672024810796273	3.34969038452234e-19
BTK	PCED1B-AS1	0.672024810796273	3.34969038452234e-19
SLAMF7	TPT1-AS1	-0.333587936052049	7.22791586641176e-05
SLAMF7	RP11-418J17.1	-0.323948163122159	0.000119447451311124
SLAMF7	TTC28-AS1	-0.308477426503164	0.000258438917108312
SLAMF7	LINC01010	0.305817120276787	0.000293884956983756
SLAMF7	RP11-3P17.4	-0.366679169356555	1.13021987427959e-05
SLAMF7	RP11-18H21.1	0.31531653262533	0.000184682345793381
SLAMF7	USP30-AS1	0.433871106645569	1.31488636120108e-07
SLAMF7	TRG-AS1	0.458940010066052	1.91657011900192e-08
SLAMF7	EPHA1-AS1	0.301178858886838	0.000366644147222215
SLAMF7	AC092214.10	0.301178858886838	0.000366644147222215
SLAMF7	RP11-493L12.2	0.625918258853708	3.70342718027043e-16
SLAMF7	PCED1B-AS1	0.625918258853708	3.70342718027043e-16
BTN3A1	TPT1-AS1	-0.414175324591965	5.37380800242265e-07
BTN3A1	SNHG17	-0.352828377515672	2.52025145586116e-05
BTN3A1	RP11-251M1.1	-0.304697171884018	0.000310112476531661
BTN3A1	TTC28-AS1	-0.315037178275754	0.000187264434507506
BTN3A1	RP11-540A21.2	0.304234987811191	0.000317047964953499
BTN3A1	SNHG6	-0.406467270550872	9.10242342538551e-07
BTN3A1	RP11-177H13.2	-0.343785131202896	4.17096779011257e-05
BTN3A1	USP30-AS1	0.372916363485062	7.78027763185902e-06
BTN3A1	TBX2-AS1	-0.307028701013037	0.000277217643460283
BTN3A1	SLC16A1-AS1	-0.331373198727039	8.12418964309933e-05
BTN3A1	RP11-31F15.1	-0.331373198727039	8.12418964309933e-05
BTN3A1	AC016722.2	-0.304943863990707	0.000306468386040454
BTN3A1	LINC01119	-0.304943863990707	0.000306468386040454
TNFRSF9	RP11-3P17.4	-0.329844745886376	8.80219013839861e-05
TNFRSF9	LINC00520	0.327293516141078	0.000100528205244096
TNFRSF9	RP11-493L12.2	0.44271165621439	6.78573685818253e-08
TNFRSF9	PCED1B-AS1	0.44271165621439	6.78573685818253e-08
CD84	TMEM99	-0.302256047685293	0.00034839791968701
CD84	TPT1-AS1	-0.443092009304163	6.59253809248696e-08
CD84	SNHG17	-0.331390525632418	8.11679128481183e-05
CD84	ALOX12-AS1	-0.337302658481871	5.92913839643259e-05
CD84	OSER1-AS1	-0.345488274552174	3.79788054953915e-05
CD84	HYI-AS1	-0.308729584129442	0.00025529346461357
CD84	THAP7-AS1	-0.318968468621241	0.000153833950301372
CD84	SNHG7	-0.31636956380215	0.000175243650405857
CD84	TTC28-AS1	-0.338978157569116	5.41792247474491e-05
CD84	LINC01010	0.345417143906104	3.81281413288752e-05
CD84	RP11-3P17.4	-0.319592612393301	0.00014906818784887
CD84	SNHG6	-0.450487839347841	3.73303910813141e-08
CD84	RP11-18H21.1	0.300527785242761	0.000378096721617336
CD84	USP30-AS1	0.321049807319937	0.000138471328208227
CD84	LINC00520	0.369638262276767	9.47643171690052e-06
CD84	TBX2-AS1	-0.344786609009513	3.9476229312607e-05
CD84	TRG-AS1	0.404719013388414	1.02394471806021e-06
CD84	SLC16A1-AS1	-0.32119296506939	0.000137469027633995
CD84	RP11-31F15.1	-0.32119296506939	0.000137469027633995
CD84	KIAA0114	-0.343791156727765	4.1695892511881e-05
CD84	DANCR	-0.343791156727765	4.1695892511881e-05
CD84	KB-1572G7.1	-0.328780001284212	9.30533979976573e-05
CD84	GUSBP11	-0.328780001284212	9.30533979976573e-05
CD84	AC003029.1	-0.378890491175537	5.40123554468203e-06
CD84	MAPKAPK5-AS1	-0.378890491175537	5.40123554468203e-06
CD84	RP11-202D20.1	-0.308103006504159	0.000263175822750774
CD84	MYLK-AS1	-0.308103006504159	0.000263175822750774
CD84	RP11-493L12.2	0.5666765944488	6.42336070953006e-13
CD84	PCED1B-AS1	0.5666765944488	6.42336070953006e-13
CD84	CTB-175E5.4	-0.356051360094706	2.09816049331232e-05
CD84	ASB16-AS1	-0.356051360094706	2.09816049331232e-05
IL2RB	TPT1-AS1	-0.367663319088308	1.06609938246381e-05
IL2RB	ALOX12-AS1	-0.344272525468517	4.06083072266088e-05
IL2RB	OSER1-AS1	-0.351203851837284	2.76211741638446e-05
IL2RB	RP4-758J18.2	-0.304365745632294	0.000315071403879052
IL2RB	HYI-AS1	-0.300859418853922	0.000372222510214495
IL2RB	RP11-418J17.1	-0.388241441026698	3.00640335087214e-06
IL2RB	LINC01010	0.351531681191813	2.71161727659003e-05
IL2RB	SNHG6	-0.329979185985612	8.74049858880733e-05
IL2RB	SNHG9	-0.313106551612949	0.000206047288441977
IL2RB	USP30-AS1	0.314451812762292	0.000192784172105286
IL2RB	LINC00520	0.360343817902164	1.63859536198457e-05
IL2RB	RP11-529K1.2	-0.32027765100612	0.000143995854315367
IL2RB	TRG-AS1	0.395030523851565	1.94249132091418e-06
IL2RB	SLC16A1-AS1	-0.372487359119266	7.98467191378091e-06
IL2RB	RP11-31F15.1	-0.372487359119266	7.98467191378091e-06
IL2RB	KB-1572G7.1	-0.356408252915285	2.05575128597653e-05
IL2RB	GUSBP11	-0.356408252915285	2.05575128597653e-05
IL2RB	EPHA1-AS1	0.325547611650405	0.000110022118394654
IL2RB	AC092214.10	0.325547611650405	0.000110022118394654
IL2RB	AC003029.1	-0.327318449531537	0.000100398334206416
IL2RB	MAPKAPK5-AS1	-0.327318449531537	0.000100398334206416
IL2RB	RP11-202D20.1	-0.300541410589234	0.000377853698529138
IL2RB	MYLK-AS1	-0.300541410589234	0.000377853698529138
IL2RB	RP11-493L12.2	0.462189799684006	1.47602614211489e-08
IL2RB	PCED1B-AS1	0.462189799684006	1.47602614211489e-08
IL2RB	CTB-175E5.4	-0.335577052206042	6.50260742118548e-05
IL2RB	ASB16-AS1	-0.335577052206042	6.50260742118548e-05
TLR8	TPT1-AS1	-0.439903698259604	8.38944418631219e-08
TLR8	SNHG17	-0.336528294789017	6.18036178621427e-05
TLR8	ALOX12-AS1	-0.339703817556074	5.20958827381119e-05
TLR8	OSER1-AS1	-0.360584526247139	1.61586493802955e-05
TLR8	HYI-AS1	-0.365636914748997	1.20208539346653e-05
TLR8	HOXB-AS1	-0.375016445573984	6.84909942157113e-06
TLR8	THAP7-AS1	-0.369407155933498	9.60833338110454e-06
TLR8	TTC28-AS1	-0.378708435231133	5.46222605253809e-06
TLR8	HOXD-AS2	-0.346966154592486	3.49975178049009e-05
TLR8	SNHG6	-0.446279704451729	5.1679150943237e-08
TLR8	RP11-18H21.1	0.327292658285092	0.00010053267636409
TLR8	SNHG9	-0.360525849619885	1.62137830337508e-05
TLR8	TBX2-AS1	-0.405375892521367	9.79722854994542e-07
TLR8	RP11-480C22.1	-0.312688215965779	0.000210341372877009
TLR8	TRG-AS1	0.371655439683638	8.39557752945983e-06
TLR8	SLC16A1-AS1	-0.39642043243089	1.77420137969857e-06
TLR8	RP11-31F15.1	-0.39642043243089	1.77420137969857e-06
TLR8	KIAA0114	-0.305147182935051	0.000303494840471901
TLR8	DANCR	-0.305147182935051	0.000303494840471901
TLR8	KB-1572G7.1	-0.411584695872235	6.42457385347601e-07
TLR8	GUSBP11	-0.411584695872235	6.42457385347601e-07
TLR8	AC003029.1	-0.348074203286823	3.29079656960826e-05
TLR8	MAPKAPK5-AS1	-0.348074203286823	3.29079656960826e-05
TLR8	RP11-493L12.2	0.396257061963537	1.7932387727778e-06
TLR8	PCED1B-AS1	0.396257061963537	1.7932387727778e-06
CD40LG	USP30-AS1	0.326779261345465	0.000103242032218984
CD40LG	RP11-493L12.2	0.450098093893585	3.84791321455473e-08
CD40LG	PCED1B-AS1	0.450098093893585	3.84791321455473e-08
CD276	COX10-AS1	-0.33846114518681	5.57108815028879e-05
CD276	LINC01010	0.302048471481273	0.000351847311696376
CD276	RP11-862G15.2	-0.334126384796347	7.02444606682905e-05
CD276	LINC00520	0.320262475562271	0.000144106457868064
CD276	LINC01315	-0.335862202252134	6.4043957441707e-05
CD276	Z83851.1	-0.335862202252134	6.4043957441707e-05
CD276	RP11-493L12.2	0.310330004015711	0.000236142785342588
CD276	PCED1B-AS1	0.310330004015711	0.000236142785342588
CD276	RP11-105N13.2	-0.309941677075878	0.000240662998563552
CD276	MAPT-AS1	-0.309941677075878	0.000240662998563552
PPP2R1A	LINC01587	-0.36221346173357	1.46967659549938e-05
PPP2R1A	TMEM99	0.36782440425221	1.05593699270696e-05
PPP2R1A	TPT1-AS1	0.423645051228833	2.76165786162886e-07
PPP2R1A	SNHG17	0.533388061446344	2.29916525090059e-11
PPP2R1A	SNHG5	0.482062387560642	2.81278140006135e-09
PPP2R1A	ALOX12-AS1	0.322859253421107	0.000126289219231925
PPP2R1A	OSER1-AS1	0.322603557824565	0.000127947888100981
PPP2R1A	RP4-758J18.2	0.409279604984907	7.52163872877085e-07
PPP2R1A	RP11-251M1.1	0.366454239833902	1.14537728665386e-05
PPP2R1A	HYI-AS1	0.486740033388368	1.87450813663866e-09
PPP2R1A	THAP7-AS1	0.410621249591779	6.86315517722424e-07
PPP2R1A	SNHG7	0.405026708484121	1.00299892581116e-06
PPP2R1A	TTC28-AS1	0.379494707971572	5.20340412892494e-06
PPP2R1A	RP11-540A21.2	-0.488266797294954	1.639775618008e-09
PPP2R1A	RP11-179A16.1	-0.426668618798938	2.22322251201428e-07
PPP2R1A	SNHG6	0.438954534263131	9.00928172777295e-08
PPP2R1A	RP11-177H13.2	0.322689991556594	0.000127384944268781
PPP2R1A	SNHG9	0.477645542713447	4.10340346842833e-09
PPP2R1A	FOXN3-AS1	0.359954209540866	1.67602625842918e-05
PPP2R1A	CTB-113P19.4	0.323080341912059	0.000124871218696522
PPP2R1A	TBX2-AS1	0.33179062614205	7.94769498762304e-05
PPP2R1A	TRG-AS1	-0.308235250931848	0.000261493639925306
PPP2R1A	SLC16A1-AS1	0.393053494628271	2.20817279701771e-06
PPP2R1A	RP11-31F15.1	0.393053494628271	2.20817279701771e-06
PPP2R1A	KIAA0114	0.41330968936362	5.70520506622178e-07
PPP2R1A	DANCR	0.41330968936362	5.70520506622178e-07
PPP2R1A	KB-1572G7.1	0.3062317704492	0.000288079033822501
PPP2R1A	GUSBP11	0.3062317704492	0.000288079033822501
PPP2R1A	GHRLOS2	0.306515246065262	0.000284171155924819
PPP2R1A	LINC00852	0.306515246065262	0.000284171155924819
PPP2R1A	AC003029.1	0.480483185457796	3.22138764731035e-09
PPP2R1A	MAPKAPK5-AS1	0.480483185457796	3.22138764731035e-09
PPP2R1A	AC016722.2	0.370623580630838	8.93302241674481e-06
PPP2R1A	LINC01119	0.370623580630838	8.93302241674481e-06
PPP2R1A	RP11-438N16.1	-0.33031874036944	8.58647824020036e-05
PPP2R1A	LINC01234	-0.33031874036944	8.58647824020036e-05
PPP2R1A	SNAI3-AS1	0.430290225571332	1.70982578697768e-07
PPP2R1A	RP5-1142A6.3	0.430290225571332	1.70982578697768e-07
PIK3CG	TPT1-AS1	-0.381306454801826	4.650516242164e-06
PIK3CG	LINC00334	-0.348402705131395	3.23113643230755e-05
PIK3CG	SNHG17	-0.404975287292577	1.00647071992266e-06
PIK3CG	ALOX12-AS1	-0.339959861107665	5.13788809591308e-05
PIK3CG	OSER1-AS1	-0.458377302208174	2.00468288875507e-08
PIK3CG	HYI-AS1	-0.528137942765561	3.90327802822415e-11
PIK3CG	HOXB-AS1	-0.432411306546093	1.46401908030888e-07
PIK3CG	THAP7-AS1	-0.498794185032002	6.40153474319933e-10
PIK3CG	SNHG7	-0.389868286719554	2.71004294781143e-06
PIK3CG	TTC28-AS1	-0.342466742313334	4.48309150221274e-05
PIK3CG	LINC01010	0.309312880386282	0.000248152862874779
PIK3CG	HOXD-AS2	-0.425890712533428	2.35127390780752e-07
PIK3CG	SNHG6	-0.639180942313109	5.5698339426109e-17
PIK3CG	SNHG9	-0.550174453621008	3.97611300537316e-12
PIK3CG	FOXN3-AS1	-0.417095755148637	4.38593882915188e-07
