icp.j.	lnc	cor.cor	p
SPAG9	PART1	-0.444009143349244	2.35360132041423e-19
SPAG9	LINC00467	-0.480703247884841	7.55047417539333e-23
SPAG9	ZNF667-AS1	-0.432490873504695	2.42185378763637e-18
SPAG9	TMEM99	-0.486104991344566	2.12400705341037e-23
SPAG9	SNHG11	-0.534277848922834	9.0403576225909e-29
SPAG9	FLJ37453	-0.543300309540453	7.10092558946068e-30
SPAG9	CSNK1G2-AS1	0.312006357082051	8.07654705342266e-10
SPAG9	TP53TG1	-0.669808393332966	1.216417240358e-49
SPAG9	LINC01547	-0.521883281510844	2.63544786279524e-27
SPAG9	ARHGAP11B	0.343895319577467	9.73518833898888e-12
SPAG9	SPATA41	-0.465094705955306	2.60469774311451e-21
SPAG9	CH17-340M24.3	-0.739010323677438	2.82661971098364e-65
SPAG9	SSBP3-AS1	0.3854557385864	1.3727586293658e-14
SPAG9	SNHG5	-0.473754014180443	3.73568195538289e-22
SPAG9	ARRDC1-AS1	-0.714578051922608	3.17981375449536e-59
SPAG9	LINC00963	-0.412385360375629	1.15144990235119e-16
SPAG9	STARD7-AS1	-0.422535575796156	1.69275562691301e-17
SPAG9	DKFZp779M0652	-0.319071146876411	3.17120046316883e-10
SPAG9	H1FX-AS1	-0.635636176680148	2.19616696274871e-43
SPAG9	PAXIP1-AS2	0.725896336683792	6.03551983008269e-62
SPAG9	MCM3AP-AS1	0.343142254641284	1.08707613749122e-11
SPAG9	AC004041.2	0.37791513360891	4.85041021000774e-14
SPAG9	RP11-545E17.3	-0.540162647615841	1.73512215210758e-29
SPAG9	ENTPD3-AS1	-0.594585019551085	7.7234668317413e-37
SPAG9	OSER1-AS1	-0.558995128286039	7.04447546390284e-32
SPAG9	EPB41L4A-AS1	-0.612712724395401	1.30421410058205e-39
SPAG9	RP4-758J18.2	-0.740835411352566	9.3747826598787e-66
SPAG9	INE1	0.308831119977761	1.21967959337043e-09
SPAG9	TAF1A-AS1	-0.304041866667195	2.25036089587342e-09
SPAG9	SLC2A1-AS1	-0.363459939176936	4.98501420969221e-13
SPAG9	RP11-452F19.3	-0.565844004988075	8.7042724092092e-33
SPAG9	MFI2-AS1	-0.552014248176619	5.650066560914e-31
SPAG9	SPATA13	0.33634021732408	2.9057171009743e-11
SPAG9	ANKRD10-IT1	0.428124857438608	5.72701525294225e-18
SPAG9	HYI-AS1	-0.566494084506677	7.11923089814543e-33
SPAG9	THAP7-AS1	-0.400481493935145	1.00548938820668e-15
SPAG9	FTX	0.614775338616352	6.143875750168e-40
SPAG9	LINC01001	0.38102945165061	2.89127393353104e-14
SPAG9	RP1-149A16.3	0.301792270331486	2.98913977587824e-09
SPAG9	AC016700.5	-0.435278140186451	1.38893679632407e-18
SPAG9	TMEM44-AS1	-0.628496592630011	3.55521856984356e-42
SPAG9	RP4-794H19.1	-0.47504155808259	2.78552095485288e-22
SPAG9	SNHG7	-0.518786531628413	5.99084763912469e-27
SPAG9	HOTAIRM1	-0.508071185705527	9.6317103186621e-26
SPAG9	DLG5-AS1	-0.581473914406818	6.11071813188701e-35
SPAG9	AC012146.7	-0.59561511509229	5.43208971905471e-37
SPAG9	HMGA1P4	-0.488947757713022	1.07976299565945e-23
SPAG9	GAS5	-0.527965446005367	5.12460399329859e-28
SPAG9	FOXP4-AS1	-0.429186232809762	4.65114554479608e-18
SPAG9	ZRANB2-AS1	0.307754712320165	1.40104180902154e-09
SPAG9	AC006946.15	-0.317239286249115	4.05063014609493e-10
SPAG9	ASH1L-AS1	-0.300988393620359	3.30635469689568e-09
SPAG9	DIAPH2-AS1	0.316080682333928	4.72478861394437e-10
SPAG9	NIFK-AS1	-0.365146614648387	3.82113214471367e-13
