icp.j.	lnc	cor.cor	p
CD38	AC011899.9	0.37781179047641	1.78488616383905e-05
CD38	USP30-AS1	0.35236519468476	6.88070022500662e-05
CD38	RP11-93B14.5	-0.330953766863178	0.000196586137434742
CD38	SLCO4A1-AS1	-0.330953766863178	0.000196586137434742
SLAMF7	PIK3CD-AS1	0.305277389368466	0.000628087271199476
SLAMF7	AC011899.9	0.452797546064188	1.63631293187245e-07
SLAMF7	LINC01366	0.349487901358484	7.95847408873314e-05
SLAMF7	RP11-379K17.4	0.305494708662933	0.000622209792471332
SLAMF7	USP30-AS1	0.411676104772686	2.46600627500984e-06
CD200	ZNF667-AS1	0.304434699629892	0.000651363660540235
CD200	AC011893.3	0.370861164005942	2.60977486157255e-05
CD200	MBNL1-AS1	0.356004910467035	5.71233277562044e-05
CD200	RP3-495K2.2	0.340915226747263	0.000121769922583986
CD200	LINC00461	0.406929937574203	3.29784234825408e-06
HMOX1	ZNF667-AS1	0.396299284016448	6.22373955629731e-06
HMOX1	PIK3CD-AS1	0.345892684790355	9.52671496884304e-05
HMOX1	ADD3-AS1	-0.302719845463623	0.000701194805481979
HMOX1	AC011899.9	0.43088334414019	7.2608526603149e-07
HMOX1	HOXA-AS3	-0.329736297213665	0.000208207012505187
CD40LG	USP30-AS1	0.364968406376883	3.57729598475507e-05
IL2	AC011893.3	0.427203622315252	9.23142573214562e-07
IL2	LIMD1-AS1	0.347855609553928	8.63796784448002e-05
IL2	LINC01121	0.34891459894946	8.19123229916716e-05
IL2	AC009236.1	0.34891459894946	8.19123229916716e-05
IFNG	FAM66B	0.343385035896195	0.000107862490122225
IFNG	AC011893.3	0.316967422033317	0.000374890983934766
IFNG	SPATA13	0.377148507274849	1.85147778801004e-05
IFNG	RP11-415J8.5	0.316282752572748	0.000386620184829043
IFNG	LINC00896	-0.300361033258142	0.000775461631557884
IFNG	LINC00944	0.352424611028185	6.8599537078405e-05
IFNG	USP30-AS1	0.336618309401146	0.00015001377785419
IFNG	RP11-384O8.1	0.386447576647224	1.09978710906493e-05
IFNG	AC084018.1	-0.340038546720442	0.000127095479961273
IFNG	LINC01089	-0.340038546720442	0.000127095479961273
CD86	ZNF667-AS1	0.560077241688915	1.98187587157434e-11
CD86	MIR31HG	0.35839325412024	5.04946291301238e-05
CD86	AC073072.5	0.321594913540236	0.000303836195375486
CD86	LINC00304	0.341992042234206	0.000115512914575487
CD86	ADD3-AS1	-0.323748923007613	0.000275205413823166
CD86	RP11-70C1.1	0.305670393406375	0.000617495315394958
CD86	AC011893.3	0.339152508098334	0.000132697482671502
CD86	LINC01013	0.334190870967116	0.000168549534163399
CD86	SPATA13	0.349334253300305	8.0202414500021e-05
CD86	LINC00452	0.363610668439664	3.84355629865693e-05
CD86	MBNL1-AS1	0.386491679234328	1.09703206038087e-05
CD86	RP3-495K2.2	0.412851424853738	2.29315936470711e-06
CD86	AC011899.9	0.454457003882182	1.45543332470016e-07
CD86	LINC01366	0.434460067140988	5.7337733058187e-07
CD86	LINC01010	0.403438000745948	4.07267130555519e-06
CD86	AC073130.1	0.326096098330035	0.000246862755720011
CD86	AC106801.1	0.301367763090298	0.000742924648964755
CD86	L3MBTL4-AS1	0.513019532558448	1.52481441206591e-09
CD86	RP11-561O23.6	0.336757218352099	0.000149012654283468
CD86	PGM5-AS1	0.336757218352099	0.000149012654283468
CD86	KIAA0114	-0.371282179549304	2.55103278554299e-05
CD86	DANCR	-0.371282179549304	2.55103278554299e-05
CD86	LINC00922	0.375838532664035	1.98991719500656e-05
CD86	RP11-256I9.1	0.375838532664035	1.98991719500656e-05
CD274	MIR31HG	0.30837044572477	0.000549048353673114
CD274	AC073072.5	0.309641036076221	0.000519316789386823
CD274	RP11-70C1.1	0.334529650866346	0.000165840743535355
CD274	AC011893.3	0.411102646782705	2.55475623195306e-06
CD274	LINC01366	0.319293468694638	0.000337452252406728
CD274	LINC01010	0.30184705495016	0.000727878332760554
CD274	AC073130.1	0.348664353975247	8.29480915681225e-05
CD274	USP30-AS1	0.359559909252519	4.7525093292555e-05
CD274	RP11-384O8.1	0.308679104253181	0.000541685221673007
CD274	RP11-199F6.9	0.310053942625071	0.000509978556675608
CD274	LINC00565	0.310053942625071	0.000509978556675608
CCR2	ZNF667-AS1	0.377512097441432	1.81469046070225e-05
CCR2	FAM66B	0.301715145659896	0.000731991211544964
CCR2	AC011899.9	0.525360517599607	5.20330453834845e-10
CCR2	LINC01366	0.345102949542109	9.90776448657808e-05
CCR2	RP11-572M11.3	0.327011077287741	0.000236565881449086
