icp.j.	lnc	cor.cor	p
CD38	RP11-23P13.6	0.349248245462736	4.90392665384486e-07
CD38	LINC01561	-0.382294993615713	2.96243818616048e-08
CD38	LINC00324	0.442949208192838	7.13055029205625e-11
CD38	PIK3CD-AS1	0.569813158258708	2.35997933604418e-18
CD38	MDS2	0.325164141332858	3.12887248741673e-06
CD38	HCP5	0.558630107178782	1.4629236323182e-17
CD38	LINC01588	0.31240193463422	7.84997084349295e-06
CD38	AATBC	0.302749993533152	1.5310469448645e-05
CD38	RP11-70C1.1	0.338867268393535	1.11119715737709e-06
CD38	MIAT	0.327901981384381	2.55440861640019e-06
CD38	KIAA0125	0.446722031920697	4.70347029766169e-11
CD38	AC009299.3	0.401703498693288	4.8977804838131e-09
CD38	AC109333.10	0.307410422920016	1.11218815769255e-05
CD38	SERPINB9P1	0.374373791322062	5.97553572547505e-08
CD38	AC011899.9	0.661299387748131	3.83623021807638e-26
CD38	AC005083.1	0.313378245394222	7.32741986571316e-06
CD38	LINC00299	0.306081512862257	1.21899257211233e-05
CD38	PRKCQ-AS1	0.398290366066938	6.77856594566044e-09
CD38	RP11-18H21.1	0.442806334397363	7.24307038024115e-11
CD38	RP11-431M7.3	0.469340918989994	3.47828918732904e-12
CD38	RP11-637A17.2	0.316772963468787	5.75575975507648e-06
CD38	AC145110.1	0.360306987010822	1.98529002163505e-07
CD38	FAM66D	-0.305219162098436	1.29341975194998e-05
CD38	RP11-843A23.1	0.340571928396119	9.73493223233377e-07
CD38	USP30-AS1	0.599888818658219	1.21851400010326e-20
CD38	RP13-977J11.2	0.42895532673759	3.19390116648466e-10
CD38	CTD-2576D5.4	0.399371063886765	6.11817249909195e-09
CD38	FAM215A	0.318450601063154	5.10284797441023e-06
CD38	CARD8-AS1	0.486466583600302	4.24663856178108e-13
CD38	LINC00528	0.570635842510673	2.05792785624897e-18
CD38	CTA-384D8.35	0.486045359068964	4.47841003400055e-13
CD38	LINC00540	0.313190643825338	7.42519611586965e-06
