icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.509991469853616	9.09377726057649e-25
CD38	LINC00544	0.497294546835385	1.88648420489898e-23
CD38	RP11-23P13.6	0.475539581601921	2.55938533494661e-21
CD38	SNHG11	-0.332154467666992	1.54239873239261e-10
CD38	LINC00324	0.468814113989525	1.0893277438367e-20
CD38	PIK3CD-AS1	0.575718605653444	1.50348742631766e-32
CD38	TCL6	0.314552153931118	1.51265165032818e-09
CD38	C22orf34	0.424906868696193	6.58939212124176e-17
CD38	LINC00943	0.358998336189395	3.54515370391428e-12
CD38	MDS2	0.40121046917796	4.38910382252751e-15
CD38	HCP5	0.595609559301694	2.87729081599733e-35
CD38	HCG27	0.418121430332816	2.26899698040747e-16
CD38	PAXIP1-AS2	0.348198714520251	1.68918963890702e-11
CD38	MIAT	0.6829126796651	8.39297395741981e-50
CD38	KIAA0125	0.664182514853954	2.86445725107602e-46
CD38	AC011893.3	0.379178986095858	1.62973150883338e-13
CD38	AC009299.3	0.501899888787422	6.37298254666978e-24
CD38	AC109333.10	0.369155409594705	7.72904972380948e-13
CD38	RP1-28O10.1	0.450088680514141	5.21279920316018e-19
CD38	FLJ31104	0.365862660797528	1.27391278905489e-12
CD38	SERPINB9P1	0.39302204859444	1.73596649250905e-14
CD38	LIMD1-AS1	0.328984224657921	2.35243959949479e-10
CD38	AC007246.3	-0.315546370085932	1.33483991113973e-09
CD38	LINC-PINT	0.345583433166485	2.4435677910577e-11
CD38	RP11-67C2.2	0.429902806739856	2.60414845562004e-17
CD38	DLGAP4-AS1	0.315327481523093	1.37215550288899e-09
CD38	AC011899.9	0.613023720418366	8.29916849924718e-38
CD38	AC104809.4	0.310813312918829	2.41094250602178e-09
CD38	AC005083.1	0.519551975871732	8.51349190144325e-26
CD38	MIR155HG	0.681709416412824	1.44158460227488e-49
CD38	LINC00299	0.530673595349472	4.91836596675948e-27
CD38	ZEB1-AS1	0.3480078192463	1.73553270517097e-11
CD38	ZNF503-AS2	-0.332769028129699	1.42041407694337e-10
CD38	DLEU7-AS1	0.336327939650396	8.78285106246765e-11
CD38	PRKCQ-AS1	0.606462544695105	7.84206248821323e-37
CD38	RP11-379K17.4	0.304932576804387	4.95377325635784e-09
CD38	WDR86-AS1	0.555938730941378	5.0367722691502e-30
CD38	RP11-18H21.1	0.535808713396339	1.27189264174371e-27
CD38	LINC01550	0.471930476316079	5.59004809473315e-21
CD38	RP11-1149O23.3	0.422242597567087	1.07432986423217e-16
CD38	RP11-431M7.3	0.49721913104724	1.92004746882578e-23
CD38	RP11-637A17.2	0.409937562173504	9.71717997130764e-16
CD38	RP11-834C11.6	0.331247335628391	1.74127603184984e-10
CD38	RP11-177H13.2	0.318191947606583	9.54847977392593e-10
CD38	CTC-378H22.1	0.464142515801591	2.92405225600556e-20
CD38	SNHG9	-0.302898372666645	6.33164483570315e-09
CD38	AGAP2-AS1	-0.401389905700044	4.25700656987069e-15
CD38	LINC00944	0.351308695525692	1.08407326947789e-11
CD38	USP30-AS1	0.756288077122794	1.18250486933928e-66
CD38	CTD-2576D5.4	0.495276172306991	3.01977378379946e-23
CD38	BZRAP1-AS1	0.574957276894101	1.89440969566172e-32
CD38	RP11-214O1.3	0.34048449246522	4.97037580919776e-11
CD38	ZNF561-AS1	-0.302761767525445	6.43642188916203e-09
CD38	CIRBP-AS1	-0.307451258223774	3.64613832801828e-09
CD38	FAM215A	0.396548291347546	9.64722904996284e-15
CD38	CARD8-AS1	0.554936401147357	6.69348809387136e-30
CD38	LINC00528	0.562921077247281	6.76276926570245e-31
CD38	CYB561D2	0.344522288480795	2.83570393988918e-11
CD38	CTA-384D8.35	0.471796740481167	5.75321433478926e-21
CD38	FUT8-AS1	0.301017226103945	7.93139209935826e-09
CD38	LINC00540	0.438436574151022	5.14467479951529e-18
CD38	TRG-AS1	0.733347955916738	8.71763372589531e-61
CD38	EBLN3	0.338113759554536	6.88430763011492e-11
CD38	XXbac-BPG246D15.8	0.545502280847721	9.28670371972352e-29
CD38	PSMB8-AS1	0.545502280847721	9.28670371972352e-29
CD38	ABC12-49244600F4.3	0.536636113345213	1.0206255599989e-27
CD38	C1RL-AS1	0.536636113345213	1.0206255599989e-27
CD38	RP11-137L10.6	0.475636623971162	2.50586378121745e-21
CD38	PPP3CB-AS1	0.475636623971162	2.50586378121745e-21
CD38	NCRNA00118	0.522862009120001	3.68406828007153e-26
CD38	DBH-AS1	0.522862009120001	3.68406828007153e-26
CD38	CFLAR-AS1	0.343538905218404	3.25344353638029e-11
CD38	ALS2CR10	0.343538905218404	3.25344353638029e-11
CD38	KIAA0114	-0.313847549932924	1.6523694125724e-09
CD38	DANCR	-0.313847549932924	1.6523694125724e-09
CD38	AL844908.5	0.688105382562156	7.88804649210736e-51
CD38	ITGB2-AS1	0.688105382562156	7.88804649210736e-51
CD38	AC013400.2	0.52571606501873	1.77599380085151e-26
CD38	LINC00954	0.52571606501873	1.77599380085151e-26
CD38	EPHA1-AS1	0.352710666843112	8.86200506502263e-12
CD38	AC092214.10	0.352710666843112	8.86200506502263e-12
CD38	LINC00582	0.558142468658773	2.6862629589829e-30
CD38	RP11-17H4.2	0.558142468658773	2.6862629589829e-30
CD38	RP11-248C1.2	0.350724242707854	1.178742739205e-11
CD38	LINC00865	0.350724242707854	1.178742739205e-11
CD38	RP11-93B14.5	-0.303239311363867	6.07729773132305e-09
CD38	SLCO4A1-AS1	-0.303239311363867	6.07729773132305e-09
CD38	LINC01281	0.555779993179179	5.26912794560847e-30
CD38	RP11-265P11.2	0.555779993179179	5.26912794560847e-30
CD38	RP1-66N13.3	0.426627924234753	4.79410423833195e-17
CD38	LINC00494	0.426627924234753	4.79410423833195e-17
CD38	RP11-398A8.3	0.448426421904899	7.26538840016391e-19
CD38	LINC00877	0.448426421904899	7.26538840016391e-19
CD38	RP11-364F11.1	0.487051804639269	1.98912624465553e-22
CD38	ZBTB20-AS1	0.487051804639269	1.98912624465553e-22
CD38	LINC00880	0.384670232797692	6.78886539025515e-14
CD38	RP11-6F2.4	0.384670232797692	6.78886539025515e-14
CD38	RP11-493L12.2	0.743518939132359	2.60784274635799e-63
CD38	PCED1B-AS1	0.743518939132359	2.60784274635799e-63
CD38	RP11-358M11.2	0.461499059807635	5.07856772688817e-20
CD38	LINC00926	0.461499059807635	5.07856772688817e-20
CD38	RP11-744N12.2	0.327829156876046	2.74023920409236e-10
CD38	SENCR	0.327829156876046	2.74023920409236e-10
CD38	RP11-566K8.2	0.311023962444588	2.3488520063664e-09
CD38	LINC00639	0.311023962444588	2.3488520063664e-09
CD38	AC002303.5	0.574970500018637	1.88683010507606e-32
CD38	IL21R-AS1	0.574970500018637	1.88683010507606e-32
CD38	SCARNA17	0.377270361709058	2.20110272782614e-13
CD38	SNHG22	0.377270361709058	2.20110272782614e-13
CD38	LINC01215	0.600249166223722	6.2726239920684e-36
CD38	RP11-861A13.4	0.600249166223722	6.2726239920684e-36
TNFRSF12A	MIR31HG	0.304058248536303	5.50612791031843e-09
TNFRSF12A	MIRLET7BHG	0.306428852797681	4.13062499225758e-09
TNFRSF12A	PDCD4-AS1	-0.323959287039076	4.54771305373328e-10
TNFRSF12A	LINC00152	0.508594241057773	1.27754088023001e-24
TNFRSF12A	AC013460.1	-0.356719622946839	4.95281480593351e-12
TNFRSF12A	MIR600HG	-0.303649385427335	5.7844665514485e-09
TNFRSF12A	OIP5-AS1	-0.313778602188775	1.66669527221988e-09
TNFRSF12A	AGAP2-AS1	0.375748502706225	2.79321268287998e-13
TNFRSF12A	LINC00520	0.331823015434176	1.61235950805746e-10
TNFRSF12A	TNRC6C-AS1	-0.32034502283808	7.25221307733014e-10
TNFRSF12A	RP11-153A23.6	-0.32034502283808	7.25221307733014e-10
TNFRSF12A	RP1-66N13.3	-0.341570837692305	4.27720975989675e-11
TNFRSF12A	LINC00494	-0.341570837692305	4.27720975989675e-11
BTK	RRN3P2	0.491845137230131	6.67121389888071e-23
BTK	LINC00544	0.446731473553659	1.01735330308797e-18
BTK	RP11-23P13.6	0.408819060279911	1.18179404211571e-15
BTK	LINC00324	0.478841776191609	1.24213113381265e-21
BTK	PIK3CD-AS1	0.542321524862222	2.21248250749495e-28
