icp.j.	lnc	cor.cor	p
CD38	LINC00544	0.333653815012268	7.27333309698556e-09
CD38	PIK3CD-AS1	0.467002950149998	6.73623123371538e-17
CD38	C22orf34	0.31541635155019	5.02061206559574e-08
CD38	MIAT	0.604076458364121	7.83375660047613e-30
CD38	KIAA0125	0.562985575842188	2.58936449192203e-25
CD38	AC011899.9	0.429182743645131	3.02566842429568e-14
CD38	MIR155HG	0.484697222224369	2.95167993042148e-18
CD38	AP001046.5	0.471015392858144	3.36702405278938e-17
CD38	RP11-18H21.1	0.408250998802922	6.49804017462584e-13
CD38	LINC01550	0.415061664350665	2.45191647497647e-13
CD38	AC145110.1	0.35746800460751	4.79189914718268e-10
CD38	HOXA-AS3	-0.300571979676446	2.20497423314728e-07
CD38	FLJ20021	-0.31825561784312	3.74770942666536e-08
CD38	USP30-AS1	0.460883646753049	1.90626106400794e-16
CD38	C12orf79	0.359537806477633	3.74199814281287e-10
CD38	ARHGAP5-AS1	-0.34220548224286	2.81154102620699e-09
CD38	BZRAP1-AS1	0.476461544891499	1.29445791691075e-17
CD38	CARD8-AS1	0.432107479048796	1.93756289396334e-14
CD38	A1BG-AS1	0.371568903266821	8.57702965460033e-11
CD38	LINC00528	0.501996590389606	1.15819148300551e-19
CD38	TRG-AS1	0.670751145444568	9.73682833532338e-39
CD38	CELF2-AS1	0.325415259085322	1.76859935691088e-08
CD38	C10orf31	0.325415259085322	1.76859935691088e-08
CD38	XXbac-BPG246D15.8	0.374742768392907	5.75576173062987e-11
CD38	PSMB8-AS1	0.374742768392907	5.75576173062987e-11
CD38	NCRNA00118	0.42889851972582	3.15887571907634e-14
CD38	DBH-AS1	0.42889851972582	3.15887571907634e-14
CD38	AL844908.5	0.517518557513052	5.39749405221257e-21
CD38	ITGB2-AS1	0.517518557513052	5.39749405221257e-21
CD38	LINC00582	0.400630245093563	1.88428323454581e-12
CD38	RP11-17H4.2	0.400630245093563	1.88428323454581e-12
CD38	LINC01281	0.366960808183201	1.5188635737677e-10
CD38	RP11-265P11.2	0.366960808183201	1.5188635737677e-10
CD38	RP11-398A8.3	0.491508138867789	8.43124899593979e-19
CD38	LINC00877	0.491508138867789	8.43124899593979e-19
CD38	RP11-493L12.2	0.601260773817933	1.67741090325177e-29
CD38	PCED1B-AS1	0.601260773817933	1.67741090325177e-29
CD38	LINC01215	0.408983383343757	5.85766558910668e-13
CD38	RP11-861A13.4	0.408983383343757	5.85766558910668e-13
BTK	LINC00324	0.4182446525589	1.54303645581308e-13
BTK	PIK3CD-AS1	0.596805441239237	5.5109862881774e-29
BTK	C22orf34	0.426645802909447	4.43828757377402e-14
BTK	MIAT	0.433127031061769	1.65706541285525e-14
BTK	KIAA0125	0.618741774776811	1.3101458743245e-31
BTK	SERPINB9P1	0.422392686138889	8.37646259957892e-14
BTK	RP11-132A1.4	-0.300899973834295	2.13592215311669e-07
BTK	AC011899.9	0.606174589140706	4.42003429947998e-30
BTK	MIR155HG	0.467977453534754	5.69684667085331e-17
BTK	LINC01366	0.302021609047246	1.91515028028295e-07
BTK	LINC01010	0.319987429571818	3.13081119484479e-08
BTK	AP001046.5	0.55087998718453	4.24607995019422e-24
BTK	RP11-18H21.1	0.51286439080706	1.37601386609255e-20
BTK	LINC01550	0.502056521871234	1.14490257704423e-19
BTK	AC145110.1	0.350790727271454	1.05138908334311e-09
BTK	C12orf79	0.33552322554488	5.92336932361577e-09
BTK	CTD-2576D5.4	0.309893572340167	8.79025510847115e-08
BTK	L3MBTL4-AS1	0.371101003805493	9.09319577646928e-11
BTK	BZRAP1-AS1	0.64188464663169	1.30380742459535e-34
BTK	LINC01539	0.316168795294773	4.64762604460232e-08
BTK	CARD8-AS1	0.629856458554916	5.09508342675435e-33
BTK	A1BG-AS1	0.656898271415107	1.06043717920309e-36
BTK	LINC00528	0.621339632291506	6.2054602171994e-32
BTK	TRG-AS1	0.66571637033726	5.51336762309994e-38
BTK	CELF2-AS1	0.409474386747854	5.46330413315496e-13
BTK	C10orf31	0.409474386747854	5.46330413315496e-13
BTK	XXbac-BPG246D15.8	0.349272602191072	1.25384604541419e-09
BTK	PSMB8-AS1	0.349272602191072	1.25384604541419e-09
BTK	NCRNA00118	0.376639458109993	4.52561146249025e-11
BTK	DBH-AS1	0.376639458109993	4.52561146249025e-11
BTK	AL844908.5	0.651559629561391	6.05531372866927e-36
BTK	ITGB2-AS1	0.651559629561391	6.05531372866927e-36
BTK	AC013400.2	0.35157824610229	9.59243412332671e-10
BTK	LINC00954	0.35157824610229	9.59243412332671e-10
BTK	LINC00582	0.314333882776805	5.60820843501327e-08
BTK	RP11-17H4.2	0.314333882776805	5.60820843501327e-08
BTK	LINC01281	0.344181862896451	2.24774728530159e-09
BTK	RP11-265P11.2	0.344181862896451	2.24774728530159e-09
BTK	RP11-398A8.3	0.599765530247177	2.5055998241976e-29
BTK	LINC00877	0.599765530247177	2.5055998241976e-29
BTK	LINC00847	0.320016004245013	3.12150430926175e-08
BTK	CTC-205M6.2	0.320016004245013	3.12150430926175e-08
BTK	RP11-493L12.2	0.76268986432108	1.10498666628616e-55
BTK	PCED1B-AS1	0.76268986432108	1.10498666628616e-55
BTK	AC002303.5	0.300289714074349	2.26611244524246e-07
BTK	IL21R-AS1	0.300289714074349	2.26611244524246e-07
BTK	LINC01215	0.625344543250288	1.93397439406893e-32
BTK	RP11-861A13.4	0.625344543250288	1.93397439406893e-32
SLAMF7	LINC01561	-0.314497927637572	5.51508196755885e-08
SLAMF7	LINC00324	0.322669926099953	2.36423562643268e-08
SLAMF7	PIK3CD-AS1	0.361087504642853	3.10585591635322e-10
SLAMF7	HCP5	0.310668086118116	8.1318151108697e-08
SLAMF7	MIAT	0.591118813501803	2.44908428707579e-28
SLAMF7	KIAA0125	0.563843713933285	2.11436175677993e-25
SLAMF7	AC011899.9	0.528198194527261	5.96539917437073e-22
SLAMF7	MIR155HG	0.427980322389371	3.62961093264746e-14
SLAMF7	LINC01010	0.321514470232494	2.66914714599494e-08
SLAMF7	AP001046.5	0.458316204591645	2.93122683599492e-16
SLAMF7	RP11-18H21.1	0.376143047724371	4.82029266860201e-11
SLAMF7	AC145110.1	0.334203956192309	6.8478694155191e-09
SLAMF7	FLJ20021	-0.304326100343276	1.52835094050755e-07
SLAMF7	USP30-AS1	0.494652704975224	4.68299522726619e-19
SLAMF7	ARHGAP5-AS1	-0.416610343629458	1.95844662031847e-13
SLAMF7	BZRAP1-AS1	0.360069899926163	3.51048967528466e-10
SLAMF7	CARD8-AS1	0.319625831112086	3.25092340932887e-08
SLAMF7	A1BG-AS1	0.385712963924039	1.40177256600132e-11
SLAMF7	LINC00528	0.440123417884638	5.58576961383994e-15
SLAMF7	TRG-AS1	0.684280283331008	7.75601287527967e-41
SLAMF7	CELF2-AS1	0.3223902888436	2.43478626476771e-08
SLAMF7	C10orf31	0.3223902888436	2.43478626476771e-08
SLAMF7	XXbac-BPG246D15.8	0.30328405779167	1.69290411317428e-07
SLAMF7	PSMB8-AS1	0.30328405779167	1.69290411317428e-07
SLAMF7	NCRNA00118	0.384392790932645	1.66615228527624e-11
SLAMF7	DBH-AS1	0.384392790932645	1.66615228527624e-11
SLAMF7	AL844908.5	0.449146947997019	1.32354053928274e-15
SLAMF7	ITGB2-AS1	0.449146947997019	1.32354053928274e-15
SLAMF7	LINC00582	0.465011769078726	9.47136000605003e-17
SLAMF7	RP11-17H4.2	0.465011769078726	9.47136000605003e-17
SLAMF7	LINC01281	0.343434477909561	2.44671421876816e-09
SLAMF7	RP11-265P11.2	0.343434477909561	2.44671421876816e-09
SLAMF7	RP11-398A8.3	0.429332366746883	2.95776862845328e-14
SLAMF7	LINC00877	0.429332366746883	2.95776862845328e-14
SLAMF7	RP11-493L12.2	0.532105210774373	2.61314022508087e-22
SLAMF7	PCED1B-AS1	0.532105210774373	2.61314022508087e-22
SLAMF7	LINC01215	0.341786890005846	2.94742907885563e-09
SLAMF7	RP11-861A13.4	0.341786890005846	2.94742907885563e-09
BTN3A1	LINC00943	0.331340721467922	9.35916348984031e-09
BTN3A1	HCP5	0.595683044902843	7.41487134988337e-29
BTN3A1	MIAT	0.476748103000441	1.23037718018589e-17
