icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.337450477023417	0.000198715013465569
CD38	PINK1-AS	-0.51839092905138	2.14244084848972e-09
CD38	FAM182A	0.500010943367534	9.48018965896124e-09
CD38	H19	-0.653291004245994	1.42484222380123e-15
CD38	PART1	-0.415335108359275	3.21748610907183e-06
CD38	LINC01116	-0.336664643407223	0.00020608656922288
CD38	TMEM99	-0.370329143506116	3.95965960805122e-05
CD38	MIR31HG	-0.55016939724968	1.31551732368213e-10
CD38	RP11-23P13.6	0.504626724277034	6.57941272680925e-09
CD38	LRRC75A-AS1	-0.531617281228161	6.94657542047003e-10
CD38	FAM182B	0.527882353031469	9.5947283195247e-10
CD38	LINC01106	-0.447974186681833	4.09346006995687e-07
CD38	DLEU1	0.509151951102523	4.57473660637272e-09
CD38	LINC00982	-0.49945467261051	9.90320935784605e-09
CD38	C8orf31	-0.604459083284353	5.34509821024891e-13
CD38	RP11-218M22.1	-0.546291485468213	1.87852380766476e-10
CD38	ADORA2A-AS1	-0.409504149815959	4.54842327212226e-06
CD38	LINC00324	0.421664561728492	2.19332043230627e-06
CD38	AC073072.5	0.508183470378835	4.94693666933515e-09
CD38	PIK3CD-AS1	0.451418873089646	3.25109021137028e-07
CD38	LINC00652	-0.325457103399777	0.000342866847781967
CD38	ACTA2-AS1	-0.403444714564628	6.47345402430361e-06
CD38	LINC01547	-0.360674939485076	6.47689348077821e-05
CD38	LINC00518	0.481937275845761	3.76564466230354e-08
CD38	DSCR4	0.522204592020145	1.55603572127108e-09
CD38	LINC00482	-0.508888443494562	4.6732534931756e-09
CD38	ARHGAP11B	0.48682930401757	2.6128030282569e-08
CD38	LINC00265	0.466130057573648	1.18062423837289e-07
CD38	PP7080	-0.467420727274062	1.07776106507391e-07
CD38	LINC00943	0.314251799646697	0.00055954675699015
CD38	DSCR8	0.61866672141537	1.05917441400216e-13
CD38	FLVCR1-AS1	-0.383941635474098	1.92564784650444e-05
CD38	RP11-351J23.1	-0.547804615795562	1.63561594589941e-10
CD38	RP11-296O14.3	0.480515501457159	4.1831975832619e-08
CD38	ARRDC1-AS1	-0.303065953029452	0.000895550545248327
CD38	LINC00963	-0.365992652561752	4.94873680938812e-05
CD38	RP11-713P17.3	-0.42749187462328	1.53065325889485e-06
CD38	STARD7-AS1	0.568401849564639	2.31420834795784e-11
