icp.j.	lnc	cor.cor	p
CD38	RRN3P2	0.467266522698559	6.32734895213593e-23
CD38	ZNF667-AS1	-0.354969179486575	3.11956722160072e-13
CD38	PIK3CD-AS1	0.392638797086388	4.3899376301557e-16
CD38	TCL6	0.470529990647409	2.89584730634722e-23
CD38	ARHGAP11B	0.37016530363029	2.44480610826859e-14
CD38	LINC00943	0.426504688045263	5.58806942465744e-19
CD38	HCP5	0.503333781410878	6.91116948983318e-27
CD38	LINC01588	0.498949365258484	2.22133683572545e-26
CD38	AATBC	0.315506506461116	1.26263626321056e-10
CD38	EPB41L4A-AS1	-0.374181252693386	1.21924851621437e-14
CD38	MIAT	0.422789338266254	1.20546763660442e-18
CD38	KIAA0125	0.773203098970628	3.82358541843764e-80
CD38	AC011893.3	0.343968160528862	1.81359566478773e-12
CD38	AC109333.10	0.304805451947906	5.56599131312047e-10
CD38	RP3-399L15.3	0.323492717193816	4.01253762418991e-11
CD38	TFAP2A-AS1	0.303498656523192	6.64433709212452e-10
CD38	SNHG7	-0.324821003804879	3.30507225520912e-11
CD38	AC011899.9	0.570786377943261	1.07350959379599e-35
CD38	GAS5	-0.305661866661353	4.95373187229659e-10
CD38	MIR155HG	0.703931145337335	1.16565709741623e-60
CD38	LINC00299	0.35046385311122	6.46807209728761e-13
CD38	AP001046.5	0.4604506235939	3.15157618095794e-22
CD38	RP11-18H21.1	0.5065505607218	2.90294166977784e-27
CD38	LINC01550	0.301347562562416	8.87607138519449e-10
CD38	PVT1	0.371956902807915	1.79459568809408e-14
CD38	AC145110.1	0.363888169749008	7.11492368891225e-14
CD38	CTD-2336O2.1	-0.326015593280458	2.7737671766189e-11
CD38	CTC-378H22.1	0.444710146758336	1.12279509906878e-20
CD38	LINC00944	0.448874113799323	4.44220273082051e-21
CD38	USP30-AS1	0.617452518222808	4.32106389695425e-43
CD38	C12orf79	0.392219716922751	4.745215350834e-16
CD38	RP11-983P16.4	-0.347673584164426	1.01014643523864e-12
CD38	ARHGAP5-AS1	-0.31912000204148	7.54807426972187e-11
CD38	CTD-2576D5.4	0.428804916645632	3.4551371501616e-19
CD38	L3MBTL4-AS1	0.376921590903516	7.54214980576522e-15
CD38	BZRAP1-AS1	0.444807693117675	1.09882838987164e-20
CD38	CARD8-AS1	0.60518027325457	5.00419041117775e-41
CD38	LINC00528	0.50398510056215	5.80227960185108e-27
CD38	SNHG8	-0.367216072660026	4.05019372184584e-14
CD38	CTA-384D8.35	0.450951768183426	2.7834756308533e-21
CD38	LINC01138	0.327059438537963	2.37842830408961e-11
CD38	TRG-AS1	0.736810166609141	3.88448501291326e-69
CD38	XXbac-BPG246D15.8	0.62494307946993	2.14074210208309e-44
CD38	PSMB8-AS1	0.62494307946993	2.14074210208309e-44
CD38	ABC12-49244600F4.3	0.319856958816497	6.79042940389688e-11
CD38	C1RL-AS1	0.319856958816497	6.79042940389688e-11
CD38	NCRNA00118	0.525532461046057	1.43373042022052e-29
CD38	DBH-AS1	0.525532461046057	1.43373042022052e-29
CD38	SLC16A1-AS1	0.401506714544208	8.23973485559984e-17
CD38	RP11-31F15.1	0.401506714544208	8.23973485559984e-17
CD38	AL844908.5	0.463418754511352	1.57322800775006e-22
CD38	ITGB2-AS1	0.463418754511352	1.57322800775006e-22
CD38	EPHA1-AS1	0.301705043034959	8.46040514798526e-10
CD38	AC092214.10	0.301705043034959	8.46040514798526e-10
CD38	LINC00582	0.604470872413471	6.54481624819814e-41
CD38	RP11-17H4.2	0.604470872413471	6.54481624819814e-41
CD38	LINC01281	0.516337120090059	1.95809006668342e-28
CD38	RP11-265P11.2	0.516337120090059	1.95809006668342e-28
CD38	RP1-66N13.3	0.597301296196338	9.49992404053674e-40
CD38	LINC00494	0.597301296196338	9.49992404053674e-40
CD38	ELFN1-AS1	0.541970141933608	1.09225948136176e-31
CD38	AC074389.9	0.541970141933608	1.09225948136176e-31
CD38	CD81-AS1	-0.307408268242394	3.90138319079362e-10
CD38	AC129929.5	-0.307408268242394	3.90138319079362e-10
CD38	RP11-398A8.3	0.417672213563355	3.42222925215071e-18
CD38	LINC00877	0.417672213563355	3.42222925215071e-18
CD38	RP11-364F11.1	0.308066494173885	3.56410492087676e-10
CD38	ZBTB20-AS1	0.308066494173885	3.56410492087676e-10
CD38	RP11-493L12.2	0.761522902280638	2.13575634895821e-76
CD38	PCED1B-AS1	0.761522902280638	2.13575634895821e-76
CD38	RP11-358M11.2	0.581926996486073	2.36049562201214e-37
CD38	LINC00926	0.581926996486073	2.36049562201214e-37
CD38	RP11-520M5.5	-0.312260524390888	1.99272250473907e-10
CD38	NOP14-AS1	-0.312260524390888	1.99272250473907e-10
CD38	RP11-744N12.2	0.317089701370655	1.00867164285609e-10
CD38	SENCR	0.317089701370655	1.00867164285609e-10
CD38	LINC01215	0.373560942134363	1.35843129500441e-14
CD38	RP11-861A13.4	0.373560942134363	1.35843129500441e-14
TNFRSF12A	PINK1-AS	-0.320612228914424	6.09097186057964e-11
TNFRSF12A	LINC00467	-0.318842740221178	7.85393175220606e-11
TNFRSF12A	TPT1-AS1	0.353548211473899	3.9311480210943e-13
TNFRSF12A	FAM182B	-0.372942213475968	1.51273645171785e-14
