icp.j.	lnc	cor.cor	p
CD38	LINC00029	0.687287658714692	1.4167936453531e-13
CD38	C22orf24	0.779055770066033	3.99047613156628e-19
CD38	LINC00467	-0.443866168263224	1.4801849939787e-05
CD38	FAM27C	0.349875951192031	0.000833352489937591
CD38	SNHG16	-0.507698472252308	4.44695786710588e-07
CD38	TMEM99	-0.48557515342427	1.62450469215368e-06
CD38	RP11-23P13.6	-0.542597647585451	4.73714683900101e-08
CD38	DLEU1	0.65129403342251	6.38836675171728e-12
CD38	AP000345.1	0.523028030349857	1.71505618189718e-07
CD38	FLJ37453	0.760054104217499	8.94412836204231e-18
CD38	RP11-863K10.7	0.676477914421201	4.70416151523182e-13
CD38	C11orf72	-0.308634963008051	0.00343752498570519
CD38	UMODL1-AS1	0.555406262485088	1.95019683103136e-08
CD38	MIR22HG	-0.418722458495342	4.90707167814246e-05
CD38	ARHGAP11B	0.45133273696928	1.01778094202594e-05
CD38	C22orf34	0.766882400186795	3.02666377725723e-18
CD38	LINC00943	-0.421585319661632	4.30145134820985e-05
CD38	COLCA1	-0.428710855204772	3.08295671606295e-05
CD38	MIRLET7BHG	-0.48893763425064	1.34191560600608e-06
CD38	PDCD4-AS1	0.381865526263485	0.00024146272256087
CD38	LINC00951	0.560615332189993	1.34472454485516e-08
CD38	DUXAP8	-0.44894128824411	1.14860034956293e-05
CD38	HCP5	-0.605018217159074	4.28490204753081e-10
CD38	HCG27	0.637772282554036	2.34935239754112e-11
CD38	UCA1	0.476561625950466	2.6847321794086e-06
CD38	ALOX12-AS1	0.502813348460536	5.96660208562125e-07
CD38	LINC00598	-0.395335629431489	0.000137806292090394
CD38	CTD-2006C1.2	0.780615999755294	3.04941129083813e-19
CD38	LINC00473	0.464245679878612	5.21399870949112e-06
CD38	RP11-545E17.3	0.764847179351166	4.19645508811909e-18
CD38	MIR181A2HG	0.595361820842859	9.48185750885412e-10
CD38	CCNT2-AS1	0.322426264989775	0.00218661613028853
CD38	RP4-758J18.2	0.520949332744918	1.95697499509582e-07
CD38	LINC00337	0.457179644642244	7.54371469392163e-06
CD38	LINC01504	-0.420674627039975	4.48610096733581e-05
CD38	NUTM2B-AS1	0.562784415413383	1.14969851054984e-08
CD38	MIAT	-0.618501658376034	1.35051517389829e-10
CD38	HAR1A	0.535818350745837	7.46619880685842e-08
CD38	KCNIP2-AS1	0.328020559725195	0.0018090463782453
CD38	AC011893.3	0.793222818699688	3.19195007824106e-20
CD38	LINC01359	-0.511502410529044	3.52588852030882e-07
CD38	LINC00511	-0.30563025600274	0.0037831248812044
CD38	RP11-395B7.4	0.541542369526568	5.08814644886758e-08
CD38	AC009299.3	0.346488809441581	0.000943178199603541
CD38	AC109333.10	-0.37291161006336	0.000345987742644457
CD38	RP11-152N13.5	0.306191437299178	0.00371631464536815
CD38	FAM212B-AS1	-0.335576422997922	0.00139252939237519
CD38	MIR646HG	0.584500908204845	2.24638692437961e-09
CD38	ITPKB-IT1	0.82414809160196	6.05383738304033e-23
CD38	LINC01004	0.41140644260066	6.83422807044721e-05
CD38	RP3-399L15.3	0.537074032335761	6.86799407198276e-08
CD38	MBNL1-AS1	-0.345984080722813	0.000960626592130806
CD38	SERPINB9P1	-0.432878171086841	2.52845523012131e-05
CD38	LIMD1-AS1	0.350276207859394	0.000821175487372823
CD38	RP4-738P15.1	0.754343189704677	2.15407891008408e-17
CD38	HCG18	0.450559916766962	1.05844458239909e-05
CD38	AC007246.3	-0.58594552832267	2.00656663489058e-09
CD38	AC016700.5	0.402259135165291	0.000102317843220075
CD38	RP11-418J17.1	-0.463381908037707	5.45722960854731e-06
CD38	LINC00689	0.717177980867733	3.84932197947848e-15
CD38	RP11-374M1.2	0.311936645353321	0.003090562623266
CD38	FAM225A	-0.302484738100708	0.00417784119550439
CD38	DLEU2	0.841230275756954	1.09435169282602e-24
CD38	LINC-PINT	-0.509171975666087	4.06596888718053e-07
CD38	TRAF3IP2-AS1	0.71642905901564	4.23699739638049e-15
CD38	DLGAP4-AS1	0.718117682695663	3.41117914461325e-15
CD38	LINC00342	0.719447329413003	2.87265946818496e-15
CD38	RGS5	0.383307568713545	0.000227651673837363
CD38	AC034220.3	-0.543125962945044	4.57020291321428e-08
CD38	ERVH48-1	0.607726628599415	3.41273822935807e-10
CD38	LINC00472	-0.399085135579176	0.000117378424565011
CD38	LINC01222	0.69339786679735	7.02484870860008e-14
CD38	HOTAIRM1	-0.306349452307303	0.00369769360242662
CD38	AC005083.1	0.550875331859623	2.68086059567261e-08
CD38	AC012146.7	0.537378202014089	6.73010617756312e-08
CD38	LINC01366	0.712767026950175	6.74411240737414e-15
CD38	MCF2L-AS1	0.491372367135412	1.16701257629957e-06
CD38	RP11-470L19.2	0.354531398957674	0.000701383424118642
CD38	TTC28-AS1	0.400670273769009	0.000109617482847794
CD38	INTS6-AS1	0.424932185180328	3.68195284307333e-05
CD38	NIFK-AS1	0.60275867290418	5.17238574245064e-10
CD38	ZEB1-AS1	0.756465771767832	1.55815428227994e-17
CD38	DLEU7-AS1	0.672210489380555	7.45114833812772e-13
CD38	GS1-124K5.4	0.326168977413254	0.00192693359287038
CD38	FOXD2-AS1	0.83890196873795	1.94340022230497e-24
CD38	AP000251.3	0.757384882845271	1.35288257871892e-17
CD38	RP1-63G5.7	0.475255835943007	2.88401377286532e-06
CD38	PRKCQ-AS1	0.796865687542101	1.6147417834367e-20
CD38	PRKAG2-AS1	-0.635649383329806	2.86566600073539e-11
CD38	SNHG3	0.569324387639734	7.1190674143129e-09
