icp.j.	lnc	cor.cor	p
SPAG9	TP53TG1	-0.365671867839262	2.72962144817955e-14
SPAG9	CH17-340M24.3	-0.402575851721405	2.99579230890444e-17
SPAG9	ARRDC1-AS1	-0.471238335475993	7.79928147571537e-24
SPAG9	MFI2-AS1	-0.357606965739864	1.08190162826946e-13
SPAG9	XIST	0.329644394103581	9.55641727498758e-12
SPAG9	TMEM44-AS1	-0.399233850100503	5.75607238581388e-17
SPAG9	DLG5-AS1	-0.314293882602723	9.28200343617081e-11
SPAG9	LINC01503	-0.350146878904022	3.73699448636634e-13
SPAG9	GS1-124K5.4	-0.331501479082705	7.19496520093705e-12
SPAG9	NADK2-AS1	0.315262128986468	8.07251429508131e-11
SPAG9	FLJ20021	-0.447697048175717	2.08953409243162e-21
SPAG9	SNHG9	-0.398855285485823	6.19514007480514e-17
SPAG9	CYB561D2	-0.47434363987808	3.61000546851632e-24
SPAG9	HEIH	-0.349710865515191	4.01373499588152e-13
SPAG9	NPTN-IT1	0.395170849204294	1.26077361775475e-16
SPAG9	EBLN3	0.344695680070728	9.0570198164323e-13
SPAG9	CELF2-AS1	0.319313258709128	4.47648753836145e-11
SPAG9	C10orf31	0.319313258709128	4.47648753836145e-11
SPAG9	AC090937.2	0.340540962964401	1.7580250525321e-12
SPAG9	FGD5-AS1	0.340540962964401	1.7580250525321e-12
SPAG9	AC003029.1	-0.39532046545913	1.22512689771054e-16
SPAG9	MAPKAPK5-AS1	-0.39532046545913	1.22512689771054e-16
SPAG9	ZSCAN16-AS1	-0.47710906158176	1.80588012790529e-24
SPAG9	RP1-265C24.9	-0.47710906158176	1.80588012790529e-24
SPAG9	RAB11B-AS1	-0.441239275269214	8.99093280598836e-21
SPAG9	RP11-886P16.3	-0.441239275269214	8.99093280598836e-21
SPAG9	RPARP-AS1	-0.314177549013306	9.43869496977029e-11
SPAG9	RP11-18I14.10	-0.314177549013306	9.43869496977029e-11
SLAMF7	HAR1A	0.33062683204216	8.22599446653813e-12
SLAMF7	AC011893.3	0.455583435509164	3.3693329632378e-22
SLAMF7	AC145110.1	0.31194410352675	1.29980622332141e-10
SLAMF7	CTC-378H22.1	0.31975683596747	4.19434590579129e-11
SLAMF7	TRG-AS1	0.72311625063606	6.57559542678209e-67
SLAMF7	LINC01281	0.49301096868487	2.97022635883818e-26
SLAMF7	RP11-265P11.2	0.49301096868487	2.97022635883818e-26
SLAMF7	VLDLR-AS1	-0.303835936044598	4.06135910268271e-10
SLAMF7	RP11-125B21.2	-0.303835936044598	4.06135910268271e-10
IL2RB	AC011893.3	0.348719820303524	4.7194562480411e-13
IL2RB	TRG-AS1	0.700620155136842	3.40041099518001e-61
IL2RB	LINC01281	0.405344019952601	1.73444678853621e-17
IL2RB	RP11-265P11.2	0.405344019952601	1.73444678853621e-17
CD40	PART1	-0.325567551247802	1.7700545236362e-11
CD40	HAR1A	0.341099380200856	1.60901471481297e-12
CD40	TRG-AS1	0.399211138531451	5.78152886139405e-17
CD40	VLDLR-AS1	-0.362960013525437	4.35609391800025e-14
CD40	RP11-125B21.2	-0.362960013525437	4.35609391800025e-14
TLR8	GAS5	-0.320320232652377	3.86088558976485e-11
TLR8	TRG-AS1	0.381005290990059	1.78518566000954e-15
TLR8	CTC-228N24.3	-0.328567525630913	1.12562106806824e-11
TLR8	LINC01184	-0.328567525630913	1.12562106806824e-11
PPP2R1A	CH17-340M24.3	0.32747778196207	1.32756308498709e-11
PPP2R1A	MCM3AP-AS1	-0.426837421695229	2.08598051892681e-19
PPP2R1A	AC004041.2	-0.327493183119876	1.32447680211091e-11
PPP2R1A	ISM1-AS1	-0.315620721221976	7.66474388012018e-11
