LAG-3	NA	ENSG00000089692	CD223
CX3CL1	NA	ENSG00000006210	NTN; NTT; CXC3; CXC3C; SCYD1; ABCD-3; C3Xkine; fractalkine; neurotactin
TNFRSF12A	NA	ENSG00000006327	FN14; CD266; TWEAKR
CD44	NA	ENSG00000026508	IN; LHR; MC56; MDU2; MDU3; MIC4; Pgp1; CDW44; CSPG8; HCELL; HUTCH-I; ECMR-III
SLAMF7	NA	ENSG00000026751	19A; CS1; CD319; CRACC
BTN3A1	NA	ENSG00000026950	BTF5; BT3.1; CD277; BTN3.1
4-1BB	NA	ENSG00000049249	TNFRSF9; ILA; CD137; CDw137; ICOS
CD84	NA	ENSG00000066294	LY9B; hCD84; mCD84; SLAMF5
CD155	NA	ENSG00000073008 	PVS; HVED;PVR; NECL5; TAGE4; Necl-5
CEACAM1	NA	ENSG00000079385 	BGP; BGP1; BGPI
ICAM1	NA	ENSG00000090339 	BB2; CD54; P3.58
CD200	NA	ENSG00000091972	MRC; MOX1; MOX2; OX-2
NRP1	NA	ENSG00000099250	NP1; NRP; BDCA4; CD304; VEGF165R
IL2RB	NA	ENSG00000100385	CD122; IMD63; IL15RB; P70-75
CD40	NA	ENSG00000101017	p50; Bp50; CDW40; TNFRSF5
SIRPB1	NA	ENSG00000101307	CD172b; SIRP-BETA-1
TLR8	NA	ENSG00000101916	CD288
CD40LG	NA	ENSG00000102245	IGM; IMD3; TRAP; gp39; CD154; CD40L; HIGM1; T-BAM; TNFSF5; hCD40L
CD276	NA	ENSG00000103855	B7H3; B7-H3; B7RP-2; 4Ig-B7-H3
CD23	NA	ENSG00000104921	FCER2; FCE2; CD23A; IGEBF; CLEC4J; BLAST-2
LILRB1	NA	ENSG00000104972	ILT2; LIR1; MIR7; PIRB; CD85J; ILT-2; LIR-1; MIR-7; PIR-B
TGFB	NA	ENSG00000105329	CED; LAP; DPD1; TGFB1; IBDIMDE; TGFbeta; TGF-beta1
LILRB5	NA	ENSG00000105609	LIR8; CD85C; LIR-8
VISTA	NA	ENSG00000107738	B7H5; GI24; B7-H5; Dies1; PD-1H; SISP1; VSIR; PP2135; C10orf54; DD1alpha
IL2	NA	ENSG00000109471	IL-2; TCGF; lymphokine
IFNG	NA	ENSG00000111537	IFG; IFI; IMD69
BTN3A3	NA	ENSG00000111801	BTF3; BTN3.3
VEGFA	NA	ENSG00000112715	VPF; VEGF; MVCD1
BTN2A1	NA	ENSG00000112763	BTF1; BT2.1; BTN2.1; DJ3E1.1; BK14H9.1
HAVCR1	NA	ENSG00000113249	TIM; KIM1; TIM1; CD365; HAVCR; KIM-1; TIM-1; TIMD1; TIMD-1; HAVCR-1
IL4	NA	ENSG00000113520	BSF1; IL-4; BCGF1; BSF-1; BCGF-1
CD86	NA	ENSG00000114013	B70; B7-2; B7.2; LAB72; CD28LG2
B7-H7	NA	ENSG00000114455	B7y; B7H7; B7-H5; HHLA2
IL1A	NA	ENSG00000115008	IL1; IL-1A; IL1F1; IL1-ALPHA; IL-1 alpha
CD48	NA	ENSG00000117091	BCM1; BLAST; hCD48; mCD48; BLAST1; SLAMF2; MEM-102
CD160	NA	ENSG00000117281	NK1; BY55; NK28
TNFSF4	NA	ENSG00000117586	GP34; CD252; OX4OL; TXGP1; CD134L; OX-40L; TNLG2B
ARG1	NA	ENSG00000118520	NA
